word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.2%,him,1.22%,it,0.87%
norm,by,100.0%
pg,and,21.43%,the,21.43%,him,14.29%
distributed,online,36.43%,and,8.57%,be,5.71%
proofreaders,distributed,75.0%,the,25.0%
dick,replied,6.98%,and,3.55%,mr,2.66%
sand,dick,67.87%,the,12.13%,of,5.14%
or,two,1.89%,one,1.25%,three,0.99%
a,of,6.56%,in,6.13%,with,5.4%
captain,the,27.02%,of,3.95%,a,2.96%
at,and,2.65%,looked,2.54%,look,2.13%
fifteen,of,15.28%,for,5.86%,or,4.97%
note,a,16.32%,the,10.07%,to,3.71%
the,of,12.68%,in,8.02%,to,5.45%
of,out,2.49%,one,2.27%,part,0.86%
works,the,20.34%,his,9.86%,these,4.38%
translation,the,20.39%,a,10.68%,this,5.83%
quinze,louis,80.0%,de,20.0%
ans,quinze,20.0%,one,20.0%,eleven,20.0%
was,it,16.32%,he,11.99%,i,6.17%
first,the,44.21%,at,9.29%,his,2.51%
published,was,13.15%,and,9.32%,been,6.3%
george,st,5.55%,of,5.03%,by,4.65%
reprinted,been,11.11%,was,11.11%,being,11.11%
many,so,14.77%,of,5.5%,how,5.37%
times,at,11.59%,several,9.82%,three,8.46%
in,and,2.5%,was,1.77%,him,1.16%
is,it,19.86%,there,6.06%,he,6.06%
different,a,15.28%,the,9.72%,very,9.03%
from,away,2.52%,and,1.93%,him,1.54%
that,and,4.03%,of,2.69%,in,1.84%
ellen,and,34.18%,mary,10.13%,frances,6.33%
e,laura,7.6%,by,6.45%,i,4.61%
translated,is,9.28%,was,7.22%,be,6.19%
book,the,21.23%,a,14.36%,this,6.0%
for,and,1.65%,him,1.34%,it,1.32%
low,a,30.66%,the,9.69%,and,5.97%
london,in,25.05%,of,14.66%,to,12.87%
entitled,was,12.87%,be,7.43%,is,6.44%
boy,the,19.81%,a,15.15%,little,6.15%
translations,american,6.25%,on,6.25%,mutilated,6.25%
were,they,16.46%,there,6.09%,we,4.62%
often,so,7.92%,is,5.62%,and,5.58%
free,the,10.08%,a,9.81%,be,8.17%
religious,the,14.29%,a,11.62%,and,9.93%
and,him,1.25%,it,1.07%,up,0.76%
colonial,the,24.14%,of,17.24%,in,13.79%
bias,the,23.08%,a,11.54%,of,7.69%
inserted,is,8.82%,stop,6.86%,are,4.9%
english,the,32.86%,an,8.16%,in,5.67%
translators,english,14.29%,educated,14.29%,or,14.29%
eight,or,7.61%,at,6.88%,of,5.23%
hundred,a,29.43%,two,12.74%,one,12.59%
leagues,hundred,14.2%,two,11.36%,thirty,6.25%
on,went,2.29%,and,1.9%,go,1.54%
amazon,the,36.67%,an,23.33%,this,6.67%
twenty,and,13.69%,of,8.65%,about,7.79%
thousand,a,30.37%,hundred,9.92%,ten,8.49%
under,and,3.57%,from,3.19%,was,1.64%
sea,the,52.55%,at,4.89%,to,4.4%
mysterious,the,25.45%,a,12.95%,and,9.32%
island,the,47.61%,an,7.05%,lincoln,6.78%
tour,a,22.31%,the,20.77%,reading,7.69%
world,the,65.88%,this,5.51%,a,4.03%
eighty,and,14.8%,of,12.11%,in,9.42%
days,few,9.25%,three,8.54%,the,7.98%
michael,and,12.81%,sir,3.91%,of,3.56%
l,by,11.23%,a,5.88%,edith,5.35%
burt,l,100.0%
company,the,25.8%,in,9.57%,his,5.57%
publishers,the,37.5%,company,26.79%,and,3.57%
new,a,20.56%,the,18.35%,of,6.23%
york,new,54.1%,of,13.2%,and,1.04%
contents,the,37.68%,its,25.35%,their,3.87%
i,and,5.9%,that,5.1%,but,3.13%
brig,the,60.0%,large,5.0%,american,5.0%
schooner,the,74.16%,a,8.43%,his,3.93%
pilgrim,the,87.18%,a,2.56%,schooner,1.28%
chapter,him,1.34%,it,1.22%,contents,1.06%
ii,scene,24.48%,chapter,9.3%,vol,8.26%
iii,scene,35.11%,chapter,17.37%,act,11.45%
wreck,the,42.08%,a,22.28%,that,2.48%
iv,scene,26.0%,chapter,18.66%,act,12.16%
survivors,the,68.18%,of,4.55%,few,4.55%
v,chapter,17.91%,scene,16.7%,act,12.88%
s,b,26.43%,and,14.64%,mr,3.23%
vi,chapter,35.04%,scene,17.32%,henry,5.12%
whale,the,35.39%,a,11.77%,sperm,11.77%
sight,the,22.56%,of,12.04%,in,11.94%
vii,chapter,40.47%,scene,15.81%,louis,4.65%
preparations,the,16.74%,these,6.98%,her,3.72%
viii,chapter,39.53%,vol,12.56%,henry,7.44%
ix,chapter,45.86%,charles,5.52%,louis,4.97%
x,chapter,41.29%,part,3.48%,scene,2.99%
four,the,10.27%,or,9.51%,twenty,6.51%
which,in,7.36%,of,6.09%,to,2.86%
follow,to,36.16%,will,6.08%,and,4.06%
xi,chapter,59.42%,louis,6.52%,scene,1.45%
tempest,the,45.2%,a,16.38%,this,3.95%
xii,chapter,65.29%,louis,1.65%,scene,1.65%
horizon,the,66.78%,distant,3.32%,western,2.99%
xiii,chapter,59.84%,louis,7.09%,book,3.94%
land,the,30.24%,this,6.22%,of,5.67%
xiv,chapter,47.1%,louis,27.1%,vol,5.16%
best,the,49.41%,my,4.58%,his,4.36%
to,him,1.35%,me,1.2%,seemed,1.18%
do,to,20.12%,i,14.89%,you,5.73%
xv,chapter,44.58%,vol,27.11%,louis,6.63%
harris,replied,16.95%,mr,8.14%,said,5.08%
xvi,chapter,62.96%,louis,11.11%,home,1.85%
way,the,23.71%,his,7.06%,this,5.38%
xvii,chapter,65.88%,book,3.53%,chap,2.35%
miles,hundred,10.17%,five,7.01%,three,6.24%
ten,of,6.65%,for,4.79%,about,4.53%
xviii,chapter,46.67%,louis,36.67%,tom,1.67%
terrible,a,21.53%,the,16.15%,and,7.27%
word,a,28.43%,the,21.04%,my,5.31%
slave,the,31.72%,a,22.83%,fugitive,5.06%
trade,the,11.28%,slave,10.1%,a,5.22%
march,of,17.39%,the,14.65%,to,7.25%
bad,a,18.07%,very,6.93%,so,6.93%
roads,the,30.04%,of,17.31%,cross,11.66%
angola,of,66.67%,and,5.56%,terrible,5.56%
ants,of,16.98%,like,11.32%,the,7.55%
their,of,13.14%,in,9.24%,to,5.34%
dwelling,the,13.45%,a,8.77%,their,8.19%
diving,a,14.29%,by,14.29%,the,8.57%
bell,the,31.19%,a,9.54%,tinker,5.14%
camp,the,29.32%,de,13.19%,a,6.35%
banks,the,52.63%,its,4.39%,both,1.75%
some,of,6.32%,for,5.99%,in,5.67%
sand's,dick,97.5%,george,2.5%
notes,the,9.33%,bank,8.92%,of,5.48%
great,a,26.18%,the,21.99%,with,5.0%
market,the,41.01%,to,3.79%,a,3.47%
day,the,16.83%,to,7.85%,one,7.3%
king,the,37.05%,a,4.85%,of,2.61%
offered,and,12.14%,he,8.95%,was,5.77%
punch,the,12.15%,a,11.21%,of,10.28%
royal,the,35.31%,a,9.75%,his,7.2%
burial,the,24.55%,christian,8.18%,of,7.27%
interior,the,81.75%,its,4.01%,an,2.19%
factory,the,32.31%,a,9.23%,tobacco,8.46%
news,the,29.55%,what,8.09%,good,5.45%
dr,of,11.15%,and,6.14%,to,6.14%
where,place,3.72%,and,3.63%,room,2.08%
manticore,a,50.0%,precious,25.0%,the,25.0%
may,you,11.68%,i,10.37%,it,10.29%
lead,to,19.64%,the,7.28%,and,5.72%
magician,the,52.44%,a,18.29%,african,4.88%
drifting,the,9.88%,were,7.41%,was,6.17%
various,the,26.58%,of,11.07%,in,10.52%
incidents,the,20.71%,and,7.1%,these,4.14%
xix,chapter,66.22%,cap,2.7%,ch,2.7%
xx,chapter,63.24%,book,2.94%,principles,1.47%
conclusion,the,40.62%,in,11.88%,a,8.44%
february,of,38.85%,in,17.99%,the,4.32%
latitude,of,18.1%,the,13.79%,north,12.07%
longitude,and,20.0%,east,17.5%,the,12.5%
meridian,the,38.71%,that,6.45%,eightieth,6.45%
greenwich,at,21.74%,of,13.04%,with,8.7%
this,of,10.26%,in,8.52%,to,3.76%
vessel,the,35.99%,a,17.91%,his,4.43%
tons,hundred,18.18%,twenty,10.91%,of,5.45%
fitted,was,7.66%,and,5.41%,had,4.05%
out,went,2.71%,it,2.59%,came,2.07%
san,of,28.57%,to,14.86%,de,9.14%
francisco,san,57.93%,don,8.97%,of,3.45%
fishing,the,14.5%,a,12.0%,of,5.5%
southern,the,49.65%,of,7.89%,a,5.57%
seas,the,35.43%,south,4.57%,high,2.86%
belonged,he,9.87%,they,6.23%,had,5.97%
james,of,8.06%,and,5.56%,by,4.58%
w,mr,8.2%,james,6.31%,h,5.05%
rich,the,13.19%,a,13.0%,very,4.58%
californian,the,33.33%,rich,11.11%,of,11.11%
ship,the,43.53%,a,12.6%,his,4.44%
owner,the,54.67%,his,9.34%,its,5.92%
who,those,5.85%,man,5.55%,and,3.58%
had,he,18.51%,she,8.78%,i,8.02%
several,for,10.98%,and,6.1%,of,5.42%
years,many,7.54%,two,7.08%,three,6.6%
intrusted,been,31.58%,was,15.79%,cause,10.53%
command,the,13.98%,to,8.87%,in,5.91%
it,of,4.01%,that,3.65%,and,2.66%
hull,captain,65.7%,the,10.47%,mr,2.17%
one,no,5.14%,the,3.69%,in,3.5%
smallest,the,94.48%,very,2.76%,th,0.55%
but,it,2.0%,him,1.64%,nothing,1.47%
