word type,number
everything,1848356
adult,125
hate,233
function,1044015
normal,number
the,103908
and,64828
of,51163
to,50644
a,42030
in,31237
i,30070
was,24802
that,24282
it,23544
her,19378
he,19078
she,18367
his,16534
you,15746
as,15394
with,14990
had,14774
for,14317
but,12360
on,11943
at,11506
be,10254
not,10115
my,10101
is,10032
all,9268
so,8863
have,8480
him,8294
by,8223
they,7741
me,7657
this,7268
one,6990
from,6744
were,6719
said,6636
when,6000
up,5773
there,5732
no,5723
out,5718
if,5700
which,5540
would,5371
them,5153
an,5146
been,5033
little,4977
what,4790
or,4772
we,4731
could,4645
their,4595
then,4541
now,4204
who,3968
do,3913
are,3839
some,3756
into,3734
time,3707
like,3631
more,3609
will,3563
your,3437
very,3370
down,3307
about,3299
old,3286
any,3220
over,3193
see,3074
mr,3067
good,2935
only,2836
never,2825
know,2816
well,2797
did,2773
than,2768
before,2743
such,2722
way,2579
how,2519
come,2471
man,2456
other,2446
after,2433
back,2429
day,2422
made,2391
long,2390
every,2387
much,2353
has,2320
two,2288
just,2278
go,2269
again,2192
can,2172
here,2157
its,2100
too,2094
first,2081
think,2077
most,2070
must,2066
great,2060
came,2046
miss,2020
upon,2003
away,1968
oh,1937
should,1935
own,1909
say,1892
make,1892
am,1878
where,1848
ever,1837
eyes,1825
went,1804
don't,1798
us,1792
thought,1777
room,1773
might,1726
these,1699
last,1690
our,1674
through,1672
hand,1653
head,1652
off,1603
house,1601
being,1600
take,1596
get,1589
night,1555
looked,1544
may,1541
tell,1529
look,1526
face,1510
many,1504
still,1495
even,1470
life,1457
always,1456
margaret,1437
going,1418
seemed,1403
himself,1387
nothing,1384
dear,1384
mrs,1383
got,1372
while,1355
though,1354
place,1351
yet,1336
those,1334
thing,1321
without,1317
things,1312
home,1311
white,1303
saw,1292
same,1288
why,1284
right,1258
found,1246
something,1236
put,1230
heard,1227
young,1223
around,1220
soon,1220
took,1216
cried,1215
herself,1200
three,1198
under,1196
shall,1182
give,1177
let,1171
another,1166
told,1161
it's,1140
door,1140
enough,1107
mary,1100
once,1099
half,1098
whale,1090
peggy,1085
moment,1083
left,1072
till,1072
girls,1055
because,1051
each,1021
father,1020
done,1012
i'll,1010
next,1007
sir,1002
new,1001
says,998
few,995
mind,993
called,987
poor,982
seen,979
turned,976
heart,974
knew,974
hands,974
looking,969
people,968
years,968
morning,965
both,952
world,949
betty,948
began,946
almost,942
i'm,941
side,938
better,937
girl,934
far,932
want,929
yes,925
myself,923
asked,917
anything,911
elizabeth,889
having,879
stood,875
chapter,866
whole,863
men,863
felt,858
find,842
along,840
didn't,837
keep,836
days,836
set,824
gave,820
gone,806
however,802
sure,801
part,800
against,797
best,788
full,788
since,787
lady,782
name,782
child,782
sat,772
course,765
work,761
family,760
friend,756
brought,755
kind,755
mother,745
joyce,742
times,740
hear,736
among,723
light,723
feel,722
indeed,721
story,718
round,717
between,709
love,704
high,696
pretty,696
coming,693
whom,691
until,688
quite,682
voice,681
bed,681
word,678
uncle,677
believe,671
sea,671
doctor,671
nor,667
school,666
john,665
together,654
end,649
rather,649
jack,645
boy,642
help,642
behind,641
country,640
window,636
water,632
fire,632
really,620
answered,616
passed,616
hour,613
lord,607
used,605
open,605
does,602
read,599
table,598
taken,598
several,597
matter,597
call,593
book,592
hair,591
lay,591
big,587
red,586
across,582
sight,579
happy,577
often,577
rita,575
colonel,574
children,574
dark,572
near,568
woman,566
year,565
brother,564
wouldn't,562
letter,561
air,560
can't,558
words,558
boys,556
held,556
hope,555
black,552
small,551
kept,550
cousin,549
i've,545
cannot,544
captain,543
wish,542
montfort,541
couldn't,540
that's,539
ask,533
person,532
feet,531
beautiful,530
perhaps,529
also,527
dead,524
rest,523
body,523
glad,522
certainly,521
whose,520
de,519
death,518
least,517
true,516
ye,515
short,512
known,512
nearly,510
hard,508
town,506
wanted,504
sort,503
general,503
present,502
mean,501
alone,500
thus,496
aunt,494
sister,493
lost,491
speak,490
king,489
sometimes,487
towards,487
friends,485
turn,484
