word type,number
everything,12642
adult,0
hate,45
function,7154
normal,number
and,762
the,481
he,389
mr,339
to,325
a,283
that,256
of,231
was,183
i,177
it,172
they,148
said,135
had,125
his,124
in,124
for,108
all,103
up,98
him,96
then,91
as,89
dog,84
so,77
there,74
at,73
but,71
when,70
would,70
on,68
with,67
just,65
out,65
didn't,64
about,63
by,57
be,57
over,53
you,53
one,52
how,49
good,49
if,49
man,48
could,48
me,47
get,46
rabbit,45
what,45
my,45
big,44
them,44
their,43
story,42
coon,41
have,41
tree,40
were,38
right,38
see,37
down,37
tell,37
time,37
great,36
hare,36
back,34
thought,34
came,34
went,33
got,33
too,33
things,33
looked,33
tortoise,33
made,32
crow,32
some,32
where,31
told,31
old,31
heard,31
go,31
never,30
been,30
way,29
king,29
well,28
illustration,27
pretty,27
know,27
knew,27
very,27
possum,26
he'd,26
do,26
or,26
little,25
now,25
long,25
enough,25
did,25
menagerie,25
turtle,24
like,24
any,24
tail,23
hollow,23
race,23
before,23
nice,23
again,23
something,23
around,23
into,22
woods,21
people,21
much,21
laugh,21
say,21
deal,20
along,20
outside,20
himself,20
anything,20
this,19
deep,19
come,19
stockings,19
which,19
wasn't,19
soon,19
day,19
santa,18
claus,18
than,18
course,18
home,18
off,18
ever,18
more,18
think,18
family,18
fox,18
lion,18
is,17
first,17
another,17
happened,17
grandfather,17
even,16
always,16
show,16
who,16
after,16
set,15
other,15
house,15
once,15
because,15
make,15
going,15
hadn't,15
from,14
look,14
thing,14
wanted,14
away,14
those,14
really,14
twenty,14
world,13
fence,13
sure,13
rest,13
sat,13
though,13
lost,12
new,12
feet,12
not,12
such,12
getting,12
young,12
head,12
being,12
let,12
seventh,12
are,11
robin,11
squirrel,11
lot,11
christmas,11
take,11
might,11
wouldn't,11
saw,11
gave,11
laughed,11
through,11
tails,10
edge,10
teller,10
black,10
others,10
better,10
why,10
only,10
minute,10
pipe,10
almost,10
began,10
can,10
wood,10
fire,10
couldn't,10
behind,10
pain,10
beat,10
top,9
many,9
room,9
left,9
man's,9
maybe,9
seen,9
felt,9
put,9
an,9
quite,9
pipes,9
until,9
next,9
looking,9
place,9
animals,9
called,9
keep,9
dinner,8
near,8
foot,8
most,8
that's,8
everybody,8
hard,8
lived,8
can't,8
glad,8
