word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,19.64%,the,10.71%,mr,8.93%
and,mr,6.63%,he,4.91%,that,4.51%
the,big,3.75%,hollow,3.54%,story,3.54%
was,a,13.11%,just,4.92%,in,3.28%
up,and,18.37%,his,10.2%,a,6.12%
his,tail,8.87%,head,7.26%,pipe,7.26%
mr,dog,23.3%,man,11.5%,coon,9.44%
dog,said,8.33%,and,7.14%,i,7.14%
with,the,20.9%,a,16.42%,mr,10.45%
when,he,27.14%,mr,15.71%,they,12.86%
a,good,11.31%,menagerie,6.71%,little,4.95%
in,the,30.08%,a,15.45%,his,7.32%
of,the,22.61%,course,7.83%,his,7.83%
at,the,27.78%,all,13.89%,him,13.89%
so,he,12.99%,i,10.39%,they,9.09%
on,the,25.0%,his,7.35%,him,5.88%
one,of,11.54%,day,7.69%,across,5.77%
for,he,8.41%,a,7.48%,the,6.54%
him,and,15.62%,that,6.25%,to,5.21%
to,be,5.85%,the,5.23%,get,5.23%
that,he,13.73%,mr,8.63%,was,5.1%
over,and,18.87%,to,16.98%,the,15.09%
but,mr,19.12%,i,16.18%,that,14.71%
all,the,22.33%,at,5.83%,about,3.88%
they,had,14.19%,were,11.49%,all,8.78%
there,was,27.03%,and,9.46%,were,6.76%
it,was,17.44%,and,8.72%,would,6.98%
said,that,19.4%,he,17.16%,mr,8.21%
had,to,8.0%,a,8.0%,never,6.4%
he,was,10.8%,had,10.03%,said,10.03%
be,a,14.04%,the,5.26%,in,3.51%
about,it,14.29%,the,11.11%,that,6.35%
as,he,12.36%,if,6.74%,much,4.49%
you,see,13.21%,can,7.55%,tell,7.55%
didn't,know,10.94%,get,6.25%,see,6.25%
just,what,10.77%,as,10.77%,how,4.62%
out,of,35.94%,for,12.5%,at,4.69%
would,be,18.84%,make,5.8%,do,5.8%
then,mr,19.1%,he,14.61%,they,10.11%
i,was,9.66%,said,9.09%,didn't,5.11%
