word type,number
everything,445078
adult,0
hate,0
function,259576
normal,number
the,28334
to,12791
of,12778
and,12427
a,9300
i,8192
you,8081
he,6842
in,6540
his,5896
that,5457
was,4782
it,4525
is,4131
with,3915
not,3791
had,3585
said,3474
for,3316
have,3270
my,3234
at,3228
as,3191
but,2988
me,2799
which,2746
on,2740
him,2497
this,2395
be,2309
by,2131
your,2050
will,1994
who,1988
her,1959
so,1761
are,1753
from,1746
then,1705
do,1695
what,1691
all,1622
no,1587
an,1477
one,1458
count,1355
she,1335
they,1320
or,1318
man,1301
if,1292
were,1277
would,1206
monte,1135
we,1131
been,1098
m,1078
when,1048
de,1044
has,1027
well,977
yes,942
there,912
am,858
know,834
more,823
only,802
them,797
young,793
two,787
did,782
now,769
madame,761
replied,738
albert,729
see,727
time,726
their,721
like,695
very,686
into,675
himself,669
some,651
could,639
should,639
than,621
shall,602
made,594
father,589
out,589
sir,589
valentine,587
say,586
must,574
oh,568
these,567
franz,551
door,548
first,541
us,538
come,533
up,532
before,530
can,528
hand,519
house,516
may,515
how,508
upon,508
eyes,506
without,495
other,492
any,490
after,486
tell,465
day,464
asked,462
much,462
about,462
here,461
such,457
same,453
never,434
old,432
room,429
most,425
where,423
our,422
still,422
three,419
good,417
think,416
go,415
over,413
dear,410
whom,410
left,403
why,401
moment,400
let,395
while,393
ah,391
nothing,387
take,386
make,385
saw,383
returned,377
again,374
might,365
just,364
towards,360
name,360
those,358
its,348
heard,347
own,345
friend,342
even,342
cried,340
took,336
little,327
life,327
head,326
looked,323
give,323
being,321
since,320
francs,317
myself,313
last,312
through,312
having,312
long,310
thought,310
abbé,302
seemed,300
seen,296
down,295
too,293
another,292
yet,291
passed,289
went,289
wish,289
found,287
great,285
place,285
every,283
hands,280
continued,279
mother,278
heart,278
death,274
indeed,273
son,272
poor,272
way,271
leave,271
words,268
alone,265
whose,265
look,264
carriage,264
half,258
five,257
paris,254
voice,254
entered,252
return,251
because,248
really,246
years,244
almost,244
yourself,244
understand,242
once,241
word,240
speak,240
going,238
chapter,237
men,236
told,236
right,235
letter,234
night,232
against,232
came,232
opened,231
find,231
mind,230
believe,230
does,230
always,229
turned,226
back,226
mademoiselle,226
least,225
hour,224
quite,223
perhaps,221
away,219
each,215
done,215
appeared,214
world,213
light,212
fortune,210
under,209
exclaimed,209
ten,208
saint,207
smile,207
thus,207
cannot,206
though,205
love,205
during,203
four,202
excellency,202
between,201
person,201
thousand,199
soon,198
château,196
god,196
morning,196
felt,196
pale,194
also,193
child,193
gave,192
taken,191
honor,190
placed,190
ask,188
evening,187
already,187
ever,186
hundred,185
off,185
knew,184
girl,184
remained,183
order,181
dead,180
end,180
days,179
thing,177
true,173
face,173
however,171
monsieur,169
certainly,169
daughter,168
twenty,168
second,168
hope,168
put,167
few,167
whole,166
rather,166
something,163
read,163
money,161
longer,161
many,161
small,160
around,160
given,160
fell,159
bed,158
better,158
followed,158
die,157
open,157
become,157
called,155
woman,155
part,154
lost,152
both,152
manner,151
means,151
captain,150
idea,150
anything,149
therefore,149
friends,147
wife,147
doctor,147
eye,146
six,146
lips,146
sure,146
brought,146
side,143
answered,143
inquired,142
besides,141
arms,141
fear,141
large,141
past,139
expression,139
general,139
raised,139
everything,139
instead,138
minutes,138
arrived,138
present,137
tone,137
added,136
looking,136
glass,136
air,135
impossible,134
family,133
enough,133
table,133
baroness,133
doubt,131
want,131
mean,131
became,130
scarcely,130
happy,130
although,129
france,129
horses,128
countess,128
began,127
next,127
drew,126
rose,126
hear,125
sight,125
garden,125
arm,124
french,124
full,123
stopped,123
sent,123
visit,123
heaven,123
answer,123
received,123
immediately,122
black,122
fellow,121
paper,121
attention,121
rome,120
steps,120
until,119
suddenly,119
rich,119
live,119
reason,119
island,118
possible,118
held,118
turning,117
behind,117
things,117
case,117
struck,117
promise,116
sound,116
la,115
servant,115
allow,114
master,113
matter,113
wait,113
marseilles,112
white,112
times,111
call,111
uttered,111
anyone,110
new,110
secret,109
taking,109
wished,109
saying,109
turn,109
silence,109
listen,109
baron,109
round,108
seeing,108
murmured,108
disappeared,108
conversation,107
rest,107
known,107
pass,107
people,107
sign,107
closed,107
persons,107
box,107
cause,106
whether,106
hair,105
ready,105
