word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,29.27%,a,10.71%,his,4.0%
and,the,7.21%,i,3.92%,he,2.47%
the,count,4.03%,young,1.94%,same,1.6%
count,of,15.45%,and,4.39%,said,3.94%
of,the,25.95%,a,5.51%,his,5.42%
one,of,25.65%,day,3.99%,thing,2.66%
arrival,of,40.0%,and,9.09%,in,9.09%
father,and,9.34%,said,4.33%,is,3.98%
son,of,13.51%,and,8.49%,in,5.02%
marriage,with,10.23%,of,10.23%,feast,5.68%
procureur,who,6.82%,was,4.55%,had,4.55%
evening,and,9.55%,of,8.99%,at,5.62%
at,the,35.17%,this,5.45%,least,5.06%
hundred,thousand,26.67%,francs,13.33%,and,8.89%
days,of,9.71%,after,9.71%,and,5.71%
two,or,9.02%,hundred,4.38%,young,4.11%
a,man,3.24%,moment,1.52%,few,1.48%
learned,that,19.64%,to,7.14%,italian,3.57%
italian,and,8.7%,accent,5.8%,theatres,4.35%
chamber,of,15.73%,and,7.87%,but,4.49%
treasure,which,8.33%,is,8.33%,the,5.0%
third,time,15.19%,attack,7.59%,rate,7.59%
island,of,49.15%,was,6.78%,and,3.39%
secret,of,11.32%,and,5.66%,i,3.77%
unknown,to,37.1%,benefactor,6.45%,had,3.23%
story,has,7.35%,of,5.88%,is,4.41%
prison,and,16.9%,he,11.27%,at,7.04%
house,of,11.78%,and,8.38%,in,4.99%
sailor,and,13.1%,who,5.95%,is,4.76%
bandits,and,5.66%,are,5.66%,he,5.66%
rome,and,9.32%,to,5.93%,at,5.08%
breakfast,with,15.79%,and,10.53%,room,8.77%
blood,and,8.97%,to,5.13%,of,3.85%
credit,for,9.8%,to,7.84%,it,7.84%
three,days,10.72%,months,9.23%,or,7.48%
family,and,10.0%,name,6.92%,vault,3.08%
in,the,27.78%,a,8.94%,his,7.29%
will,be,14.25%,not,9.57%,you,5.04%
how,much,5.96%,do,5.77%,did,4.37%
may,be,21.21%,not,6.03%,i,5.64%
get,rid,9.0%,out,9.0%,into,6.0%
dinner,he,11.48%,and,8.2%,i,8.2%
scene,of,17.72%,with,6.33%,which,6.33%
madame,de,59.82%,said,8.81%,replied,4.95%
de,saint,45.6%,monte,14.8%,la,10.4%
promise,you,20.18%,me,12.28%,to,10.53%
four,years,8.33%,or,7.29%,days,6.25%
we,have,17.13%,are,12.33%,shall,7.81%
hear,the,23.77%,it,5.74%,that,5.74%
room,and,9.61%,in,5.67%,the,5.67%
retired,to,21.57%,baker,15.69%,the,5.88%
hand,and,12.23%,to,9.27%,of,8.09%
god,has,7.85%,and,6.28%,is,3.66%
night,and,11.06%,the,6.64%,of,5.75%
mother,and,10.95%,said,5.47%,in,5.47%
valentine,and,7.08%,said,3.97%,had,3.8%
daughter,of,16.05%,to,6.79%,and,4.94%
five,or,15.02%,minutes,15.02%,years,9.87%
for,the,16.41%,a,9.57%,me,4.3%
law,and,9.09%,of,9.09%,is,6.82%
past,ten,8.03%,the,7.3%,and,6.57%
pardon,me,29.27%,for,18.29%,but,3.66%
on,the,39.89%,his,8.39%,a,4.19%
look,at,19.23%,of,11.15%,and,5.38%
out,of,27.51%,the,7.09%,his,6.92%
master,of,22.64%,and,5.66%,who,5.66%
from,the,32.53%,his,10.38%,a,4.04%
as,he,9.45%,the,7.36%,a,7.23%
usual,hour,4.95%,calm,2.97%,in,1.98%
put,on,9.09%,the,7.88%,his,7.27%
off,the,22.86%,his,9.71%,and,6.86%
immediately,and,5.98%,to,5.13%,the,4.27%
got,into,21.15%,out,11.54%,up,11.54%
board,the,33.33%,and,12.96%,a,5.56%
vessel,was,13.33%,and,8.89%,which,4.44%
between,the,36.22%,his,7.57%,us,5.95%
according,to,92.59%,as,7.41%
to,the,12.45%,be,4.93%,his,2.87%
were,the,3.17%,not,3.01%,in,2.69%
covered,with,53.33%,it,12.0%,the,10.67%
with,the,15.94%,a,15.29%,his,5.69%
it,is,21.11%,was,15.68%,to,3.11%
is,a,8.0%,the,7.58%,not,7.21%
always,been,4.41%,the,3.52%,had,3.08%
an,hour,8.69%,instant,3.35%,old,3.21%
marseilles,and,12.04%,for,3.7%,the,3.7%
come,to,17.86%,and,6.41%,said,6.41%
into,the,41.91%,a,13.01%,his,9.98%
when,he,18.43%,i,15.26%,the,12.78%
this,is,5.23%,moment,3.73%,time,3.73%
like,a,26.17%,the,14.07%,to,6.51%
has,been,12.97%,not,5.99%,a,2.95%
been,a,3.95%,so,3.31%,the,3.12%
drew,back,19.35%,from,12.1%,the,11.29%
had,been,10.81%,not,5.42%,the,2.58%
passed,over,9.34%,the,8.65%,through,8.65%
which,he,10.62%,the,6.9%,was,6.53%
some,time,5.15%,of,4.37%,other,1.87%
made,a,18.28%,the,5.34%,no,5.17%
approached,the,47.62%,and,9.52%,her,7.14%
under,the,40.49%,his,7.32%,a,4.88%
but,i,8.69%,the,7.15%,he,4.57%
so,much,9.03%,that,5.98%,long,3.11%
that,i,8.44%,the,8.29%,he,7.73%
asked,the,33.72%,he,8.65%,monte,6.63%
another,and,3.51%,i,3.16%,thing,2.81%
what,is,11.32%,i,8.75%,do,7.55%
misfortune,to,12.0%,has,12.0%,i,8.0%
could,not,29.2%,have,5.97%,be,5.49%
have,been,10.49%,you,5.12%,a,3.49%
happened,to,28.0%,and,5.33%,that,5.33%
however,he,6.67%,i,6.67%,the,6.06%
those,who,22.25%,of,14.08%,that,1.69%
saw,the,18.72%,him,10.61%,that,10.06%
if,you,21.99%,i,13.07%,he,12.99%
any,other,8.68%,of,3.31%,more,3.1%
was,a,5.51%,the,4.96%,not,4.3%
not,to,4.59%,be,3.58%,know,3.34%
herself,in,8.08%,into,7.07%,on,6.06%
she,was,8.21%,had,7.99%,is,5.43%
down,the,18.18%,to,10.49%,and,8.39%
all,the,20.11%,that,5.47%,i,4.4%
being,the,6.67%,able,3.81%,a,3.17%
already,told,5.95%,said,4.32%,had,2.7%
standing,at,11.29%,on,9.68%,before,9.68%
side,of,41.84%,and,5.67%,he,2.84%
who,had,12.04%,was,8.56%,is,4.69%
towards,the,50.0%,him,10.12%,his,5.52%
entrance,of,25.0%,to,13.46%,and,5.77%
young,man,47.52%,girl,15.84%,men,7.02%
man,who,10.89%,of,5.99%,and,4.28%
eye,of,18.06%,was,9.03%,and,4.17%
watched,the,17.46%,him,14.29%,her,11.11%
every,day,10.32%,word,3.2%,man,2.49%
repeated,the,39.73%,he,5.48%,monte,5.48%
each,other,37.88%,of,9.09%,time,4.55%
among,the,55.95%,them,7.14%,my,3.57%
much,the,11.3%,as,6.09%,more,4.78%
he,had,11.13%,was,8.8%,is,4.67%
did,not,44.9%,you,17.29%,he,6.32%
small,vessel,3.18%,room,2.55%,and,2.55%
be,a,4.5%,the,3.06%,so,2.01%
reached,the,60.67%,his,5.62%,it,5.62%
person,who,15.15%,to,6.57%,of,5.56%
left,the,22.51%,him,5.88%,hand,4.6%
his,eyes,3.61%,head,3.02%,hand,3.0%
over,the,32.08%,his,11.28%,her,3.76%
fine,fellow,6.9%,girl,4.6%,morning,3.45%
fellow,said,10.17%,and,7.63%,you,6.78%
or,rather,6.25%,three,5.46%,the,5.38%
twenty,years,12.57%,five,10.18%,four,5.99%
black,and,12.4%,hair,12.4%,eyes,7.44%
eyes,of,9.8%,and,9.2%,were,4.8%
hair,and,12.38%,which,6.67%,stood,4.76%
dark,and,24.32%,complexion,6.76%,lantern,5.41%
whole,of,17.18%,life,4.91%,thing,3.07%
appearance,of,40.7%,at,4.65%,and,4.65%
men,who,14.1%,of,8.55%,and,5.98%
accustomed,to,68.06%,as,6.94%,from,1.39%
their,own,1.98%,hands,1.98%,heads,1.41%
ah,said,15.85%,yes,8.2%,you,5.19%
cried,the,28.24%,he,11.11%,franz,6.02%
matter,of,10.09%,said,6.42%,with,6.42%
why,should,8.21%,do,8.21%,i,6.67%
you,are,8.01%,have,6.74%,will,4.56%
such,a,33.99%,as,10.96%,an,7.46%
air,of,38.64%,and,9.85%,that,3.79%
great,deal,5.47%,and,2.92%,man,2.19%
replied,the,50.2%,monte,13.55%,franz,5.78%
me,to,10.31%,i,5.28%,and,4.59%
lost,in,9.03%,sight,7.64%,his,5.56%
our,readers,3.18%,friend,2.2%,house,2.2%
inquired,the,46.43%,franz,6.25%,of,4.46%
i,have,10.7%,am,9.35%,will,5.88%
think,of,15.23%,you,10.07%,i,9.58%
head,and,13.65%,of,7.94%,in,5.4%
poor,child,6.45%,old,5.53%,girl,5.07%
him,to,8.22%,and,7.03%,the,4.61%
worthy,of,22.39%,friend,4.48%,fellow,4.48%
captain,of,16.1%,and,5.93%,we,5.08%
died,of,15.66%,away,14.46%,in,6.02%
fell,into,13.29%,on,13.29%,back,10.13%
sea,and,12.87%,that,3.96%,i,3.96%
no,longer,8.75%,one,8.61%,doubt,4.51%
sir,said,24.1%,replied,8.72%,i,7.18%
then,he,7.71%,i,5.3%,the,5.3%
turning,to,29.06%,towards,24.79%,pale,11.11%
said,the,31.55%,he,12.68%,monte,11.35%
there,is,18.73%,was,15.16%,are,9.36%
take,the,8.49%,a,8.22%,place,7.69%
hands,of,16.0%,and,9.82%,with,4.73%
once,more,11.02%,to,5.93%,the,3.81%
eight,or,10.61%,years,10.61%,hours,9.09%
ten,minutes,28.18%,years,18.78%,or,3.87%
gave,me,13.37%,him,13.37%,the,6.95%
see,the,9.59%,you,7.3%,that,7.01%
orders,to,18.48%,for,10.87%,and,6.52%
turned,towards,14.22%,to,12.44%,pale,11.11%
