word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.2%,followed,2.16%,accompanied,1.58%
and,him,1.48%,it,1.09%,me,1.08%
count,the,81.72%,dear,3.49%,a,0.82%
of,one,2.9%,count,1.62%,out,1.26%
monte,said,25.31%,of,19.12%,replied,6.1%
one,no,9.16%,the,4.23%,but,3.88%
chapter,son,2.17%,him,2.17%,room,1.63%
son,his,19.92%,my,18.36%,the,15.23%
marriage,the,27.27%,this,25.0%,your,10.23%
procureur,the,81.18%,deputy,9.41%,assistant,1.18%
château,the,27.23%,said,24.61%,de,7.85%
evening,the,36.02%,this,17.74%,previous,9.68%
the,of,11.25%,in,6.44%,to,5.57%
at,looked,4.42%,and,2.37%,was,1.98%
hundred,a,38.38%,two,17.84%,five,11.35%
days,three,24.16%,few,9.55%,two,7.3%
two,the,25.65%,these,4.79%,by,3.37%
learned,had,20.0%,i,20.0%,he,9.09%
italian,the,36.0%,in,14.67%,an,10.67%
treasure,the,30.0%,this,18.33%,his,10.0%
third,the,57.5%,a,32.5%,and,2.5%
island,the,73.5%,this,8.55%,an,4.27%
secret,the,26.17%,a,16.82%,this,7.48%
unknown,the,22.22%,an,7.94%,some,6.35%
story,the,25.71%,his,8.57%,your,7.14%
prison,in,28.17%,the,22.54%,a,8.45%
house,the,47.75%,my,8.61%,this,6.97%
sailor,the,41.67%,a,30.95%,old,7.14%
bandits,the,41.51%,corsican,11.32%,roman,7.55%
rome,at,39.17%,of,23.33%,to,9.17%
saint,de,55.88%,of,11.27%,faubourg,10.78%
breakfast,the,22.41%,to,18.97%,his,10.34%
blood,the,27.78%,of,22.22%,with,6.94%
credit,unlimited,19.23%,of,13.46%,my,7.69%
three,or,16.59%,the,12.02%,for,5.29%
in,and,2.62%,was,1.87%,you,1.26%
will,i,25.14%,you,19.04%,he,5.63%
a,of,7.23%,with,6.41%,in,6.28%
may,you,18.59%,i,16.16%,it,6.06%
get,to,39.18%,shall,5.15%,and,5.15%
dinner,the,14.75%,after,14.75%,to,13.11%
scene,the,31.65%,this,18.99%,a,11.39%
de,m,41.55%,madame,32.8%,mademoiselle,4.12%
promise,i,18.75%,the,9.82%,your,8.04%
four,or,15.23%,the,11.17%,last,5.58%
hear,to,37.9%,you,12.1%,i,8.87%
from,him,1.99%,and,1.64%,me,1.52%
room,the,40.68%,drawing,13.91%,dressing,4.72%
hand,his,36.67%,the,14.07%,her,7.68%
god,of,17.8%,my,8.38%,to,5.76%
night,the,33.33%,at,7.79%,last,6.93%
daughter,my,19.23%,his,16.67%,the,12.82%
five,twenty,6.75%,or,5.95%,the,4.37%
for,as,2.43%,him,1.68%,you,1.68%
law,in,51.65%,the,31.87%,a,4.4%
judge,the,15.38%,to,15.38%,a,9.62%
past,the,31.16%,half,28.99%,minutes,4.35%
pardon,your,22.08%,a,6.49%,to,5.19%
on,go,1.72%,was,1.72%,and,1.57%
look,a,14.11%,to,10.08%,the,5.24%
out,went,6.52%,go,2.57%,held,2.4%
la,de,23.64%,of,16.36%,said,9.09%
master,his,22.12%,the,15.04%,my,7.08%
as,and,4.34%,but,2.42%,him,2.22%
