word type,number
everything,59520
adult,2
hate,2
function,30116
normal,number
the,4179
of,2696
a,1958
and,1663
to,1636
in,1110
n,826
is,819
that,795
it,610
his,540
by,523
with,459
as,456
for,448
an,424
he,418
was,333
not,301
but,287
one,280
who,278
which,271
i,270
from,268
be,265
are,248
all,227
have,221
or,207
this,204
you,203
they,194
on,191
their,183
so,180
at,171
has,168
had,167
its,165
him,152
no,148
when,142
man,138
said,133
were,129
been,128
your,121
we,117
my,111
if,109
than,108
upon,105
some,101
them,97
our,93
there,92
most,88
adj,88
great,88
what,87
more,85
will,80
out,79
good,79
two,77
into,75
other,73
having,72
would,71
without,71
many,69
own,69
may,69
person,68
word,67
made,67
now,67
then,67
whose,66
me,66
her,65
being,65
another,64
only,62
long,59
dead,58
do,58
day,58
any,57
himself,57
like,56
where,55
known,55
these,52
about,52
god,51
men,51
know,51
every,51
time,51
name,50
such,50
well,50
before,50
can,50
way,49
place,49
whom,48
old,48
head,48
never,48
nothing,48
ancient,47
thought,47
o,47
should,47
once,47
human,46
could,46
make,45
life,45
part,44
those,44
kind,44
called,43
right,43
death,42
state,42
high,41
world,41
us,41
see,41
work,40
among,40
up,40
each,39
king,39
hand,38
certain,38
down,37
mind,37
american,37
first,37
say,37
true,36
sometimes,36
one's,36
words,35
while,35
power,34
sense,34
shall,34
how,34
law,34
did,34
away,34
though,33
commonly,33
back,33
used,33
something,33
too,32
found,32
things,32
body,32
go,32
new,32
better,32
nature,32
through,31
enough,31
soul,31
give,31
house,31
art,31
woman,30
small,30
truth,30
here,30
following,30
court,30
last,29
country,29
popular,29
she,29
general,29
others,29
after,29
ever,29
less,28
holy,28
does,28
public,28
much,28
between,28
however,27
why,27
night,27
still,27
thing,27
let,27
nor,27
must,27
held,26
persons,26
little,26
tis,26
very,26
face,26
matter,26
yet,26
i'm,26
same,26
wisdom,25
people,25
modern,25
famous,25
get,25
thy,25
saw,25
three,25
church,25
character,25
religious,24
came,24
father,24
faith,24
light,24
white,24
distinguished,24
fool,24
because,24
order,24
devil,24
means,24
poor,23
worth,23
against,23
heaven,23
take,23
fell,23
over,23
ye,23
english,22
twas,22
period,22
cannot,22
sacred,22
earth,22
think,22
cried,22
speech,21
hope,21
hear,21
dr,21
form,21
sir,21
best,21
dog,21
might,21
tongue,21
sin,21
even,21
replied,21
lord,21
book,20
land,20
bad,20
nose,20
priest,20
put,20
also,20
under,20
political,20
seen,20
authority,20
read,20
dictionary,19
themselves,19
set,19
half,19
politics,19
done,19
christian,19
find,19
animal,19
religion,19
example,19
off,19
v,19
pray,19
man's,19
times,19
use,19
natural,18
chief,18
learned,18
degree,18
am,18
frequently,18
says,18
money,18
given,18
come,18
science,18
keep,18
till,18
whole,18
writer,18
adam,18
parts,17
royal,17
women,17
side,17
love,17
belief,17
living,17
war,17
that's,17
formerly,17
government,17
young,17
ear,17
itself,17
asked,17
wish,17
pious,17
i'll,17
particularly,17
purpose,17
mr,17
history,16
everything,16
affairs,16
condition,16
rich,16
female,16
friend,16
existence,16
hair,16
kinds,16
manner,16
just,16
divine,16
spirit,16
end,16
fly,16
language,16
although,16
favor,16
least,16
advantage,16
present,15
distinction,15
souls,15
ingenious,15
lines,15
bear,15
greatly,15
throne,15
free,15
race,15
solemn,15
peace,15
hell,15
number,15
whether,15
age,15
eyes,15
he's,15
thou,15
son,15
laws,15
view,15
hands,15
letter,15
indeed,15
water,15
show,15
took,15
makes,15
need,15
line,15
nations,15
wise,15
several,15
tail,15
denied,15
john,15
hundred,15
moral,15
mostly,15
knew,15
according,15
evidence,15
usually,15
deep,14
simple,14
act,14
knowledge,14
understand,14
heard,14
property,14
youth,14
philosophy,14
duty,14
species,14
fact,14
male,14
fire,14
pocket,14
grave,14
believe,14
ass,14
believed,14
honor,14
spiritual,14
bread,14
appears,14
civilization,14
always,14
look,14
visible,14
please,14
insurance,14
reason,14
considered,14
heart,14
doctrine,14
poets,13
whereby,13
hold,13
lexicographer,13
lived,13
far,13
instrument,13
neck,13
stone,13
lay,13
question,13
bishop,13
along,13
written,13
generally,13
b,13
eye,13
red,13
method,13
there's,13
joy,13
beautiful,13
black,13
office,13
latter,13
horse,13
virtues,13
neighbor,13
naught,13
supposed,13
years,13
latin,13
lost,13
either,13
common,13
tree,13
making,13
cast,13
wicked,13
england,13
both,13
personal,13
bird,13
large,12
brought,12
wit,12
sovereign,12
able,12
hath,12
told,12
ten,12
died,12
feet,12
next,12
ceremony,12
crime,12
passed,12
enemies,12
friends,12
philosopher,12
future,12
folly,12
point,12
wear,12
poet,12
whatever,12
lady,12
dear,12
tell,12
die,12
gave,12
gentleman,12
fall,12
value,12
lives,12
justice,12
live,12
later,12
thousand,12
don't,12
pay,12
looked,12
master,12
saint,12
literary,12
early,12
went,12
gift,12
officer,12
virtue,12
agent,12
until,11
books,11
become,11
sentiment,11
humor,11
left,11
quality,11
open,11
beyond,11
course,11
call,11
wrong,11
evil,11
opinion,11
action,11
birth,11
object,11
habit,11
wife,11
air,11
equal,11
creature,11
else,11
turn,11
beast,11
rite,11
account,11
comes,11
particular,11
invented,11
business,11
afterward,11
somewhat,11
named,11
fair,11
therefore,11
satan,11
enemy,11
monarch,11
again,11
since,11
thus,11
cat,11
success,11
professor,11
doubt,11
wrath,11
hard,11
effect,11
important,11
memory,11
illustrious,11
rule,11
blood,11
owner,11
care,11
standing,11
taken,11
title,10
author,10
already,10
forth,10
sweet,10
eminent,10
plain,10
temple,10
conduct,10
fame,10
pleasure,10
especially,10
taught,10
due,10
grand,10
gold,10
president,10
vices,10
sins,10
organ,10
superior,10
gone,10
gods,10
except,10
liberty,10
stood,10
fat,10
mad,10
eat,10
days,10
imaginary,10
record,10
grace,10
pleased,10
literature,10
imagination,10
noble,10
animals,10
glory,10
sea,10
ancients,10
various,10
doubtless,10
paid,10
performed,10
punishment,10
ask,10
low,10
seems,10
century,10
fine,10
created,10
deities,10
bones,10
sound,10
service,10
got,10
remains,10
awful,10
leave,10
views,10
military,10
holds,10
play,10
self,10
turned,10
o'er,10
instead,10
brown,10
neither,10
holding,10
conscience,10
he'd,10
mine,10
unknown,10
vote,10
honorable,10
disorder,10
knights,10
paper,9
merely,9
performance,9
hot,9
worship,9
minister,9
really,9
whence,9
immortal,9
centuries,9
trees,9
forever,9
respect,9
affected,9
another's,9
figure,9
process,9
longer,9
west,9
lead,9
wine,9
disease,9
plan,9
origin,9
serve,9
voice,9
c,9
carried,9
seven,9
mule,9
lying,9
development,9
sun,9
run,9
rank,9
custom,9
pardon,9
otherwise,9
save,9
born,9
grew,9
four,9
moon,9
single,9
smith,9
observed,9
employed,9
dinner,9
worthy,9
fellow,9
tomb,9
addicted,9
close,9
domestic,9
story,9
dignity,9
multitude,9
anything,9
rest,9
thinks,9
legs,9
pretty,9
material,9
roman,9
lower,9
mean,9
greater,9
force,9
change,9
lie,9
fashion,9
growth,9
short,9
member,9
originally,9
states,9
subject,9
fools,9
bodies,9
greeks,9
eternal,9
rome,9
case,9
past,9
ghost,9
sign,9
imperfectly,9
field,9
regarded,9
laughter,9
universe,9
miss,9
year,8
newspaper,8
added,8
pride,8
wealth,8
appropriate,8
nation,8
twere,8
reverence,8
deity,8
distinguishing,8
you'll,8
philosophers,8
near,8
ideas,8
stay,8
caught,8
school,8
ourselves,8
de,8
beneath,8
proof,8
thinking,8
fitted,8
supplied,8
metal,8
flesh,8
skill,8
desire,8
skin,8
appetite,8
archbishop,8
obsolete,8
disposition,8
speak,8
support,8
angels,8
thine,8
belly,8
chiefly,8
child,8
ere,8
weather,8
wood,8
