word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,most,1.05%,word,0.85%,world,0.61%
by,the,27.63%,a,9.34%,an,2.53%
was,a,6.69%,in,3.34%,not,3.34%
in,the,25.44%,a,7.65%,which,3.23%
a,man,1.96%,person,1.44%,certain,0.77%
and,the,7.26%,a,2.63%,his,1.65%
at,the,25.0%,all,7.14%,once,7.14%
long,as,8.47%,and,5.08%,been,5.08%
that,the,7.77%,he,6.62%,is,4.71%
of,the,23.66%,a,7.31%,his,3.14%
it,is,23.38%,was,7.46%,has,2.82%
with,a,20.09%,the,13.91%,his,4.42%
which,the,14.07%,is,8.89%,a,5.93%
had,been,14.46%,the,7.83%,a,6.02%
not,a,4.35%,the,3.68%,been,3.34%
to,the,16.2%,be,6.41%,a,3.08%
or,a,4.48%,the,3.48%,less,2.49%
this,is,11.88%,view,2.48%,country,2.48%
more,than,18.82%,of,5.88%,or,4.71%
been,a,4.72%,the,3.15%,in,2.36%
upon,the,35.58%,a,13.46%,which,7.69%
him,to,16.11%,and,7.38%,with,5.37%
when,the,13.48%,he,11.35%,it,7.09%
out,of,49.37%,the,10.13%,in,3.8%
its,most,2.47%,habit,1.85%,origin,1.85%
most,of,5.68%,conspicuous,3.41%,respectable,2.27%
these,are,7.69%,two,5.77%,to,3.85%
were,a,6.3%,in,3.94%,so,2.36%
some,of,16.0%,small,3.0%,are,3.0%
them,to,10.42%,in,8.33%,but,6.25%
they,are,14.43%,were,8.25%,have,5.67%
word,is,21.88%,of,7.81%,in,6.25%
into,the,43.24%,a,10.81%,two,2.7%
so,the,5.65%,called,5.08%,forth,4.52%
any,of,8.77%,one,8.77%,other,8.77%
as,a,15.4%,the,10.71%,he,4.46%
their,own,4.92%,lives,2.19%,hair,1.64%
many,of,14.49%,a,8.7%,kinds,5.8%
is,a,8.99%,the,7.88%,not,4.8%
made,a,16.42%,the,8.96%,by,8.96%
but,the,11.03%,it,4.63%,in,3.91%
no,more,8.11%,longer,5.41%,other,3.38%
his,own,4.67%,head,2.43%,face,1.5%
own,and,4.48%,work,2.99%,opinions,2.99%
be,a,5.73%,the,2.67%,no,1.91%
who,has,7.22%,had,5.05%,have,3.61%
from,the,36.19%,a,5.45%,his,4.67%
whose,duty,3.08%,business,3.08%,writings,3.08%
n,a,41.07%,the,21.63%,an,12.27%
an,ancient,3.6%,ingenious,1.92%,imaginary,1.68%
dead,and,7.55%,whose,3.77%,as,3.77%
all,the,17.73%,that,6.36%,things,4.09%
for,the,24.72%,a,5.84%,his,2.02%
her,to,3.08%,she,1.54%,hair,1.54%
god,of,11.76%,made,7.84%,and,7.84%
men,are,9.8%,of,7.84%,the,5.88%
one,of,21.22%,who,15.83%,day,5.4%
know,that,7.84%,him,5.88%,nothing,5.88%
if,it,12.04%,they,7.41%,he,7.41%
would,be,22.54%,have,14.08%,not,8.45%
adj,having,7.95%,pertaining,5.68%,unable,4.55%
man,who,10.22%,is,7.3%,of,5.84%
than,the,15.24%,a,10.48%,it,5.71%
he,had,6.81%,was,5.6%,is,4.87%
himself,in,7.02%,from,5.26%,a,5.26%
have,been,17.27%,a,3.64%,no,3.18%
we,are,9.4%,have,8.55%,know,6.84%
what,he,8.14%,is,6.98%,we,5.81%
my,son,6.36%,own,3.64%,friend,2.73%
i,am,6.69%,have,4.46%,should,4.09%
only,to,9.84%,one,6.56%,the,6.56%
on,the,32.8%,a,9.14%,his,3.76%
said,the,13.08%,to,12.31%,he,7.69%
like,a,33.33%,the,24.07%,an,7.41%
without,a,11.27%,knowledge,2.82%,it,2.82%
are,not,6.53%,the,4.08%,of,2.04%
another,to,6.25%,the,6.25%,and,3.12%
do,not,17.86%,you,12.5%,the,5.36%
person,of,25.0%,who,16.18%,and,5.88%
has,been,15.48%,not,7.14%,the,6.55%
having,a,18.06%,no,6.94%,been,4.17%
where,the,18.18%,he,10.91%,it,10.91%
good,as,5.19%,man,3.9%,and,3.9%
you,are,5.47%,to,3.48%,would,2.49%
our,own,9.89%,holy,4.4%,civilization,2.2%
other,side,2.78%,basis,2.78%,views,2.78%
being,a,7.69%,the,6.15%,that,3.08%
two,kinds,5.26%,persons,3.95%,parts,2.63%
every,one,9.8%,kind,5.88%,other,5.88%
now,the,6.15%,a,6.15%,to,4.62%
will,not,10.0%,be,8.75%,serve,3.75%
great,and,4.88%,wealth,2.44%,is,2.44%
your,own,3.36%,house,2.52%,pardon,2.52%
day,the,10.34%,to,6.9%,a,5.17%
may,be,38.81%,justly,4.48%,chance,2.99%
there,is,29.35%,are,18.48%,was,10.87%
then,the,7.58%,he,6.06%,all,4.55%
known,as,30.91%,to,16.36%,that,7.27%
time,when,11.76%,of,9.8%,and,7.84%
me,to,15.0%,with,5.0%,my,5.0%
