word type,number
everything,548990
adult,14
hate,18
function,305353
normal,number
the,32453
and,16805
to,16625
of,12776
a,12503
she,9908
in,9565
her,9404
that,8700
it,7795
was,6940
i,5951
had,5461
he,5388
as,5050
for,4890
with,4614
you,4102
on,3910
his,3406
at,3188
but,2977
be,2950
so,2948
all,2721
little,2690
they,2569
one,2503
is,2432
have,2402
up,2394
him,2263
when,2211
out,2149
not,2136
from,1944
if,1912
me,1878
were,1804
by,1788
would,1735
there,1668
them,1663
said,1638
this,1636
been,1633
could,1588
an,1580
my,1539
old,1475
then,1398
time,1335
into,1330
over,1319
down,1280
we,1277
like,1269
back,1268
what,1191
their,1162
no,1152
who,1142
some,1118
about,1104
way,1103
now,1070
just,1070
which,1047
such,984
do,980
made,941
will,922
only,909
day,900
how,891
long,881
see,879
came,865
are,850
or,845
know,845
room,829
before,827
than,816
mary,807
betty,805
more,800
go,798
make,798
come,796
any,773
away,753
after,750
good,743
joyce,738
around,736
your,736
has,733
face,720
oh,717
did,715
never,707
home,693
first,693
every,688
i'll,686
thought,685
don't,683
it's,679
much,674
can,664
think,653
girls,647
through,644
again,632
too,619
eyes,619
went,618
its,615
i'm,609
mrs,602
take,590
where,584
get,584
other,583
things,570
last,559
here,555
miss,548
going,545
always,545
well,542
us,537
herself,536
looked,535
white,529
two,527
began,520
house,515
night,513
jack,501
tell,500
something,497
look,492
seemed,486
place,485
school,483
hand,468
ever,464
great,462
our,460
even,457
very,457
many,453
phil,443
while,440
put,433
found,430
must,429
say,422
door,422
left,416
colonel,411
life,411
answered,409
story,408
keep,407
morning,407
told,407
until,404
might,403
each,401
off,401
heard,395
turned,392
i've,390
head,389
next,389
girl,386
saw,385
asked,384
new,378
give,376
should,376
anything,370
looking,369
want,368
knew,368
called,366
under,365
because,363
man,361
thing,361
across,352
heart,349
own,348
gave,348
exclaimed,347
cried,347
find,346
gay,346
almost,345
hall,343
boys,343
big,341
same,341
stood,341
rob,339
still,337
right,336
sat,333
took,331
half,328
kitty,326
most,326
times,322
enough,322
those,322
book,321
another,320
till,319
hands,318
why,317
red,315
can't,314
i'd,313
felt,312
since,312
am,300
didn't,300
wouldn't,298
days,295
people,293
once,289
feel,288
soon,286
table,285
work,284
window,283
far,282
moment,281
behind,281
world,279
coming,277
