word type,number
everything,28726
adult,0
hate,0
function,16090
normal,number
the,1743
and,937
to,800
a,652
of,602
in,538
that,517
she,487
her,430
was,402
he,391
it,352
had,308
his,285
with,265
as,265
i,247
for,239
little,206
on,197
you,184
joyce,177
at,159
all,156
him,150
be,145
so,138
one,137
old,131
have,131
is,130
up,129
not,129
but,127
they,114
by,107
out,107
from,104
could,104
been,102
when,101
this,100
there,98
were,97
if,96
down,90
would,90
then,89
said,84
back,80
me,79
time,78
like,77
home,77
no,75
over,75
into,74
madame,71
my,68
them,67
room,63
scissors,60
only,60
an,59
now,59
some,59
day,58
about,56
way,55
before,54
came,54
will,52
see,52
what,52
their,52
such,51
never,50
house,49
eyes,49
more,49
gate,48
monsieur,48
cousin,48
or,48
long,46
who,45
every,45
just,44
has,44
around,43
come,43
than,43
tree,42
do,42
looked,42
oh,41
again,41
made,40
began,40
away,40
how,39
great,38
big,38
after,38
ever,38
cried,38
must,38
where,37
went,37
face,36
other,36
white,36
door,36
across,36
poor,36
your,36
here,35
did,34
are,34
go,34
which,34
sister,34
christmas,33
through,33
head,33
think,33
any,32
thought,32
first,32
its,32
night,31
we,31
say,30
very,29
hand,29
good,29
last,29
two,29
something,29
can,28
found,28
heard,28
know,27
prince,27
too,27
marie,27
until,26
hands,26
am,26
make,26
told,26
tell,26
much,26
road,26
brought,26
those,26
morning,26
each,25
herself,25
going,25
knew,25
put,25
take,25
even,24
beautiful,24
place,24
while,24
since,24
stood,24
still,24
child,24
voice,24
himself,24
hair,23
should,23
heart,23
children,23
uncle,23
fairy,22
garden,22
seemed,22
saw,22
open,22
man,22
look,22
gave,22
thing,21
turned,21
next,21
shall,21
life,21
thou,21
mademoiselle,21
thirty,20
gone,20
mother,20
many,20
looking,20
far,20
blue,20
ran,20
stairs,20
side,20
keep,20
jack,19
coming,19
soon,19
shut,19
seen,19
three,19
felt,19
field,19
nothing,19
because,19
things,19
once,19
dark,19
exclaimed,19
might,19
carriage,19
giant,18
sat,18
sitting,18
dear,18
half,18
left,18
opened,18
own,18
towards,18
happy,18
sight,17
enough,17
woman,17
always,17
goats,17
anything,17
window,16
passed,16
times,16
slowly,16
well,16
ogre,16
another,16
friend,16
ciseaux,16
new,15
behind,15
number,15
high,15
years,15
afternoon,15
fire,15
bring,15
these,15
stopped,15
wish,15
gabriel,15
why,15
used,15
arms,15
cut,15
without,15
asked,15
brown,14
picture,14
beside,14
several,14
lay,14
fell,14
story,14
off,14
few,14
done,14
drew,14
longer,14
reached,14
together,14
pleasure,14
held,14
along,14
people,14
bed,14
table,14
i'll,14
french,13
can't,13
closed,13
waiting,13
dress,13
days,13
under,13
dropped,13
give,13
light,13
kingdom,13
set,13
words,13
carried,13
answer,13
thanksgiving,12
illustration,12
five,12
standing,12
world,12
whom,12
tears,12
isn't,12
name,12
king,12
thy,12
almost,12
took,12
find,12
i've,12
sisters,12
chapter,11
feel,11
baby,11
help,11
village,11
there's,11
corn,11
maybe,11
dinner,11
whole,11
town,11
let,11
shoulders,11
mouth,11
watch,11
sweet,11
answered,11
i'd,11
moment,11
dead,11
arm,11
boy,11
master,11
nearly,11
song,11
anybody,11
ask,11
tale,10
crying,10
tired,10
wall,10
started,10
don't,10
minutes,10
against,10
kitchen,10
same,10
soft,10
shoes,10
saying,10
tours,10
visit,10
live,10
alone,10
country,10
smile,10
forth,10
hour,10
upon,10
led,10
may,10
get,10
faint,10
money,10
rose,10
sound,10
called,10
end,10
red,10
martin,10
surprise,10
glad,10
step,10
laid,10
everybody,10
afraid,10
pear,9
air,9
feeling,9
hard,9
taking,9
fingers,9
inside,9
lived,9
right,9
better,9
hear,9
it's,9
talk,9
windows,9
top,9
also,9
watched,9
wondered,9
matter,9
got,9
sure,9
shoulder,9
son,9
nor,9
among,9
lips,9
wild,9
caught,9
scarcely,9
fly,9
short,9
brother,9
true,9
kept,9
eat,9
frightened,9
known,9
broken,9
strange,9
i'm,9
else,9
love,9
says,9
hall,9
lovely,9
grandmother,9
letter,8
corner,8
cry,8
knees,8
gray,8
wide,8
book,8
work,8
sun,8
hurried,8
played,8
often,8
near,8
taken,8
child's,8
followed,8
fields,8
speak,8
english,8
hung,8
cart,8
paris,8
suddenly,8
aside,8
feet,8
showed,8
brothers,8
large,8
fast,8
unselfish,8
service,8
rhyme,8
making,8
lantern,8
sent,8
somebody,8
family,8
twenty,8
sometimes,8
part,8
walking,8
singing,8
francs,8
word,8
both,8
cushions,8
whenever,8
ghost,7
although,7
thinking,7
having,7
fine,7
between,7
us,7
opening,7
box,7
tall,7
best,7
talking,7
music,7
possible,7
outside,7
girl,7
stand,7
ought,7
father,7
dog,7
wait,7
trees,7
walked,7
black,7
that's,7
others,7
fearless,7
fair,7
follow,7
cap,7
laugh,7
thee,7
grew,7
shining,7
least,7
being,7
full,7
fellow,7
turn,7
meet,7
early,7
wooden,7
peasant,7
quick,7
forward,7
comes,7
running,7
news,7
different,7
supper,7
candle,7
usual,7
sing,7
play,7
added,7
bread,7
excuse,7
drawing,7
memory,7
o,7
stars,7
really,7
hers,7
most,7
believe,7
hundred,7
front,7
mean,7
hope,7
our,7
warm,7
flowers,7
gay,7
turning,7
barbecue,6
want,6
stone,6
foreign,6
faces,6
france,6
homesick,6
wonder,6
born,6
bushes,6
plain,6
loud,6
served,6
seem,6
witch,6
ware,6
trying,6
unusual,6
order,6
maid,6
spent,6
expected,6
young,6
spend,6
aunt,6
lies,6
loire,6
year,6
minute,6
brave,6
bright,6
mind,6
throat,6
bell,6
second,6
during,6
wished,6
