word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,good,5.61%,and,2.8%,interrupted,2.8%
the,in,10.47%,of,8.79%,to,5.09%
scissors,the,48.33%,giant,30.0%,big,3.33%
i,that,14.46%,and,6.61%,if,6.2%
in,up,3.39%,was,3.01%,him,1.69%
a,with,7.38%,in,7.08%,was,5.23%
and,up,2.1%,back,1.55%,it,1.43%
joyce,that,8.05%,said,5.75%,exclaimed,5.17%
old,the,25.19%,an,11.45%,poor,6.11%
one,thirty,11.03%,no,6.62%,on,5.15%
an,such,8.47%,was,6.78%,for,6.78%
of,out,4.33%,one,3.49%,think,1.66%
was,it,19.53%,she,12.76%,he,10.42%
up,looked,3.88%,them,3.1%,sitting,2.33%
she,that,12.0%,as,9.68%,when,4.0%
had,she,24.11%,he,16.67%,joyce,6.03%
down,and,12.36%,going,6.74%,it,3.37%
to,began,2.41%,back,2.28%,up,1.65%
out,was,3.77%,put,3.77%,reached,3.77%
for,thing,1.69%,waiting,1.69%,but,1.69%
not,did,13.28%,was,10.94%,would,10.16%
that,and,3.13%,so,2.94%,all,2.54%
with,her,2.3%,and,2.3%,him,1.92%
it,that,7.76%,and,4.02%,of,3.74%
her,in,10.49%,of,7.69%,with,7.46%
like,was,7.89%,more,3.95%,exactly,2.63%
so,was,6.62%,were,5.88%,been,4.41%
no,had,10.81%,have,6.76%,was,6.76%
only,was,16.67%,the,16.67%,could,8.33%
been,had,47.06%,have,21.57%,has,11.76%
little,the,22.17%,a,16.26%,poor,3.94%
day,the,15.52%,every,13.79%,thanksgiving,10.34%
on,went,4.59%,down,3.06%,standing,2.55%
were,they,15.96%,there,6.38%,that,5.32%
all,in,8.97%,was,7.05%,and,5.77%
is,it,27.87%,he,9.02%,she,7.38%
at,looked,7.64%,look,3.82%,house,2.55%
home,at,21.05%,old,6.58%,come,5.26%
room,the,51.67%,next,8.33%,his,6.67%
me,to,12.66%,for,8.86%,told,7.59%
as,just,3.83%,soon,3.83%,was,1.92%
will,it,11.54%,he,11.54%,i,7.69%
be,to,30.34%,would,13.1%,not,8.28%
from,away,8.82%,back,5.88%,her,2.94%
have,i,17.69%,would,15.38%,to,10.77%
my,of,10.29%,to,5.88%,and,4.41%
there,and,12.37%,that,7.22%,was,3.09%
such,in,17.65%,of,13.73%,with,9.8%
time,the,19.23%,this,15.38%,that,7.69%
they,as,8.93%,when,8.93%,that,8.04%
this,in,9.09%,than,4.04%,all,4.04%
if,as,30.11%,oh,4.3%,even,4.3%
could,he,29.13%,she,16.5%,joyce,6.8%
back,came,8.86%,went,6.33%,her,5.06%
see,to,42.31%,could,21.15%,and,9.62%
them,of,13.43%,with,7.46%,made,4.48%
but,me,2.42%,first,2.42%,do,2.42%
over,all,6.76%,come,6.76%,came,4.05%
then,and,32.18%,just,4.6%,it,2.3%
about,was,7.14%,me,7.14%,all,7.14%
into,came,6.85%,it,5.48%,out,5.48%
way,the,38.18%,this,5.45%,their,5.45%
what,know,7.84%,oh,5.88%,wondering,3.92%
would,it,17.98%,he,14.61%,she,8.99%
now,and,5.36%,down,3.57%,it,3.57%
before,it,5.56%,seen,5.56%,long,3.7%
some,of,8.47%,that,5.08%,in,5.08%
his,in,11.03%,of,8.19%,on,7.47%
you,if,7.14%,do,6.04%,that,5.49%
their,in,17.31%,of,15.38%,with,5.77%
when,night,4.08%,but,4.08%,and,3.06%
he,that,11.98%,as,5.21%,and,4.43%
madame,and,7.04%,that,7.04%,said,5.63%
said,she,32.89%,he,9.21%,they,5.26%
him,to,7.33%,for,5.33%,tell,4.0%
