word type,number
everything,64737
adult,0
hate,0
function,35645
normal,number
the,3982
and,1954
to,1936
of,1531
a,1426
in,1182
she,1168
her,1109
that,930
it,865
i,698
was,677
had,595
as,593
for,566
you,530
with,515
on,454
they,394
at,367
little,358
but,349
be,345
all,337
one,327
have,314
he,312
is,305
so,304
from,260
up,255
when,250
not,243
by,239
out,233
were,227
me,227
if,224
them,221
their,216
said,212
would,200
his,199
we,198
an,196
there,190
could,190
been,189
this,185
betty,179
my,176
who,173
which,171
old,170
ida,167
girls,158
room,154
time,151
way,150
him,147
into,147
about,146
over,140
no,137
do,136
such,136
some,131
what,129
like,128
down,127
are,122
back,121
then,119
before,116
will,114
now,112
just,112
only,110
school,107
our,106
every,106
made,104
or,102
how,101
think,98
more,98
know,98
long,97
come,96
day,95
than,95
any,93
it's,91
after,90
kitty,90
face,89
oh,88
can,87
around,87
too,86
don't,86
make,86
i'll,86
other,84
see,84
away,84
eyes,84
came,84
again,83
never,82
night,82
good,80
go,80
us,80
story,78
did,78
your,78
first,75
home,74
tell,74
club,73
i'm,73
door,73
through,72
has,72
mrs,72
each,69
much,69
miss,68
girl,67
exclaimed,67
get,67
two,66
even,66
same,66
last,66
began,65
thought,64
went,63
its,62
always,62
white,61
well,61
things,61
told,61
seminary,61
must,60
say,59
here,58
hand,58
colonel,57
shadow,56
where,56
lloyd's,56
herself,56
while,56
looked,56
stood,55
saw,55
take,55
going,55
look,55
something,54
answered,54
hall,54
princess,53
many,53
cried,53
felt,53
heard,51
very,51
anything,51
turned,50
place,50
want,50
seemed,50
put,49
left,49
gave,49
life,49
book,48
under,48
give,47
heart,46
off,46
feel,46
took,46
across,46
magnolia,46
three,45
rob,45
i've,45
read,45
hair,45
toward,45
table,44
can't,44
until,44
morning,44
ever,44
might,44
house,43
bed,43
next,43
ask,43
i'd,42
head,42
looking,42
picture,42
asked,41
till,41
half,41
wouldn't,41
another,40
am,40
because,40
should,40
found,40
cloth,39
illustrated,39
times,39
light,39
new,38
we'll,38
keep,38
why,38
people,38
father,38
upon,37
right,37
own,37
knew,37
most,37
sat,36
called,36
cousin,36
young,35
that's,35
passed,35
thing,35
glad,35
few,35
those,35
window,35
afternoon,34
locust,34
high,34
stairs,34
didn't,34
started,34
enough,34
red,34
thou,34
hear,33
held,33
since,33
love,33
once,33
soon,33
side,33
work,33
aunt,32
behind,32
let,32
almost,32
big,31
sweet,31
both,31
against,31
year,31
name,31
along,31
far,31
mirror,31
written,31
voice,30
several,30
stories,29
still,29
being,29
stopped,29
gone,29
done,29
nearly,29
yes,29
hands,29
couldn't,29
week,29
best,29
taken,29
days,29
moment,29
help,29
beautiful,29
find,29
part,29
open,29
silence,29
prince,29
christmas,28
waiting,28
great,28
man,28
years,28
child,28
grown,28
lay,28
shall,28
thy,28
decorative,28
page,27
may,27
together,27
talk,27
blue,27
four,27
brought,27
thee,27
jack,26
boy,26
these,26
near,26
family,26
lady,26
set,26
carry,26
dark,26
world,26
fair,26
hour,25
seems,25
gold,25
longer,25
coming,25
five,25
play,25
whispered,25
outside,25
front,25
others,25
seen,25
letters,25
paper,25
stars,25
colonel's,24
books,24
friend,24
she's,24
call,24
nothing,24
end,24
smile,24
fun,24
saying,24
without,24
tears,24
reached,24
themselves,24
mind,24
kind,24
katherine,24
chapter,23
hallowe'en,23
word,23
tone,23
mom,23
beside,23
instead,23
between,23
gate,23
whom,23
whole,23
care,23
use,23
letter,23
supper,23
fit,23
web,23
tree,22
short,22
beck,22
added,22
box,22
walk,22
there's,22
children,22
interest,22
friends,22
kept,22
haven't,22
mother,22
small,21
wall,21
valley,21
everything,21
course,21
anybody,21
real,21
betty's,21
ran,21
maggie,21
better,21
influence,20
watch,20
although,20
everybody,20
sight,20
evening,20
you're,20
believe,20
having,20
laughed,20
used,20
trying,20
walked,20
else,20
wait,20
got,20
ought,20
write,20
isn't,20
rose,20
cover,19
mark,19
summer,19
secret,19
sound,19
show,19
among,19
stay,19
you've,19
wasn't,19
yet,19
wanted,19
often,19
minutes,19
presently,19
different,19
known,19
account,19
let's,19
happy,19
boarding,18
party,18
matter,18
makes,18
happened,18
really,18
bright,18
laid,18
road,18
slowly,18
pretty,18
wish,18
interesting,18
fire,18
suggested,18
hurried,18
gray,18
closet,18
trade,17
standing,17
ghost,17
fingers,17
pass,17
early,17
stop,17
true,17
suppose,17
please,17
office,17
sure,17
nobody,17
clock,17
cold,17
stand,17
ready,17
alone,17
live,17
boys,17
sent,17
past,17
finally,17
rest,17
turning,17
slipped,17
feeling,17
listen,17
daisy,17
loom,17
above,16
beeches,16
opened,16
inside,16
tall,16
dress,16
led,16
steps,16
leaves,16
living,16
afraid,16
late,16
possible,16
soft,16
thinking,16
whose,16
glance,16
cast,16
matron,16
library,16
wing,16
pleased,16
run,16
hat,16
gift,16
willing,16
followed,16
golden,16
suddenly,16
words,16
mallard,16
grew,16
mantle,16
kentucky,15
corner,15
learned,15
aside,15
bad,15
papa,15
does,15
lovely,15
path,15
talking,15
step,15
funny,15
you'd,15
able,15
post,15
dear,15
won't,15
orchard,15
hard,15
sort,15
dozen,15
wonder,15
low,15
weave,15
poor,15
sometimes,15
tale,15
later,15
happiness,15
thread,15
volume,14
knight,14
watching,14
order,14
trees,14
understand,14
played,14
laughing,14
ago,14
helped,14
you'll,14
bring,14
edith,14
turn,14
begin,14
fast,14
telling,14
says,14
listened,14
air,14
apple,14
seem,14
making,14
reason,14
met,14
speak,14
besides,14
depot,14
hung,14
sake,14
trouble,14
store,14
lad,14
hertha,14
series,13
large,13
comes,13
author,13
meet,13
pendulum,13
avenue,13
town,13
filled,13
drawing,13
coloured,13
foot,13
hurry,13
sitting,13
need,13
wild,13
case,13
pupils,13
passing,13
seat,13
six,13
shoulders,13
arms,13
shoulder,13
means,13
bell,13
older,13
adventures,13
stole,13
violet,13
mean,13
minute,13
voices,13
music,13
bag,13
meeting,13
spirit,13
reading,13
weaving,13
illustration,12
hero,12
start,12
windows,12
floor,12
what's,12
busy,12
we've,12
spoke,12
shadows,12
doing,12
we're,12
simply,12
tried,12
finished,12
cut,12
opening,12
chapel,12
quite,12
continued,12
wondered,12
repeated,12
question,12
carried,12
e,12
hadn't,12
rooms,12
proud,12
thoughts,12
perfect,12
single,12
he's,12
laugh,12
faces,12
dead,12
recess,12
beginning,12
eagerly,12
full,12
hearts,12
slip,12
afterward,12
mine,12
daughter,12
train,12
dale,12
jean,12
vol,11
l,11
fall,11
morrow,11
chair,11
usual,11
brown,11
spread,11
send,11
leave,11
country,11
taking,11
unless,11
wore,11
green,11
closed,11
fence,11
woman,11
moved,11
begged,11
decided,11
showed,11
teasing,11
doesn't,11
ill,11
dinner,11
glanced,11
middle,11
spend,11
proposed,11
hide,11
pleasure,11
fancy,11
already,11
changed,11
dropped,11
sorry,11
rang,11
seeing,11
bare,11
caught,11
forgot,11
church,11
tales,11
measure,11
follow,11
arm,11
getting,11
cabin,11
warp,11
knights,10
etc,10
covered,10
somebody,10
clear,10
giving,10
demanded,10
sit,10
explained,10
leaned,10
close,10
wells,10
change,10
forward,10
warm,10
ones,10
picked,10
grow,10
threw,10
certainly,10
opposite,10
also,10
strong,10
friendship,10
spring,10
hold,10
sixteen,10
given,10
length,10
hers,10
answer,10
o'clock,10
spell,10
hurt,10
match,10
instant,10
promised,10
lamp,10
round,10
devotion,10
pearl,10
myself,10
mountain,10
struck,10
we'd,10
verse,10
teachers,10
plan,10
familiar,10
shut,10
barely,10
exciting,10
they're,10
west,10
trifle,10
figure,10
yardstick,10
giant,9
holidays,9
maid,9
colour,9
brother,9
built,9
handkerchief,9
selves,9
feet,9
guests,9
thanksgiving,9
moonlight,9
knave,9
conversation,9
hastily,9
swinging,9
surprise,9
noticed,9
disappeared,9
curtains,9
hot,9
awhile,9
stepped,9
smiling,9
stone,9
imagine,9
slow,9
deep,9
remember,9
least,9
mail,9
worth,9
wants,9
apples,9
monday,9
cross,9
water,9
forget,9
finger,9
quick,9
figures,9
watched,9
friendly,9
scarcely,9
itself,9
weeks,9
heads,9
attention,9
perfectly,9
winsome,9
flower,9
person,9
copy,9
visit,9
showing,9
nice,9
dining,9
history,9
daily,9
crossed,9
mantel,9
walls,9
photograph,9
fine,9
wondering,9
desk,9
drew,9
space,9
straight,9
lived,9
listening,9
fell,9
softly,9
talked,9
sleep,9
square,9
writing,9
carpet,9
questions,9
ten,9
fresh,9
carrying,9
burned,9
announced,9
affair,9
frightened,9
pillow,9
rag,9
puritan,9
himself,9
lucy,9
wearing,9
sir,9
inner,9
delightful,9
campers,9
fellows,8
scissors,8
vacation,8
weavers,8
b,8
masquerade,8
sudden,8
comfortable,8
flutter,8
packed,8
handsome,8
important,8
she'll,8
lower,8
breath,8
surely,8
top,8
midnight,8
intended,8
lessons,8
basket,8
except,8
saturday,8
piece,8
locusts,8
absorbed,8
strolled,8
charm,8
during,8
hiding,8
wide,8
liberty,8
evidently,8
names,8
popular,8
smiled,8
goes,8
remarked,8
families,8
paused,8
glances,8
thinks,8
worked,8
drawn,8
places,8
hardly,8
suit,8
mighty,8
insisted,8
silver,8
they've,8
promise,8
self,8
ways,8
hesitated,8
either,8
cape,8
romance,8
tells,8
neck,8
members,8
they'll,8
dreams,8
running,8
corn,8
die,8
neighbours,8
album,8
autograph,8
broke,8
received,8
envelope,8
class,8
dolls,8
marks,8
baby,8
feathers,8
black,8
common,8
mary,8
holding,8
lighted,8
veiled,8
second,8
lantern,8
cloak,8
dream,8
forth,8
bond,8
