word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,21.72%,a,7.24%,her,3.62%
and,the,7.68%,she,3.08%,i,2.81%
the,little,2.85%,girls,1.65%,same,1.53%
this,is,11.6%,morning,6.63%,way,4.97%
was,a,8.73%,the,7.53%,so,3.77%
from,the,43.48%,her,7.11%,one,3.95%
made,a,14.0%,her,13.0%,it,8.0%
is,the,8.84%,a,8.16%,in,3.4%
little,colonel,14.0%,colonel's,6.86%,girl,2.86%
colonel,at,11.11%,stories,5.56%,books,5.56%
at,the,31.61%,her,8.33%,all,2.59%
school,and,10.89%,had,3.96%,by,2.97%
of,the,28.19%,a,6.08%,her,5.05%
each,other,25.76%,one,13.64%,side,4.55%
one,of,16.62%,thing,2.46%,for,2.46%
in,the,32.56%,a,9.73%,her,6.89%
two,little,15.38%,girls,10.77%,by,4.62%
a,little,3.53%,few,1.76%,moment,1.41%
good,times,11.54%,to,11.54%,bye,8.97%
story,of,34.62%,which,5.13%,but,3.85%
that,she,12.39%,the,6.31%,i,5.42%
other,girls,14.29%,side,9.52%,and,5.95%
with,a,19.04%,the,16.83%,her,7.01%
she,had,13.23%,was,8.59%,said,3.35%
stood,there,10.91%,watching,5.45%,the,5.45%
there,was,27.81%,she,6.42%,are,5.88%
on,the,40.9%,her,8.54%,a,4.72%
her,to,2.82%,eyes,2.46%,face,2.27%
i,have,6.29%,am,5.41%,don't,5.26%
shadow,club,51.85%,selves,16.67%,of,9.26%
which,she,16.36%,the,6.67%,to,4.85%
to,the,9.98%,be,5.68%,her,3.61%
did,not,35.9%,you,7.69%,sway,3.85%
our,little,32.38%,shadow,8.57%,club,4.76%
where,the,24.07%,we,14.81%,they,12.96%
we,are,9.64%,can,9.14%,were,7.61%
can,make,9.41%,be,7.06%,never,5.88%
all,the,27.54%,that,6.29%,her,4.79%
girls,who,9.55%,to,7.01%,were,6.37%
who,had,15.2%,is,4.68%,told,4.09%
like,a,21.49%,the,15.7%,to,14.88%
are,the,6.78%,going,5.08%,all,4.24%
princess,winsome,16.98%,she,9.43%,i,9.43%
or,the,9.0%,more,4.0%,that,4.0%
club,in,9.72%,and,8.33%,that,5.56%
night,and,12.2%,the,7.32%,she,4.88%
white,duck,6.56%,fingers,4.92%,flower,4.92%
must,be,35.59%,have,18.64%,go,6.78%
be,a,5.95%,the,5.06%,glad,3.57%
