word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,cousin,6.03%,illustrated,5.6%,went,1.72%
and,betty,1.1%,it,1.1%,up,1.05%
the,of,10.55%,in,9.66%,to,4.8%
at,look,3.89%,up,2.5%,looked,2.5%
was,it,23.26%,she,15.5%,there,8.06%
from,away,4.3%,back,3.12%,up,2.34%
made,had,10.58%,that,9.62%,i,5.77%
is,it,20.0%,this,7.12%,that,7.12%
little,the,31.64%,a,14.12%,our,9.6%
colonel,little,85.96%,old,10.53%,ole,1.75%
school,the,31.31%,boarding,16.16%,to,10.1%
of,out,3.69%,one,3.55%,think,2.17%
one,the,8.39%,some,6.52%,every,4.66%
in,was,1.91%,her,1.73%,up,1.39%
two,the,26.56%,and,6.25%,only,6.25%
good,a,16.46%,the,10.13%,too,2.53%
each,to,8.96%,at,7.46%,of,5.97%
story,the,32.47%,a,19.48%,this,7.79%
that,and,2.86%,all,2.31%,so,1.98%
a,in,8.0%,with,6.73%,of,6.3%
with,her,2.66%,room,1.84%,said,1.64%
she,that,9.86%,as,8.54%,when,5.55%
stood,she,21.15%,which,9.62%,gun,5.77%
there,and,4.79%,that,4.26%,but,3.72%
on,down,2.03%,went,2.03%,up,1.58%
her,in,7.23%,of,6.69%,to,6.15%
i,and,7.78%,that,7.34%,if,4.79%
shadow,the,53.57%,our,16.07%,their,3.57%
which,in,8.28%,to,5.33%,book,3.55%
to,going,2.1%,have,1.95%,want,1.68%
did,she,25.35%,i,9.86%,who,5.63%
our,cousin,19.15%,in,8.51%,of,6.38%
where,place,11.11%,fall,7.41%,room,5.56%
we,that,9.9%,if,9.9%,when,6.25%
can,i,25.0%,we,21.43%,you,15.48%
never,had,16.46%,i,8.86%,can,6.33%
all,of,6.48%,with,5.25%,in,3.7%
girls,the,42.21%,other,7.79%,two,4.55%
who,girls,9.68%,girl,4.52%,know,3.23%
like,i'd,8.73%,i,4.76%,it's,3.97%
are,you,19.83%,we,15.7%,they,10.74%
club,shadow,38.36%,the,34.25%,a,6.85%
princess,the,50.94%,a,9.43%,oh,7.55%
or,ghost,2.06%,her,2.06%,him,2.06%
girl,little,14.93%,a,13.43%,the,10.45%
day,the,13.04%,every,9.78%,to,8.7%
night,that,11.11%,to,11.11%,the,9.88%
white,the,25.0%,little,11.67%,and,10.0%
must,i,23.33%,she,13.33%,you,10.0%
be,to,31.2%,would,13.7%,will,8.45%
my,in,5.71%,of,5.14%,for,5.14%
could,she,20.67%,i,10.61%,they,8.94%
every,in,12.26%,and,8.49%,that,6.6%
it,of,3.76%,that,2.94%,if,2.7%
for,time,2.14%,waiting,2.14%,care,1.61%
them,for,11.76%,of,10.86%,with,4.98%
through,pass,7.04%,way,5.63%,be,4.23%
up,picked,3.14%,sat,2.75%,looked,2.35%
too,was,10.71%,is,5.95%,bed,3.57%
home,at,8.11%,from,6.76%,of,5.41%
see,to,38.55%,you,10.84%,not,7.23%
you,if,4.62%,do,4.62%,for,4.24%
again,out,6.1%,and,4.88%,you,3.66%
his,of,12.12%,in,12.12%,on,6.57%
something,do,14.81%,there's,7.41%,was,5.56%
its,with,12.9%,in,11.29%,and,6.45%
as,just,2.77%,and,2.6%,it,2.08%
he,that,8.94%,as,7.62%,and,3.97%
down,sat,4.76%,and,3.97%,way,2.38%
had,she,27.85%,they,9.22%,he,4.88%
come,to,16.84%,had,8.42%,you,5.26%
they,as,11.51%,and,6.91%,that,6.65%
were,they,23.85%,we,6.88%,you,5.96%
not,did,11.91%,could,11.06%,had,9.79%
then,and,25.86%,just,3.45%,hall,2.59%
even,she,7.69%,and,7.69%,not,4.62%
been,had,46.56%,have,19.58%,has,6.88%
this,of,9.2%,in,6.9%,at,4.02%
time,the,24.67%,every,6.0%,first,5.33%
back,the,9.09%,came,8.26%,looked,4.96%
but,her,2.44%,it,2.13%,you,1.83%
now,and,7.48%,but,5.61%,just,4.67%
away,turned,9.52%,it,5.95%,far,5.95%
long,the,25.26%,a,15.79%,as,7.37%
room,the,26.21%,her,7.59%,dining,6.21%
old,the,28.57%,an,14.88%,of,4.17%
what,and,4.72%,know,4.72%,is,3.94%
has,she,25.71%,he,15.71%,that,5.71%
answered,she,11.54%,he,9.62%,yes,5.77%
him,to,9.66%,for,5.52%,see,5.52%
an,of,7.77%,with,7.25%,such,6.74%
exclaimed,she,24.59%,he,9.84%,that,4.92%
well,as,13.56%,be,6.78%,it,5.08%
out,it,4.35%,coming,2.61%,find,2.61%
hall,the,75.47%,lower,9.43%,upper,3.77%
first,the,50.68%,at,6.85%,she,4.11%
face,her,29.07%,lloyd's,9.3%,the,6.98%
over,all,5.0%,come,3.57%,it,3.57%
tell,to,36.11%,i'll,9.72%,and,8.33%
me,to,16.52%,for,7.14%,told,7.14%
about,talking,4.23%,talk,3.52%,said,2.82%
have,i,13.83%,would,11.25%,to,10.61%
things,such,9.84%,many,8.2%,the,8.2%
into,out,6.12%,put,4.08%,came,3.4%
betty,and,18.75%,said,7.39%,answered,5.68%
take,to,49.09%,and,7.27%,would,5.45%
don't,i,43.37%,you,15.66%,why,4.82%
going,i'm,15.38%,are,11.54%,were,7.69%
make,to,39.29%,can,9.52%,and,8.33%
eyes,her,33.75%,blue,6.25%,brown,5.0%
way,the,32.21%,that,12.08%,this,6.04%
here,out,5.36%,be,5.36%,down,5.36%
your,of,9.09%,for,6.49%,on,6.49%
said,she,19.6%,he,9.05%,had,4.52%
when,and,5.39%,day,3.32%,even,2.9%
after,and,5.81%,just,3.49%,night,3.49%
think,i,24.73%,to,16.13%,you,13.98%
began,she,25.81%,and,20.97%,he,9.68%
will,it,13.08%,that,7.48%,i,5.61%
do,to,36.84%,you,9.77%,what,3.76%
how,know,8.16%,see,7.14%,imagine,4.08%
so,was,8.47%,me,3.05%,be,3.05%
always,i,8.2%,had,8.2%,children,6.56%
