word type,number
everything,69619
adult,1
hate,0
function,38234
normal,number
the,4068
and,2165
to,2130
of,1623
a,1578
in,1200
that,1072
her,1051
she,1037
it,916
he,898
was,797
i,788
as,693
had,677
for,572
you,563
with,555
on,506
his,490
so,387
at,378
little,351
but,351
out,337
be,334
all,317
up,302
have,301
is,298
they,295
joyce,289
him,288
one,283
when,267
said,263
if,258
from,255
not,243
by,241
them,237
this,227
there,218
an,218
jack,216
me,212
could,209
back,189
were,186
phil,182
would,182
then,178
into,175
we,167
over,167
like,162
mary,160
been,160
down,158
just,158
my,157
do,156
time,155
what,152
about,137
old,137
no,135
some,134
who,132
see,131
way,130
now,129
go,128
will,128
i'll,127
get,126
their,124
which,122
it's,118
mrs,118
day,117
or,114
don't,113
come,113
away,113
i'm,111
any,111
such,111
make,110
after,110
how,110
than,108
has,107
long,107
your,106
only,105
oh,104
where,103
are,102
before,102
mr,101
came,99
more,97
much,97
made,96
home,94
can,93
desert,92
going,92
school,91
around,90
good,89
know,89
again,89
here,88
never,88
eyes,87
thought,86
through,86
think,86
too,82
place,82
take,82
first,81
its,81
did,80
face,79
our,78
ranch,77
other,77
something,75
looked,75
anything,74
went,74
always,74
look,72
road,71
well,71
ever,71
new,70
things,69
house,68
called,67
began,67
us,66
off,66
every,65
answered,65
two,64
lee,64
holland,64
life,64
head,61
white,61
asked,60
want,60
tell,59
toward,59
left,58
ware,57
last,57
give,57
can't,56
almost,56
seemed,56
told,56
story,56
across,55
great,54
put,54
even,54
herself,54
while,53
work,53
boy,52
coming,52
water,51
right,51
i've,51
room,50
girl,49
should,49
half,49
find,49
wigwam,48
saw,48
exclaimed,48
bees,47
since,47
knew,47
girls,47
days,47
say,46
many,46
very,46
might,46
book,46
pony,46
big,45
turned,45
we'll,45
door,45
night,45
himself,45
stood,45
brought,44
that's,44
sight,44
started,44
sat,44
same,44
tent,44
looking,43
until,43
most,43
cried,43
indian,43
under,43
i'd,43
hand,43
morning,43
isn't,42
keep,42
till,42
you'll,42
must,42
cousin,42
lost,41
heart,41
enough,41
those,41
each,41
found,40
because,40
wouldn't,40
hands,40
beside,39
mind,39
behind,39
feel,39
along,39
kitchen,39
heard,38
far,38
another,38
people,38
help,38
these,38
took,38
ride,38
illustrated,37
table,37
still,37
soon,36
interest,36
thing,36
didn't,36
boys,36
red,36
both,35
wish,35
norman,35
own,35
nothing,35
waiting,34
moment,34
why,34
let,34
felt,34
letter,33
afternoon,33
mamma,33
mother,33
won't,33
once,33
few,33
times,33
without,33
everything,32
used,32
gave,32
colonel,31
passed,31
voice,31
being,31
hair,31
glad,31
horse,31
wait,31
father,31
set,31
she's,30
gone,30
next,30
full,30
years,30
upon,30
says,29
interesting,29
several,29
hard,29
name,29
laughed,29
doing,29
hat,29
suppose,29
picture,29
hear,28
read,28
wanted,28
glance,28
making,28
kept,28
added,28
stories,28
cloth,28
decorative,28
yes,27
sure,27
end,27
got,27
hour,27
slowly,27
dinner,27
call,27
ready,27
high,27
best,27
man,27
seen,27
paint,26
ought,26
nearly,26
there's,26
fire,26
mountain,26
show,26
haven't,26
you'd,25
family,25
camp,25
small,25
leave,25
watch,25
world,25
taking,24
beautiful,24
believe,24
may,24
rose,24
paper,24
turn,24
between,24
visit,24
books,24
lloyd's,23
start,23
running,23
maybe,23
live,23
young,23
followed,23
sweet,23
party,23
caught,23
wild,23
hope,23
happy,23
held,23
seeing,23
taken,23
supper,23
children,23
basket,22
seat,22
stop,22
he's,22
year,22
child,22
yet,22
laughing,22
stopped,22
sun,22
five,22
phoenix,22
having,22
arizona,21
past,21
better,21
really,21
front,21
done,21
tents,21
sitting,21
doesn't,21
aunt,21
side,21
country,21
trees,21
light,21
hot,21
am,21
care,21
betty,21
city,21
train,20
everybody,20
money,20
bad,20
whole,20
tone,20
rest,20
known,20
strange,20
three,20
week,20
couldn't,20
saddle,20
jo,20
thou,20
thee,20
duck,19
surprise,19
fortune,19
talking,19
near,19
desire,19
gun,19
begin,19
we're,19
gate,19
happened,19
reached,19
answer,19
step,19
they're,19
tears,19
camel,19
sent,19
presently,19
large,19
shall,19
stars,19
song,19
stay,19
else,19
page,18
change,18
silence,18
try,18
real,18
awhile,18
christmas,18
papa,18
he'd,18
drew,18
matter,18
use,18
town,18
walked,18
part,18
play,18
corner,18
instead,18
fingers,18
feeling,18
spoke,18
picnic,18
instant,18
seems,18
bee,18
chapter,17
fine,17
myself,17
among,17
riding,17
forget,17
certainly,17
saying,17
afraid,17
bright,17
memory,17
watched,17
turning,17
straight,17
need,17
camelback,17
thinking,17
promise,17
rode,17
thy,17
hive,17
brother,16
pie,16
carry,16
fell,16
fellow,16
makes,16
chair,16
sand,16
you've,16
indians,16
sort,16
nobody,16
black,16
clothes,16
green,16
given,16
bring,16
finished,16
hurried,16
seem,16
met,16
cold,16
mother's,16
words,16
delightful,16
watching,16
strong,16
kind,16
ware's,15
we'd,15
smile,15
pretty,15
send,15
box,15
blue,15
course,15
living,15
morrow,15
artist,15
eat,15
minutes,15
later,15
fresh,15
music,15
friend,15
spend,15
somebody,15
ahead,15
hardly,15
farther,15
against,15
open,15
promised,15
clean,15
hold,15
salt,15
hung,15
pleased,15
repeated,15
trouble,15
ambition,15
often,15
men,15
precious,15
feet,14
car,14
pointed,14
standing,14
dear,14
pictures,14
anybody,14
remember,14
giving,14
quick,14
pleasant,14
order,14
pleasure,14
run,14
reach,14
adventures,14
wood,14
spirit,14
hero,14
interested,14
evening,14
you're,14
arms,14
busy,14
lose,14
handkerchief,14
suddenly,14
led,14
moon,14
locust,14
write,14
valley,14
rifle,14
emily,14
