word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,22.71%,a,3.93%,her,3.49%
and,the,6.95%,i,2.55%,she,2.46%
the,little,2.43%,desert,1.71%,road,1.31%
this,is,8.89%,was,4.0%,time,4.0%
was,a,7.86%,the,7.1%,so,3.42%
from,the,46.8%,her,5.2%,his,5.2%
made,her,20.21%,a,10.64%,it,5.32%
little,colonel,8.65%,girl,2.59%,colonel's,2.31%
in,the,31.13%,her,6.94%,a,6.77%
of,the,27.29%,her,4.77%,a,4.52%
a,little,3.97%,few,1.79%,long,1.6%
boy,of,9.62%,and,9.62%,who,7.69%
i,don't,7.13%,have,4.93%,could,4.41%
mary,and,9.49%,had,5.7%,was,4.43%
all,the,25.89%,that,5.83%,right,4.21%
she,had,11.68%,was,11.39%,said,5.02%
day,and,11.11%,when,5.13%,of,4.27%
at,the,32.26%,her,6.72%,home,3.76%
what,a,9.4%,she,8.05%,i,6.04%
desert,of,8.05%,and,5.75%,i,5.75%
school,and,11.11%,of,7.78%,with,4.44%
new,boarder,8.57%,home,8.57%,year,5.71%
phil,had,8.14%,and,5.23%,who,3.49%
has,been,13.08%,a,11.21%,always,5.61%
on,the,38.17%,her,7.36%,a,6.36%
back,to,26.2%,in,7.49%,and,5.35%
to,the,11.35%,be,5.51%,her,3.04%
with,a,22.43%,the,13.05%,her,8.64%
we,could,8.98%,can,7.78%,were,6.59%
he,had,13.31%,was,9.84%,said,5.03%
thought,of,13.25%,i,9.64%,that,6.02%
every,day,13.85%,one,6.15%,moment,4.62%
over,the,26.67%,her,13.33%,to,9.7%
him,to,8.39%,and,5.24%,a,3.85%
out,of,23.72%,here,7.81%,to,7.21%
down,the,31.21%,to,9.55%,on,8.28%
road,and,15.49%,to,7.04%,that,7.04%
as,she,13.62%,he,11.27%,the,7.91%
his,eyes,3.09%,hat,3.09%,head,2.88%
could,not,13.53%,have,8.7%,be,5.8%
joyce,and,7.37%,had,5.61%,was,3.16%
said,joyce,9.17%,jack,7.92%,mary,6.25%
jack,and,8.8%,had,5.09%,was,3.24%
ware,and,8.77%,i'm,5.26%,she,5.26%
long,as,9.35%,time,6.54%,enough,6.54%
go,on,14.06%,to,14.06%,back,7.81%
into,the,50.0%,a,10.92%,her,6.32%
make,the,14.68%,a,14.68%,it,7.34%
don't,you,15.18%,know,14.29%,want,11.61%
you,know,6.39%,to,4.01%,have,3.1%
do,you,12.34%,it,11.04%,the,7.79%
it,was,15.99%,is,5.18%,would,3.42%
asked,joyce,12.96%,phil,11.11%,for,9.26%
