word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,cousin,5.88%,illustrated,5.46%,and,1.68%
and,it,1.14%,up,1.09%,her,1.0%
the,of,10.66%,in,9.14%,to,5.94%
at,look,2.68%,up,2.68%,looked,2.41%
was,it,18.93%,she,15.4%,he,11.49%
from,away,4.74%,up,4.35%,out,3.16%
made,had,10.53%,that,9.47%,it,6.32%
little,the,28.0%,a,17.71%,our,9.71%
in,up,1.95%,was,1.78%,her,1.61%
of,out,4.9%,one,3.35%,story,1.61%
a,with,7.85%,in,5.14%,of,4.57%
boy,a,40.38%,the,9.62%,small,5.77%
i,that,8.42%,and,7.11%,if,5.53%
mary,said,9.43%,and,8.18%,that,6.29%
all,and,5.71%,of,5.4%,it,2.54%
she,as,9.15%,that,8.86%,and,5.12%
desert,the,75.0%,lonely,3.26%,this,3.26%
day,the,17.95%,to,14.53%,every,7.69%
school,to,15.38%,the,12.09%,high,7.69%
what,that's,4.7%,of,4.03%,know,3.36%
about,you,5.15%,talking,3.68%,much,3.68%
new,the,42.19%,a,17.19%,some,3.12%
ranch,the,70.27%,lee's,14.86%,a,2.7%
phil,that,8.38%,said,5.59%,answered,4.47%
has,he,23.53%,she,10.78%,who,6.86%
on,go,3.61%,out,3.41%,down,2.61%
back,the,6.91%,go,5.32%,come,4.79%
to,going,2.79%,back,2.32%,have,1.94%
with,it,2.2%,and,2.01%,her,1.83%
he,as,8.74%,that,8.17%,and,4.99%
said,she,20.8%,he,18.0%,joyce,2.4%
thought,she,30.95%,i,22.62%,the,8.33%
every,at,6.15%,from,6.15%,enjoying,4.62%
over,all,3.61%,bending,3.01%,leaning,2.41%
him,for,7.64%,to,5.9%,of,5.21%
out,came,4.48%,come,3.88%,go,2.69%
down,and,7.59%,sat,3.16%,go,3.16%
road,the,74.65%,a,8.45%,public,2.82%
as,just,4.72%,soon,2.65%,and,2.06%
his,in,12.45%,of,11.02%,with,5.1%
could,she,20.1%,i,17.09%,he,12.06%
joyce,said,7.72%,and,6.67%,to,4.91%
jack,said,8.96%,and,8.96%,papa,6.6%
ware,mrs,69.09%,jack,7.27%,the,7.27%
long,a,23.58%,the,16.98%,so,9.43%
go,to,31.25%,and,7.81%,i,7.03%
into,back,5.2%,out,4.62%,it,3.47%
make,to,41.82%,and,10.91%,will,6.36%
don't,i,50.46%,you,8.26%,we,4.59%
you,if,5.82%,for,4.36%,that,4.0%
do,to,29.87%,i,7.79%,i'll,6.49%
