word type,number
everything,71255
adult,5
hate,0
function,39008
normal,number
the,4139
and,2148
to,2113
a,1590
of,1553
she,1533
her,1366
in,1174
that,1057
it,1039
i,906
was,818
had,653
with,650
as,631
for,628
you,606
on,497
at,460
so,434
he,432
but,431
all,374
one,346
be,345
up,318
is,307
when,305
have,300
little,295
they,295
out,260
his,256
me,248
not,242
if,242
from,237
this,236
there,235
by,230
old,221
been,216
an,213
would,210
over,206
were,204
them,200
could,195
my,190
said,188
then,188
into,181
like,175
we,172
time,171
back,163
down,159
just,156
him,155
no,153
betty,149
about,147
way,146
their,146
what,145
miss,145
who,134
do,132
now,131
day,131
know,130
will,127
long,126
which,124
girls,123
such,123
some,121
it's,121
or,120
don't,119
gay,117
see,116
make,116
your,115
are,114
room,114
has,110
go,109
mrs,107
how,106
made,105
only,103
i'm,103
than,102
never,102
through,100
any,99
i'll,94
around,94
face,93
come,93
came,93
more,92
can,92
good,91
keep,91
white,91
went,91
again,90
oh,90
take,90
did,90
home,89
before,89
our,89
things,88
much,88
away,86
kitty,85
first,84
school,81
after,81
always,81
well,81
thought,78
next,78
other,77
every,77
hall,76
get,74
christmas,73
looked,73
going,73
where,73
its,72
too,70
hand,69
eyes,69
exclaimed,68
think,68
i've,67
here,67
left,66
look,64
began,64
new,63
us,63
herself,63
say,62
girl,62
many,61
night,61
two,58
door,58
great,57
people,57
each,56
rob,56
even,56
looking,56
she's,56
turned,56
colonel,55
tell,55
very,54
until,54
ever,53
i'd,53
last,52
off,52
answered,52
found,51
asked,51
toward,51
under,51
house,50
heart,50
seemed,50
place,50
must,50
till,50
something,50
give,49
nothing,49
put,49
book,48
young,48
window,48
cousin,48
glad,48
tryst,47
almost,47
want,47
stood,47
can't,47
cried,46
heard,46
didn't,46
sat,46
anything,46
called,45
am,45
life,45
find,44
might,44
lloyd's,44
help,44
gave,44
most,44
story,43
own,43
there's,43
once,43
across,43
times,42
days,42
head,42
let,42
feel,42
another,42
still,42
why,42
illustrated,41
while,41
half,41
saw,41
same,41
because,41
ask,41
isn't,40
told,40
table,40
right,40
these,40
big,39
