word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.77%,one,3.2%,a,2.74%
and,the,7.07%,she,3.39%,i,2.82%
the,little,2.03%,old,1.86%,next,1.03%
this,is,9.25%,time,5.73%,way,5.29%
was,a,8.68%,the,7.69%,so,4.47%
from,the,34.8%,her,4.85%,a,3.52%
made,her,18.45%,a,8.74%,the,8.74%
little,colonel,11.38%,colonel's,5.52%,knights,2.07%
christmas,vacation,18.31%,tree,8.45%,and,5.63%
of,the,26.33%,a,5.5%,her,4.91%
colonel,stories,5.77%,in,5.77%,books,5.77%
each,other,26.42%,one,24.53%,end,3.77%
one,of,19.88%,that,2.92%,who,2.34%
in,the,30.02%,a,10.9%,her,8.39%
two,little,12.07%,of,5.17%,in,5.17%
at,the,34.54%,her,8.13%,home,3.61%
a,little,3.12%,few,1.78%,long,1.59%
new,girls,8.06%,york,6.45%,ring,4.84%
good,times,11.11%,bye,6.67%,to,5.56%
that,she,12.25%,i,7.71%,the,4.25%
other,girls,13.16%,side,6.58%,people,6.58%
with,a,20.44%,the,16.16%,her,9.83%
exclaimed,rob,9.26%,kitty,7.41%,aloud,7.41%
rob,in,7.27%,was,5.45%,answered,3.64%
say,that,16.39%,in,6.56%,it,6.56%
again,and,9.09%,but,7.95%,to,5.68%
you,know,6.79%,can,4.41%,are,4.24%
old,woman,5.66%,colonel,4.72%,girls,2.83%
girls,and,7.38%,who,5.74%,welcome,3.28%
to,the,9.41%,be,5.68%,her,4.17%
an,old,10.38%,hour,7.08%,instant,5.19%
keep,tryst,27.78%,the,22.22%,her,11.11%
away,from,13.95%,in,10.47%,with,5.81%
its,contents,5.56%,lesson,4.17%,high,2.78%
face,of,6.45%,when,6.45%,that,6.45%
i,don't,4.83%,am,4.49%,had,4.26%
tell,you,25.0%,me,17.31%,her,11.54%
had,been,13.96%,a,5.37%,to,3.53%
him,to,9.8%,and,7.84%,in,4.58%
when,she,22.3%,the,11.15%,i,10.1%
look,at,23.81%,up,7.94%,in,6.35%
she,had,11.42%,was,9.33%,could,4.44%
over,the,27.09%,her,12.32%,to,10.34%
what,a,10.49%,she,7.69%,i,5.59%
i'll,be,11.11%,not,4.44%,tell,4.44%
not,have,4.58%,a,4.58%,to,4.17%
hall,and,23.29%,she,6.85%,was,5.48%
looked,at,21.92%,up,13.7%,so,8.22%
more,than,24.18%,like,5.49%,in,3.3%
like,a,19.88%,the,12.05%,to,7.83%
than,the,8.25%,she,7.22%,a,6.19%
school,and,10.13%,with,6.33%,she,5.06%
for,the,16.33%,her,10.61%,a,10.44%
see,how,12.07%,that,10.34%,the,9.48%
some,of,13.45%,one,12.61%,day,5.04%
or,the,7.83%,die,6.09%,a,4.35%
come,to,15.56%,on,11.11%,up,8.89%
down,the,24.53%,to,11.95%,and,6.29%
many,times,9.84%,a,6.56%,of,6.56%
even,a,10.91%,the,10.91%,if,10.91%
on,the,37.96%,her,8.78%,a,4.9%
his,heart,3.14%,hand,2.35%,hands,1.57%
would,have,21.05%,be,20.57%,not,7.18%
have,to,13.71%,been,11.04%,a,5.35%
out,of,27.63%,the,8.95%,to,7.78%
if,she,18.33%,i,15.42%,it,11.67%
going,to,60.27%,on,6.85%,back,4.11%
it,was,16.81%,is,5.47%,would,4.2%
were,a,4.9%,all,4.41%,the,3.43%
