word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,cousin,6.19%,illustrated,5.75%,and,2.21%
and,up,1.51%,her,1.32%,it,1.03%
the,of,9.76%,in,8.53%,to,4.77%
at,looked,3.56%,look,3.33%,looking,2.0%
was,it,22.08%,she,18.36%,there,7.96%
from,away,5.11%,her,3.4%,it,2.55%
made,she,11.65%,that,8.74%,had,7.77%
christmas,the,15.28%,colonel's,9.72%,of,9.72%
little,the,28.72%,a,16.96%,our,11.76%
of,out,4.59%,one,4.4%,think,1.55%
colonel,little,60.0%,old,18.18%,the,18.18%
one,the,7.44%,some,4.46%,no,4.17%
in,up,2.69%,was,2.17%,her,1.73%
two,the,17.86%,for,5.36%,were,5.36%
school,the,23.75%,to,10.0%,at,10.0%
new,the,27.87%,a,18.03%,her,8.2%
good,a,16.67%,as,7.78%,her,5.56%
each,at,11.11%,to,5.56%,in,5.56%
that,and,2.88%,all,2.21%,so,1.73%
a,with,8.19%,in,8.0%,of,5.27%
with,up,3.32%,her,2.85%,it,1.9%
exclaimed,she,47.62%,he,6.35%,whiz,4.76%
rob,exclaimed,9.09%,said,7.27%,oh,7.27%
say,to,25.0%,would,8.33%,and,6.67%
again,over,5.68%,come,5.68%,that,3.41%
you,that,4.71%,if,4.37%,for,3.53%
i,that,8.97%,and,6.78%,but,4.71%
old,the,34.86%,an,10.09%,that,3.21%
girls,the,31.9%,other,8.62%,you,6.03%
to,her,2.37%,back,2.37%,going,2.13%
an,with,9.52%,of,8.1%,such,5.24%
keep,to,34.09%,i,6.82%,must,5.68%
away,far,11.76%,went,9.41%,turned,7.06%
its,in,13.89%,with,12.5%,and,8.33%
face,her,28.89%,the,7.78%,bright,3.33%
tell,to,29.09%,i,10.91%,and,10.91%
me,to,14.4%,for,4.94%,let,4.53%
had,she,29.07%,he,6.48%,i,6.15%
him,with,5.81%,of,3.87%,to,3.87%
it,but,4.04%,of,3.35%,that,3.06%
when,and,5.1%,it,3.06%,day,2.72%
look,to,30.16%,will,6.35%,and,4.76%
up,looked,3.16%,come,2.53%,came,2.53%
over,all,3.88%,and,3.88%,bent,2.43%
not,did,12.92%,could,9.58%,was,8.33%
them,of,14.0%,with,6.0%,for,4.0%
looked,she,27.87%,he,11.48%,and,6.56%
more,no,14.13%,once,7.61%,any,7.61%
like,i'd,7.56%,you,4.07%,just,3.49%
than,more,24.44%,older,4.44%,taller,3.33%
for,time,1.79%,her,1.3%,day,1.3%
see,to,38.79%,could,10.34%,you,8.62%
some,to,6.72%,in,6.72%,of,5.04%
or,tryst,5.0%,garden,1.67%,do,1.67%
come,to,20.22%,had,11.24%,would,5.62%
down,and,6.29%,looking,4.4%,go,4.4%
many,so,40.98%,the,8.2%,how,6.56%
even,not,3.7%,for,3.7%,and,3.7%
on,went,2.85%,go,2.44%,it,2.24%
his,in,7.84%,on,5.88%,of,5.1%
would,it,21.61%,she,16.58%,i,7.04%
have,to,16.78%,would,14.77%,i,11.41%
out,took,3.53%,and,3.14%,her,2.35%
if,as,22.27%,and,3.06%,me,2.62%
going,i'm,20.55%,is,8.22%,am,5.48%
were,they,20.71%,there,7.58%,you,5.56%
this,in,6.17%,of,5.73%,for,3.96%
very,a,16.67%,the,12.96%,was,5.56%
she,that,8.36%,as,6.88%,and,4.79%
great,a,26.79%,the,17.86%,her,5.36%
her,in,7.13%,to,6.32%,of,5.44%
home,at,18.39%,go,5.75%,way,5.75%
into,back,5.65%,out,4.52%,it,3.39%
thought,she,30.14%,i,19.18%,the,16.44%
who,girl,6.84%,one,6.84%,girls,5.98%
are,you,21.93%,they,9.65%,there,7.89%
be,to,34.21%,would,12.57%,will,9.36%
room,the,26.13%,her,10.81%,dining,9.91%
long,a,20.0%,the,13.6%,so,12.8%
other,the,48.68%,each,18.42%,to,5.26%
been,had,42.33%,have,15.35%,has,8.84%
only,the,19.8%,was,6.93%,it's,3.96%
all,of,5.79%,and,5.23%,it,4.41%
left,had,9.23%,she,9.23%,we,7.69%
now,her,3.91%,it,3.91%,but,3.91%
last,the,30.77%,at,28.85%,and,3.85%
too,was,26.87%,is,7.46%,her,4.48%
such,in,8.13%,had,4.88%,is,4.88%
go,to,29.91%,you,6.54%,and,5.61%
way,the,25.87%,a,10.49%,that,9.09%
which,in,9.68%,with,3.23%,book,2.42%
first,the,50.62%,at,9.88%,her,2.47%
their,of,13.1%,on,8.28%,in,8.28%
back,go,7.41%,the,6.79%,came,6.17%
after,day,6.25%,and,5.0%,soon,5.0%
they,as,11.3%,and,6.85%,when,6.85%
girl,the,24.59%,a,18.03%,little,8.2%
there,and,8.23%,but,4.33%,that,3.46%
make,to,39.47%,and,12.28%,would,5.26%
before,just,5.62%,long,4.49%,day,3.37%
so,was,8.45%,and,3.29%,i'm,2.58%
as,just,3.41%,and,2.76%,it,2.44%
about,talking,4.14%,talk,4.14%,thinking,3.45%
things,of,9.2%,such,6.9%,the,6.9%
much,so,44.32%,how,11.36%,too,9.09%
around,all,9.68%,arms,6.45%,it,5.38%
it's,that,3.48%,and,2.61%,oh,2.61%
white,the,23.33%,a,8.89%,in,8.89%
oh,her,4.82%,things,3.61%,but,3.61%
betty,and,12.41%,said,6.9%,as,4.14%
do,to,33.85%,i,10.0%,you,6.92%
but,it,2.93%,her,1.71%,again,1.71%
night,to,16.39%,the,13.11%,that,9.84%
i'm,that,7.22%,oh,5.15%,but,5.15%
kitty,and,11.9%,said,5.95%,answered,5.95%
