word type,number
everything,66546
adult,0
hate,1
function,37905
normal,number
the,3544
to,2129
and,1946
a,1611
of,1562
she,1530
her,1365
that,1150
in,1129
it,1033
was,973
had,774
for,701
i,685
as,613
he,564
with,546
on,436
at,428
his,420
so,398
be,391
you,387
but,385
all,348
not,342
mary,339
when,316
one,303
have,291
is,281
up,277
they,270
would,265
him,255
from,252
if,251
out,245
could,223
been,222
me,211
an,209
my,208
were,204
this,196
by,191
there,190
little,183
them,181
time,180
then,169
some,169
no,167
which,154
how,151
back,149
like,149
who,147
made,146
such,146
into,142
about,140
way,137
what,135
over,135
now,130
said,129
down,126
more,126
just,124
room,122
came,116
make,116
before,115
know,113
only,112
herself,112
day,111
than,109
old,106
see,105
betty,102
joyce,102
we,101
their,101
do,101
any,101
never,100
jack,99
long,97
thought,96
good,96
first,95
come,95
your,92
last,92
things,91
did,91
will,89
its,87
always,87
much,86
after,84
school,82
face,82
or,82
went,81
can,81
girls,80
even,80
away,79
phil,78
seemed,77
through,77
too,77
are,76
every,76
other,75
go,73
has,73
home,72
should,71
ever,69
going,67
get,67
well,67
don't,67
looked,66
door,65
oh,65
might,64
night,64
again,64
around,64
think,64
where,62
i'm,62
great,61
here,60
many,60
thing,57
keep,57
own,57
place,56
put,56
eyes,55
new,55
very,55
till,54
since,54
girl,54
i've,54
world,54
morning,54
hall,53
look,53
almost,53
moment,53
work,53
because,52
take,52
christmas,52
find,52
must,52
while,52
something,52
until,51
knew,51
two,51
hand,50
felt,50
began,49
i'll,48
turned,47
life,47
far,46
saw,46
left,46
found,46
man,45
upon,45
each,44
tell,44
window,44
sat,44
us,44
give,44
next,43
days,43
aldebaran,43
those,42
our,42
few,42
it's,42
feel,42
book,41
house,41
mrs,41
year,40
under,40
times,40
making,40
most,40
best,39
heard,39
looking,39
gave,39
name,39
heart,39
i'd,39
took,39
off,39
course,38
madam,38
years,38
wouldn't,38
yet,38
being,38
set,38
half,37
still,37
bed,37
glad,37
soon,36
stood,36
say,36
why,36
enough,36
right,36
picture,36
light,35
mind,35
miss,35
once,35
brought,35
couldn't,34
same,34
part,34
am,34
family,34
