word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,35.11%,a,4.79%,her,4.26%
and,the,5.81%,she,3.3%,i,2.51%
the,first,1.28%,room,1.16%,last,1.11%
little,creature,3.31%,thing,3.31%,sister,3.31%
mary,was,5.62%,had,5.03%,ware,3.25%
of,the,22.4%,her,6.92%,a,5.09%
a,little,2.31%,long,1.68%,few,1.56%
at,the,36.1%,her,7.32%,a,4.63%
made,her,15.28%,a,12.5%,the,9.03%
in,the,28.51%,her,10.5%,a,9.32%
her,to,3.25%,own,2.36%,face,1.77%
eyes,and,14.55%,swept,5.45%,that,5.45%
him,to,8.7%,as,5.53%,and,3.95%
one,of,23.26%,in,3.65%,to,3.32%
girls,who,6.25%,were,5.0%,and,3.75%
who,had,23.13%,was,8.84%,could,4.08%
are,so,6.58%,to,6.58%,not,5.26%
old,garden,4.81%,world,4.81%,professor,3.85%
when,she,23.05%,the,12.01%,he,9.74%
i,am,5.04%,don't,5.04%,can,5.04%
thought,of,18.75%,that,11.46%,it,7.29%
had,been,16.45%,not,3.11%,a,2.85%
but,she,7.75%,it,6.68%,i,6.68%
such,a,61.64%,an,11.64%,good,2.05%
came,in,16.38%,to,13.79%,back,8.62%
to,the,10.36%,be,6.76%,her,4.8%
know,how,15.18%,what,9.82%,that,8.04%
what,a,10.69%,it,7.63%,she,6.87%
that,she,13.98%,i,5.79%,the,4.1%
could,not,23.08%,have,6.79%,be,4.98%
not,be,5.01%,to,4.72%,have,4.13%
even,if,16.46%,to,7.59%,in,6.33%
ever,since,15.94%,had,5.8%,be,4.35%
after,the,10.71%,all,9.52%,a,8.33%
were,all,4.0%,in,4.0%,to,4.0%
you,are,6.84%,know,5.79%,to,4.21%
they,were,16.67%,had,13.33%,would,3.7%
never,can,5.05%,known,5.05%,had,4.04%
time,to,8.43%,she,7.3%,and,6.18%
betty,and,7.84%,was,3.92%,she,3.92%
joyce,and,10.78%,had,7.84%,in,2.94%
phil,had,9.46%,and,5.41%,said,4.05%
all,the,20.75%,that,5.19%,her,4.9%
them,and,7.78%,to,7.22%,all,5.56%
if,she,19.35%,you,10.08%,it,10.08%
for,the,13.64%,a,9.97%,her,7.92%
just,as,13.93%,a,4.92%,the,4.1%
my,mind,2.9%,good,2.42%,room,2.42%
about,the,14.39%,her,10.07%,it,9.35%
was,a,9.26%,the,6.66%,so,4.99%
it,was,21.56%,is,6.15%,would,4.1%
would,be,21.89%,have,18.11%,not,9.06%
be,a,5.91%,so,4.11%,the,4.11%
your,shilling,3.3%,room,2.2%,table,2.2%
with,a,21.5%,the,14.39%,her,9.53%
new,york,29.63%,book,5.56%,girls,5.56%
so,much,9.32%,that,5.54%,many,3.27%
here,and,11.67%,to,10.0%,in,8.33%
is,a,9.45%,the,7.27%,to,4.36%
up,in,12.0%,to,11.64%,the,8.36%
first,time,10.75%,of,3.23%,and,3.23%
went,on,20.99%,to,12.35%,down,7.41%
away,from,19.23%,to,8.97%,in,7.69%
hall,had,9.8%,and,9.8%,to,5.88%
now,she,9.38%,and,9.38%,that,5.47%
this,is,8.76%,was,6.7%,afternoon,4.12%
only,a,12.5%,one,10.71%,the,8.93%
can,do,6.25%,make,5.0%,have,3.75%
because,she,23.53%,he,13.73%,it,7.84%
take,a,7.84%,you,5.88%,the,5.88%
we,were,12.87%,have,9.9%,had,7.92%
have,been,13.49%,to,10.38%,a,6.23%
been,a,5.86%,so,5.86%,in,5.41%
from,the,31.15%,her,10.25%,a,3.28%
last,night,8.7%,few,6.52%,week,5.43%
thing,i,8.77%,that,7.02%,she,5.26%
than,the,13.08%,she,9.35%,to,7.48%
room,and,10.08%,mate,9.24%,with,7.56%
christmas,day,9.62%,tree,9.62%,present,7.69%
day,she,7.34%,the,7.34%,and,5.5%
good,bye,12.5%,to,10.42%,times,9.38%
back,to,21.48%,in,8.05%,at,6.04%
its,sheltering,3.49%,bars,3.49%,way,3.49%
seemed,to,40.26%,as,6.49%,so,6.49%
as,she,14.24%,if,11.92%,the,8.44%
