word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,not,6.84%,and,3.68%,impressed,2.11%
and,her,1.21%,it,1.11%,up,1.05%
the,of,9.73%,in,8.93%,to,6.13%
little,the,20.44%,a,20.44%,her,2.21%
mary,and,8.43%,that,6.33%,to,5.12%
of,one,4.5%,out,4.31%,think,1.86%
a,with,7.18%,in,6.43%,such,5.62%
in,up,2.94%,was,2.76%,came,1.69%
to,her,2.08%,was,1.66%,began,1.61%
her,in,8.52%,of,7.79%,to,7.35%
eyes,her,43.4%,gray,11.32%,his,5.66%
him,for,9.02%,to,6.67%,of,6.27%
one,any,5.65%,the,5.32%,as,4.65%
girls,the,37.18%,other,19.23%,school,3.85%
who,man,8.09%,girl,5.15%,those,5.15%
are,you,34.21%,they,11.84%,there,9.21%
old,the,27.36%,an,12.26%,year,4.72%
when,and,8.09%,but,3.88%,it,2.27%
i,that,9.64%,and,7.12%,when,4.3%
thought,the,20.83%,she,18.75%,i,15.62%
had,she,31.22%,he,8.11%,it,5.27%
but,it,2.1%,her,1.57%,me,1.57%
such,with,6.16%,was,6.16%,in,6.16%
came,she,11.82%,he,8.18%,it,6.36%
know,to,20.18%,you,20.18%,i,19.27%
what,know,8.15%,of,5.19%,her,4.44%
that,and,2.99%,so,1.93%,her,1.76%
could,she,37.1%,he,14.48%,i,7.24%
not,could,14.91%,did,11.11%,was,9.36%
even,that,7.5%,not,7.5%,and,6.25%
with,up,2.95%,her,1.84%,room,1.66%
ever,had,10.14%,for,8.7%,i,5.8%
after,and,10.84%,then,4.82%,day,4.82%
were,they,22.17%,there,7.88%,you,6.4%
you,that,6.84%,if,6.58%,for,3.95%
they,as,9.36%,when,8.61%,and,5.24%
never,had,19.39%,i,11.22%,could,7.14%
time,the,18.89%,a,6.67%,that,5.56%
betty,and,12.87%,to,11.88%,that,10.89%
joyce,to,8.82%,and,6.86%,with,3.92%
phil,and,13.16%,that,5.26%,said,5.26%
all,of,7.25%,and,5.51%,for,4.64%
them,of,15.56%,with,7.22%,for,5.0%
if,as,29.27%,even,5.28%,and,4.07%
for,it,2.01%,out,1.44%,ready,1.29%
just,had,11.48%,was,4.92%,i,3.28%
my,in,12.08%,of,8.7%,on,5.31%
about,much,5.07%,all,4.35%,her,2.9%
was,it,23.26%,she,17.89%,there,7.37%
it,that,4.39%,and,3.51%,of,3.02%
would,she,22.9%,it,16.03%,he,8.02%
be,to,36.15%,would,14.87%,will,6.67%
your,of,7.69%,for,7.69%,with,4.4%
new,the,29.63%,a,18.52%,in,9.26%
so,was,12.21%,be,4.07%,been,3.31%
here,been,8.62%,be,5.17%,over,5.17%
is,it,23.16%,she,8.82%,that,8.46%
up,looked,6.5%,came,3.61%,made,2.89%
at,up,3.07%,look,2.83%,back,2.12%
first,the,47.37%,at,13.68%,her,8.42%
went,she,28.75%,he,12.5%,they,7.5%
away,turned,10.26%,went,5.13%,hurried,5.13%
now,and,7.69%,but,6.92%,it,3.08%
this,of,6.63%,in,6.63%,that,6.12%
only,was,8.04%,not,8.04%,the,8.04%
can,i,41.98%,you,12.35%,she,8.64%
because,and,7.69%,it,5.77%,was,3.85%
take,to,45.1%,and,7.84%,not,5.88%
we,that,10.0%,when,6.0%,and,5.0%
have,would,16.61%,to,15.92%,i,10.03%
been,had,57.47%,have,17.65%,has,4.98%
from,away,5.98%,it,4.38%,up,3.98%
last,the,42.86%,at,18.68%,this,5.49%
thing,a,15.79%,little,10.53%,one,7.02%
than,more,28.44%,better,6.42%,worse,3.67%
room,the,33.88%,her,15.7%,a,4.13%
christmas,a,7.69%,and,7.69%,my,7.69%
day,the,22.94%,some,11.93%,every,5.5%
good,the,13.68%,a,10.53%,my,5.26%
back,came,6.71%,go,5.37%,her,4.7%
its,of,13.79%,in,11.49%,with,5.75%
seemed,it,36.0%,who,5.33%,that,4.0%
as,soon,4.14%,her,3.15%,just,2.81%
through,her,6.49%,pass,5.19%,way,5.19%
long,a,28.42%,the,13.68%,as,9.47%
she,that,10.45%,as,5.72%,when,4.72%
on,went,3.91%,out,2.76%,down,2.53%
how,know,11.33%,see,9.33%,and,4.67%
things,the,10.0%,many,8.89%,all,5.56%
school,the,17.28%,to,13.58%,of,7.41%
door,the,55.56%,her,6.35%,every,4.76%
great,the,25.0%,a,21.67%,some,8.33%
like,was,4.76%,be,4.08%,would,3.4%
before,night,7.89%,year,4.39%,one,3.51%
no,was,12.65%,had,8.43%,made,6.02%
there,and,7.98%,that,6.38%,but,4.26%
see,to,46.15%,not,7.69%,don't,6.73%
he,that,7.69%,as,5.55%,when,5.37%
over,was,5.19%,turned,3.7%,bent,2.96%
made,had,12.14%,she,11.43%,that,7.14%
looked,she,30.77%,he,10.77%,i,9.23%
then,and,21.69%,it,3.61%,that,1.2%
where,corner,8.06%,know,6.45%,place,4.84%
said,she,24.41%,he,17.32%,had,3.94%
his,of,10.0%,in,8.33%,on,5.48%
much,so,43.02%,how,19.77%,as,10.47%
almost,was,19.23%,she,5.77%,it,3.85%
their,in,13.86%,of,13.86%,on,5.94%
till,wait,7.41%,around,5.56%,her,5.56%
way,the,22.06%,that,10.29%,a,8.09%
face,her,32.0%,his,12.0%,little,4.0%
down,looking,4.8%,looked,4.8%,went,4.8%
place,the,25.93%,in,9.26%,a,7.41%
