word type,number
everything,56309
adult,1
hate,0
function,30684
normal,number
the,3796
and,1846
to,1623
of,1351
a,1206
in,942
that,821
her,786
she,773
it,668
was,646
he,628
i,589
as,472
with,456
for,455
his,439
had,425
on,417
you,365
little,347
they,331
at,327
him,302
is,292
be,282
but,280
all,250
one,237
so,237
out,229
were,224
from,224
me,224
not,220
by,218
up,215
said,207
when,202
my,196
have,193
there,190
if,180
hero,162
them,162
we,154
could,153
old,150
would,146
back,144
this,142
down,139
an,138
their,136
some,135
who,132
into,128
are,127
been,125
no,125
then,124
time,124
now,116
betty,114
will,110
only,107
colonel,106
go,106
over,105
like,101
see,99
what,99
or,97
has,96
day,96
came,95
long,94
dog,94
do,93
oh,92
mrs,92
about,88
how,85
around,84
come,84
than,83
away,82
red,81
know,80
way,79
good,77
girls,77
where,77
us,77
which,76
many,74
thought,74
after,74
made,73
your,73
cross,72
again,72
did,72
boys,72
just,71
can,71
think,70
great,70
such,69
its,69
eyes,69
home,68
much,68
i'll,68
more,67
before,66
face,66
princess,65
told,65
white,64
went,64
found,62
take,62
here,61
hand,61
tell,61
head,60
make,60
through,59
last,58
major,58
first,57
story,56
every,56
heart,54
things,53
never,53
room,52
until,52
any,52
knight,50
want,50
other,50
night,50
too,49
place,49
looked,49
morning,48
help,48
papa,47
say,47
camp,46
look,46
well,46
mother,46
turned,46
beside,45
shall,45
even,44
called,44
find,44
while,44
don't,43
next,43
very,43
those,43
two,42
thy,42
jack,42
under,42
heard,42
ever,42
must,42
give,42
life,41
might,41
may,41
answered,41
herself,41
house,40
seemed,40
get,40
because,40
something,40
asked,40
party,39
looking,39
it's,38
love,38
cried,38
prince,38
thou,38
thing,37
began,37
girl,37
always,37
play,37
series,36
put,36
colonel's,35
i'm,35
miss,35
door,35
still,35
saw,35
exclaimed,35
gave,35
big,34
going,34
far,34
man,34
across,33
stood,33
read,33
gold,33
took,33
am,33
side,33
i'd,33
gate,32
another,32
times,32
new,32
father,32
few,32
stories,31
spin,31
happy,31
left,31
name,31
should,31
knew,31
anything,31
toward,31
sat,31
hands,31
scissors,30
land,30
golden,30
against,30
wish,30
years,30
once,30
enough,30
world,30
followed,30
mr,30
hotel,30
each,29
valley,29
window,29
let,29
table,29
part,29
book,28
off,28
feet,28
same,28
glad,28
coming,28
almost,28
days,28
people,28
why,28
our,28
high,28
call,28
st,28
wheel,27
eugenia,27
child,27
stopped,27
wanted,27
hall,27
dear,27
kitty,27
illustrated,26
ball,26
without,26
feel,26
can't,26
soon,26
men,26
young,26
tower,26
thread,25
hero's,25
seen,25
most,25
minute,25
voice,25
sent,25
children,25
several,25
behind,25
howl,25
dogs,25
these,25
ogre,25
town,24
care,24
wouldn't,24
words,24
along,24
brought,24
sight,24
beautiful,24
till,24
himself,24
famous,24
didn't,24
godmother,24
best,23
winsome,23
word,23
done,23
sweet,23
right,23
passed,23
locust,23
letter,23
show,23
lloyd's,23
water,23
american,23
french,23
soldier,23
bernard,23
hard,23
send,23
trade,22
set,22
wonder,22
started,22
half,22
stop,22
summer,22
nearly,22
near,22
kept,22
volume,22
hear,22
boy,22
interest,22
kind,22
soldiers,22
witch,22
arm,21
since,21
lay,21
upon,21
got,21
fairy,21
wounded,21
fire,21
books,20
three,20
above,20
birthday,20
black,20
stairs,20
trees,20
taken,20
whom,20
leave,20
queen,20
ready,20
carriage,20
used,20
scene,20
bright,20
war,20
seems,20
service,20
faithful,20
work,20
o,20
orderly,20
chapter,19
betty's,19
road,19
family,19
stay,19
year,19
making,19
among,19
week,19
silver,19
tale,19
keep,19
write,19
happened,19
end,19
poor,19
that's,19
mountain,19
really,19
turn,19
blue,19
king,19
ogre's,19
fairies,19
rescue,18
fair,18
couldn't,18
maybe,18
drew,18
given,18
own,18
nothing,18
better,18
open,18
laughed,18
together,18
interesting,18
english,18
kingdom,18
sing,18
loving,18
sun,18
battle,18
true,18
joyce,18
mark,17
school,17
maid,17
gone,17
presently,17
rode,17
ran,17
whole,17
bring,17
makes,17
full,17
surprise,17
run,17
wait,17
suddenly,17
sure,17
turning,17
real,17
sleep,17
forward,17
lost,17
tales,17
attention,17
friends,16
cloth,16
giant,16
moment,16
whispered,16
lovely,16
feeling,16
chair,16
being,16
box,16
minutes,16
later,16
light,16
tone,16
deck,16
reached,16
yes,16
walked,16
interested,16
met,16
dead,16
henny,16
street,16
forget,16
wall,16
thee,16
joe,16
large,15
geneva,15
isn't,15
felt,15
shoulder,15
slowly,15
train,15
pony,15
front,15
woods,15
charm,15
between,15
thinking,15
carried,15
hold,15
listened,15
nobody,15
places,15
hour,15
brave,15
captain,15
often,15
army,15
suppose,15
both,15
led,15
laid,15
afternoon,15
field,15
everything,15
america,15
decorative,15
spoke,14
faces,14
picture,14
added,14
rob,14
horse,14
begin,14
asleep,14
pink,14
grew,14
although,14
cart,14
deep,14
others,14
slipped,14
smile,14
journey,14
believe,14
paper,14
hair,14
pleasure,14
played,14
use,14
morrow,14
sorry,14
lived,14
soft,14
friend,14
strange,14
training,14
repeated,14
written,14
meet,14
i've,14
held,14
cousin,14
there's,14
spinning,14
flute,14
kentucky,13
brother,13
twenty,13
comes,13
saying,13
tears,13
past,13
remember,13
shining,13
seeing,13
memory,13
proud,13
standing,13
save,13
running,13
ask,13
suggested,13
corner,13
group,13
stretched,13
stand,13
yet,13
madame,13
thousand,13
fellow,13
shot,13
waiting,13
country,13
tree,13
collar,13
start,13
dog's,13
moon,13
fly,13
change,13
answer,12
gift,12
mom,12
beck,12
lunch,12
music,12
pretty,12
able,12
short,12
finished,12
having,12
sounded,12
sound,12
talking,12
wrote,12
dark,12
tried,12
york,12
arms,12
holding,12
speak,12
lake,12
act,12
yellow,12
foreign,12
friendly,12
ago,12
alone,12
flask,12
