word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,32.18%,a,5.45%,her,2.97%
and,the,8.95%,she,2.49%,a,2.21%
the,little,4.7%,major,1.48%,old,1.26%
little,colonel,27.76%,colonel's,10.45%,girl,3.88%
hero,and,7.69%,was,5.13%,the,3.21%
of,the,30.48%,a,3.78%,her,3.33%
colonel,wayne,6.6%,in,5.66%,stories,4.72%
made,her,20.0%,a,12.86%,the,8.57%
first,because,5.36%,of,5.36%,time,3.57%
to,the,13.03%,be,4.95%,her,4.89%
all,the,25.82%,of,3.69%,about,2.87%
could,not,26.14%,have,12.42%,be,5.88%
not,be,5.07%,to,4.15%,the,3.69%
this,is,7.25%,morning,6.52%,time,6.52%
is,a,12.72%,the,11.31%,to,4.59%
in,the,33.23%,a,6.93%,her,6.82%
their,faces,2.21%,long,2.21%,new,2.21%
many,a,12.16%,times,9.46%,things,5.41%
one,of,19.07%,to,5.08%,in,4.24%
at,the,35.13%,her,6.96%,last,4.43%
as,she,15.55%,if,10.8%,the,9.29%
a,little,2.7%,few,2.45%,long,1.77%
out,of,15.62%,in,8.93%,to,8.48%
i,have,5.46%,am,5.46%,was,3.7%
her,father,3.62%,eyes,3.1%,face,3.1%
red,cross,72.84%,she,3.7%,breasted,1.23%
cross,of,16.9%,on,11.27%,and,7.04%
with,the,21.06%,a,16.85%,her,5.32%
betty,and,12.28%,she,7.02%,to,3.51%
on,the,35.18%,his,9.4%,a,5.06%
home,and,10.77%,in,7.69%,of,6.15%
princess,winsome,37.7%,and,8.2%,fair,8.2%
has,been,11.58%,found,11.58%,done,5.26%
that,she,9.74%,the,6.37%,he,5.62%
it,was,19.48%,is,9.28%,would,4.72%
my,heart,5.41%,little,3.24%,brother's,2.7%
about,the,20.93%,it,11.63%,her,6.98%
did,not,35.71%,you,12.86%,she,5.71%
such,a,53.73%,an,14.93%,as,4.48%
his,head,4.42%,little,3.26%,hand,2.56%
she,had,8.95%,was,8.3%,said,4.8%
around,the,19.28%,her,8.43%,and,8.43%
for,the,18.26%,a,10.27%,her,4.11%
head,and,8.47%,of,6.78%,on,6.78%
was,a,9.31%,the,7.57%,so,4.1%
its,white,4.35%,service,2.9%,way,2.9%
back,to,20.14%,and,10.42%,from,6.25%
heart,of,23.08%,and,7.69%,to,5.77%
but,the,13.28%,i,9.96%,he,5.9%
be,a,7.94%,the,5.42%,so,3.61%
been,so,4.13%,a,4.13%,in,3.31%
so,much,6.06%,that,5.19%,many,4.33%
or,the,13.68%,a,13.68%,in,4.21%
if,he,19.1%,you,14.61%,it,11.24%
only,a,18.45%,the,5.83%,one,4.85%
when,the,18.65%,she,15.03%,he,12.95%
came,out,12.63%,to,12.63%,into,9.47%
down,the,25.55%,to,17.52%,in,12.41%
you,know,5.7%,have,3.42%,are,3.42%
there,was,21.93%,is,10.16%,were,8.02%
had,been,15.88%,to,4.03%,a,3.55%
no,one,17.21%,matter,6.56%,longer,6.56%
which,they,15.28%,she,11.11%,he,8.33%
he,was,11.74%,had,8.04%,said,4.82%
much,to,10.61%,as,9.09%,of,7.58%
have,been,9.47%,a,6.84%,to,5.26%
into,the,43.75%,a,12.5%,his,10.16%
great,st,10.0%,deal,4.29%,americans,4.29%
were,all,4.04%,not,3.59%,in,3.59%
long,time,11.7%,as,9.57%,breath,3.19%
white,and,17.74%,dress,4.84%,arch,3.23%
from,the,38.14%,her,5.58%,his,5.12%
just,as,26.47%,the,10.29%,at,4.41%
they,were,18.43%,had,9.37%,are,6.04%
before,the,18.46%,he,10.77%,she,9.23%
way,to,14.93%,she,4.48%,and,4.48%
day,and,9.68%,she,5.38%,they,5.38%
up,the,14.22%,to,13.74%,and,12.32%
thought,of,28.17%,that,15.49%,it,9.86%
now,and,11.61%,as,7.14%,that,5.36%
i'll,tell,12.7%,be,6.35%,not,6.35%
old,man,6.8%,fellow,5.44%,gentleman,3.4%
then,he,10.66%,she,10.66%,the,10.66%
how,much,8.24%,you,4.71%,did,4.71%
will,be,21.1%,find,5.5%,have,4.59%
last,night,17.24%,i,5.17%,time,5.17%
me,to,6.45%,the,5.53%,a,4.61%
some,of,17.78%,one,10.37%,day,3.7%
room,and,13.46%,to,5.77%,with,5.77%
away,from,12.5%,to,6.25%,in,6.25%
eyes,and,10.29%,as,8.82%,she,5.88%
again,and,20.59%,but,5.88%,he,5.88%
said,the,11.43%,mrs,8.0%,that,6.86%
are,the,6.45%,all,4.84%,you,3.23%
like,a,24.24%,to,10.1%,the,9.09%
come,to,17.28%,in,6.17%,back,6.17%
things,that,18.87%,she,5.66%,and,5.66%
through,the,50.0%,his,6.9%,a,5.17%
an,old,14.07%,hour,5.19%,instant,2.96%
over,the,24.27%,to,12.62%,her,6.8%
do,you,18.68%,that,7.69%,something,7.69%
know,that,26.92%,what,11.54%,i,5.13%
them,and,8.12%,to,6.25%,in,5.0%
than,a,10.98%,the,10.98%,i,8.54%
him,and,7.12%,to,6.1%,the,4.75%
see,the,20.0%,him,10.53%,that,7.37%
here,and,13.33%,in,13.33%,to,8.33%
every,one,16.07%,time,12.5%,day,7.14%
would,be,30.14%,have,9.59%,not,5.48%
more,than,29.85%,to,4.48%,lovable,2.99%
good,bye,11.69%,times,9.09%,to,5.19%
girls,were,5.48%,and,4.11%,would,4.11%
until,she,15.69%,the,13.73%,her,9.8%
time,and,9.84%,to,8.2%,in,4.92%
go,to,13.59%,in,7.77%,back,7.77%
where,the,25.33%,she,9.33%,they,9.33%
found,it,16.67%,that,10.0%,the,10.0%
never,be,9.43%,seen,7.55%,would,5.66%
story,of,24.07%,is,14.81%,was,5.56%
think,of,30.43%,that,13.04%,i,7.25%
what,a,10.1%,he,9.09%,the,8.08%
after,the,19.44%,a,8.33%,you,6.94%
hand,to,16.95%,and,11.86%,in,6.78%
face,and,15.15%,in,6.06%,as,4.55%
told,her,22.58%,me,17.74%,us,11.29%
your,wonder,4.17%,mother,4.17%,heart,4.17%
tell,her,16.67%,you,16.67%,us,8.33%
can,be,7.25%,say,5.8%,do,5.8%
we,are,13.73%,were,9.15%,come,5.88%
take,the,11.29%,him,9.68%,her,8.06%
us,to,13.16%,all,13.16%,and,7.89%
who,had,20.45%,was,9.85%,were,6.82%
oh,i,15.0%,papa,6.25%,the,5.0%
boys,of,26.76%,were,9.86%,and,5.63%
make,the,11.67%,a,10.0%,him,6.67%
dog,and,7.45%,he,6.38%,was,3.19%
went,to,10.94%,on,10.94%,out,7.81%
major,and,8.77%,had,8.77%,was,5.26%
