word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,series,5.69%,illustrated,3.79%,him,1.9%
the,of,10.87%,in,8.28%,to,5.61%
little,the,51.32%,a,9.38%,his,4.11%
hero,prince,6.83%,that,5.59%,to,5.59%
of,one,3.34%,out,2.6%,some,1.78%
colonel,little,87.74%,the,5.66%,west,0.94%
in,out,2.18%,up,1.97%,down,1.86%
first,the,37.5%,at,19.64%,her,5.36%
all,and,5.74%,of,5.33%,us,4.1%
to,want,1.97%,up,1.84%,back,1.84%
could,she,22.97%,he,13.51%,i,12.84%
not,could,18.52%,did,11.57%,was,10.65%
this,to,3.7%,and,3.7%,in,3.7%
is,it,22.18%,he,10.18%,that,6.91%
their,of,16.91%,in,11.76%,to,6.62%
many,so,13.51%,as,6.76%,of,6.76%
one,no,9.17%,the,6.55%,some,6.11%
and,up,1.47%,him,1.19%,her,1.07%
at,looked,2.82%,back,2.19%,stopped,1.88%
as,just,3.96%,long,1.98%,and,1.76%
a,with,6.39%,in,5.38%,was,4.96%
out,came,5.29%,stretched,3.52%,coming,3.08%
i,that,7.59%,and,6.69%,but,4.88%
her,to,9.96%,in,8.05%,of,5.62%
story,the,39.29%,a,10.71%,his,5.36%
red,the,50.62%,a,14.81%,that,4.94%
cross,red,81.94%,gold,5.56%,white,2.78%
with,her,2.26%,back,1.81%,was,1.58%
betty,and,9.01%,said,6.31%,to,5.41%
on,out,2.91%,cross,1.94%,down,1.69%
home,at,18.18%,the,7.58%,her,4.55%
again,him,7.14%,out,7.14%,her,5.71%
princess,the,43.55%,o,8.06%,and,6.45%
oh,but,2.44%,it,2.44%,oh,2.44%
that,and,3.24%,know,2.62%,her,1.62%
it,that,5.82%,of,4.13%,if,3.06%
my,in,6.81%,of,4.71%,on,4.19%
has,he,20.88%,it,9.89%,she,9.89%
about,all,8.24%,was,4.71%,talking,3.53%
he,that,7.38%,as,6.39%,if,5.57%
such,in,8.7%,had,7.25%,was,5.8%
his,in,11.47%,on,8.94%,of,8.26%
she,that,10.43%,as,9.63%,and,5.88%
around,arm,4.88%,all,4.88%,gathered,3.66%
for,him,2.7%,it,1.8%,ready,1.58%
head,his,31.67%,her,13.33%,the,8.33%
was,it,20.95%,he,11.95%,she,10.47%
its,with,13.43%,of,10.45%,in,10.45%
back,go,5.63%,his,5.63%,came,4.23%
heart,my,18.52%,loving,16.67%,the,9.26%
but,her,2.99%,it,2.61%,him,2.24%
be,to,28.32%,would,15.77%,will,8.24%
been,had,53.6%,have,14.4%,has,8.8%
so,was,11.3%,is,4.78%,be,4.35%
think,i,28.79%,to,13.64%,and,6.06%
or,me,3.16%,him,2.11%,dead,2.11%
only,was,13.33%,the,8.57%,had,5.71%
when,and,4.66%,morning,3.63%,me,2.59%
came,he,8.99%,she,8.99%,and,4.49%
down,and,11.03%,go,4.41%,came,2.94%
you,if,7.32%,do,4.79%,that,3.94%
there,and,6.04%,was,3.3%,in,2.75%
no,was,11.29%,and,6.45%,but,5.65%
which,in,12.0%,on,5.33%,to,5.33%
much,as,20.9%,so,20.9%,how,10.45%
have,i,16.49%,to,14.89%,could,10.11%
into,out,7.09%,came,7.09%,up,6.3%
great,the,38.24%,a,17.65%,of,8.82%
were,they,27.73%,there,6.82%,we,6.36%
long,a,22.34%,the,8.51%,as,8.51%
white,the,14.29%,little,7.94%,of,6.35%
from,away,4.55%,back,4.09%,up,2.73%
just,i,8.7%,had,5.8%,me,4.35%
they,as,10.49%,that,8.02%,when,6.48%
had,she,17.16%,he,12.44%,they,7.71%
before,it,6.15%,him,4.62%,long,4.62%
way,the,38.46%,a,12.82%,that,11.54%
day,the,19.15%,to,9.57%,next,7.45%
up,came,2.83%,picked,2.36%,it,2.36%
thought,i,20.59%,she,19.12%,the,8.82%
now,and,7.21%,it,5.41%,her,3.6%
i'll,and,15.87%,believe,4.76%,hope,3.17%
old,the,32.19%,an,13.01%,his,4.11%
then,and,27.27%,him,3.31%,first,1.65%
will,it,14.29%,you,11.43%,they,5.71%
last,the,33.33%,at,24.56%,this,3.51%
me,to,12.22%,let,5.88%,told,4.98%
some,in,6.67%,and,5.93%,for,5.19%
away,get,5.06%,far,5.06%,them,3.8%
eyes,her,36.36%,his,15.15%,the,4.55%
said,she,19.47%,he,15.79%,and,4.21%
are,we,16.94%,they,16.13%,you,9.68%
like,would,4.0%,be,3.0%,something,3.0%
come,to,16.25%,we,11.25%,had,3.75%
through,go,5.08%,going,3.39%,are,3.39%
an,with,10.14%,in,7.25%,such,7.25%
over,was,3.85%,it,3.85%,looking,1.92%
do,to,26.67%,you,7.78%,can,4.44%
