word type,number
everything,66825
adult,0
hate,0
function,37816
normal,number
the,3718
to,2141
and,1913
of,1603
a,1503
she,1459
her,1341
that,1196
in,1152
it,1059
was,885
he,874
had,800
as,691
for,623
with,599
i,574
his,479
on,466
you,458
at,429
him,424
but,414
be,388
so,353
up,324
have,320
all,320
one,288
been,268
when,268
they,259
not,257
little,256
is,246
out,245
if,242
would,221
this,220
them,220
old,214
from,211
me,208
were,206
an,205
over,187
could,183
my,183
then,175
there,174
gay,173
just,172
like,168
such,160
time,159
what,157
made,156
into,156
by,153
way,151
now,147
back,144
down,142
some,138
no,136
about,135
said,129
which,128
it's,126
only,119
come,117
who,117
good,111
how,110
their,109
came,109
any,108
thought,106
we,105
long,104
make,104
see,103
away,103
know,102
first,101
day,97
do,95
kitty,95
before,94
face,93
than,93
betty,92
rob,92
go,89
its,88
more,88
did,88
i'm,87
herself,86
i'll,86
mrs,84
much,81
never,81
miss,81
seemed,79
has,79
went,78
going,77
don't,77
home,77
will,76
take,75
can,75
every,75
night,75
after,74
around,73
eyes,73
always,73
oh,73
through,72
last,72
things,71
place,71
while,71
think,70
are,70
room,70
i've,69
or,69
again,68
get,67
your,67
look,66
began,66
well,66
too,65
man,65
house,62
very,62
found,62
even,62
two,61
looked,61
girls,61
white,60
here,60
lucy,60
left,59
put,58
own,57
might,57
looking,57
most,56
life,56
colonel,55
where,55
other,53
almost,53
saw,53
next,53
same,52
thing,52
girl,51
something,51
keep,51
because,51
since,50
answered,50
she's,50
must,49
summer,48
moment,48
off,48
tell,48
right,48
called,47
couldn't,47
hand,46
heard,46
till,46
taken,46
he's,46
why,45
another,45
ever,45
years,45
want,45
turned,44
didn't,44
asked,44
felt,44
school,43
world,43
morning,43
great,43
still,43
find,43
under,43
give,42
marks,42
hands,41
valley,41
should,41
us,41
stairs,41
sweet,40
hall,40
everything,40
done,40
heart,39
coming,39
wouldn't,39
young,39
half,39
happy,39
dear,39
window,38
head,38
interest,38
used,38
knew,38
enough,38
told,38
i'd,38
gave,38
took,38
jack,37
once,37
family,37
gone,37
anything,37
that's,37
many,37
lloyd's,37
times,36
sat,36
days,36
those,36
glance,36
book,35
brought,35
behind,35
light,35
mind,35
smile,35
call,35
isn't,35
being,35
feel,35
read,35
each,34
story,34
else,34
glad,34
name,34
beside,34
red,33
cabin,33
himself,33
stood,33
gay's,33
big,32
voice,32
sent,32
door,32
can't,32
wanted,32
say,32
dark,31
held,31
kept,31
these,31
locusts,31
end,30
picture,30
along,30
year,30
without,30
open,30
given,30
soon,30
stay,30
sure,30
new,29
let,29
laughed,29
help,29
bed,28
front,28
matter,28
stopped,28
betty's,27
between,27
course,27
pleased,27
far,27
you've,27
yet,27
ago,27
started,27
seen,27
suppose,27
answer,27
got,27
table,27
leave,27
evening,27
father,27
page,26
dress,26
garden,26
spanish,26
several,26
making,26
hear,26
rose,26
turn,26
exclaimed,26
added,26
full,26
hour,26
wedding,26
am,26
across,26
people,26
seat,26
comes,25
reached,25
work,25
porch,25
nothing,25
sort,25
our,25
chair,25
thinking,25
mother,25
doctor,25
maybe,24
better,24
near,24
bring,24
doing,24
high,24
hair,24
towards,24
there's,24
wasn't,24
jameson,24
wait,24
few,24
afternoon,24
awhile,24
mirror,23
silver,23
gate,23
part,23
care,23
both,23
black,23
makes,23
low,23
whole,23
everybody,23
week,23
talk,23
feeling,23
three,22
sometimes,22
chapter,22
beginning,22
live,22
against,22
caught,22
mr,22
cried,22
you'll,22
nearly,22
fire,22
set,22
word,22
you're,22
attention,22
wish,22
aunt,21
bird,21
path,21
ladder,21
steps,21
words,21
beautiful,21
although,21
taking,21
road,21
met,21
tone,21
waited,21
change,21
watched,21
myself,21
judge,21
side,21
quick,20
passed,20
hat,20
friends,20
interested,20
instead,20
meet,20
explained,20
may,20
until,20
best,20
rest,20
joy,20
papa,20
ask,20
alone,20
opened,20
brother,19
charm,19
lay,19
carried,19
amused,19
letter,19
country,19
we'll,19
trying,19
short,19
he'll,19
does,19
soft,19
blue,18
avenue,18
june,18
walk,18
post,18
spent,18
sight,18
minutes,18
doesn't,18
won't,18
watch,18
saying,18
use,18
early,18
fine,18
followed,18
afraid,18
says,18
poor,18
yes,18
child,18
quite,18
car,18
forward,17
wild,17
office,17
woods,17
shoulder,17
grown,17
show,17
surprise,17
wondered,17
step,17
haven't,17
what's,17
seems,17
known,17
cut,17
showed,17
carriage,17
talked,17
seem,17
moore,17
stop,17
smiled,17
kind,17
disappointment,17
case,17
tears,17
ida,17
town,17
later,16
written,16
suddenly,16
aside,16
possible,16
finished,16
return,16
having,16
certainly,16
ten,16
laughing,16
hard,16
dropped,16
sound,16
lovely,16
kitty's,16
love,16
he'd,16
hers,16
late,16
promise,16
presently,16
manuscript,16
wished,16
pleasure,16
dinner,16
box,16
knight,15
series,15
corner,15
boy,15
idea,15
spring,15
air,15
longer,15
instant,15
arm,15
expected,15
pretty,15
talking,15
simply,15
hadn't,15
daughter,15
she'd,15
proud,15
married,15
visit,15
note,15
bit,15
write,15
really,15
often,15
filled,15
different,15
prince,15
colonel's,14
riding,14
shadows,14
stick,14
stars,14
lilies,14
led,14
least,14
windows,14
already,14
hold,14
eager,14
hours,14
repeated,14
perfectly,14
breath,14
laugh,14
walked,14
top,14
listen,14
you'd,14
together,14
locust,14
fell,14
happened,14
nobody,14
remember,14
gown,14
true,14
fit,14
leaf,14
order,14
sprang,14
leaned,14
glanced,14
growing,14
books,13
manner,13
green,13
turning,13
standing,13
giving,13
among,13
noticed,13
leaves,13
changed,13
scene,13
glass,13
past,13
try,13
real,13
looks,13
fall,13
insisted,13
music,13
ought,13
follow,13
thoughts,13
silence,13
conscious,13
four,13
position,13
strong,13
stranger,13
happiness,13
loved,13
listened,13
hollow,13
tried,13
above,12
company,12
impression,12
second,12
shake,12
straight,12
ahead,12
expression,12
paper,12
play,12
gold,12
lost,12
spend,12
wrote,12
violin,12
ready,12
finally,12
familiar,12
hot,12
laid,12
floor,12
nice,12
ride,12
we've,12
tied,12
believe,12
beeches,12
whose,12
sorry,12
touch,12
men,12
attempt,12
opportunity,12
sitting,12
childish,12
itself,12
seeing,12
tale,12
illustration,11
party,11
waiting,11
tryst,11
lessons,11
drew,11
clear,11
need,11
trees,11
sleep,11
hung,11
slip,11
sit,11
fact,11
unexpected,11
suggested,11
usual,11
upon,11
enthusiastic,11
questions,11
remembered,11
mother's,11
writing,11
confessed,11
experience,11
boys,11
begin,11
responsibility,11
hope,11
effort,11
send,11
whom,11
church,11
start,11
game,11
acquaintance,11
lying,11
self,11
pose,11
promised,11
save,11
mom,11
places,11
message,11
candle,11
please,11
gray,11
question,11
golden,11
stories,10
knights,10
small,10
colour,10
keeping,10
fancies,10
excuse,10
paused,10
somewhere,10
intended,10
especially,10
dead,10
hoped,10
forgot,10
coloured,10
twice,10
slipped,10
forgotten,10
settled,10
declared,10
they're,10
soul,10
welcome,10
others,10
drive,10
happen,10
anybody,10
plain,10
swept,10
reason,10
song,10
minute,10
pass,10
exactly,10
smiling,10
count,10
fingers,10
feet,10
fortune,10
she'll,10
fun,10
spoke,10
entirely,10
needed,10
ladle,10
devoted,10
engagement,10
knowing,10
account,10
grow,10
business,10
english,10
ways,10
king's,10
ned,10
altar,10
able,10
fair,10
recalled,10
fill,10
train,10
getting,10
ran,10
occasion,10
within,10
desk,10
meeting,10
daily,10
conversation,10
brer,10
difference,10
chance,10
age,10
maid,9
princess,9
songs,9
shy,9
months,9
cup,9
cool,9
empty,9
farther,9
crossed,9
dozen,9
affairs,9
pleasant,9
heavy,9
forth,9
charming,9
effect,9
wondering,9
interesting,9
admiration,9
figure,9
probably,9
imagine,9
broad,9
remembering,9
angel,9
wide,9
news,9
pink,9
they've,9
mine,9
station,9
wonder,9
surprised,9
ridiculous,9
telling,9
telephone,9
five,9
piece,9
calling,9
knows,9
throwing,9
whisper,9
finger,9
law,9
lines,9
joined,9
uncle,9
mean,9
rather,9
draw,9
played,9
anxious,9
mood,9
household,9
hastily,9
bore,9
tonight,9
quiet,9
friend,9
yeahs,9
sudden,9
entire,9
scarcely,9
fancy,9
influence,9
harp,9
pride,9
sense,9
asleep,9
older,9
wore,9
slowly,9
gaze,9
fashion,9
doubt,9
madam,9
warm,9
frightened,9
reading,9
lips,9
needn't,9
admitted,9
shoulders,9
winter,9
joyce,9
mary,8
object,8
horse,8
leaning,8
decided,8
cold,8
glancing,8
moonlight,8
dust,8
stepped,8
roses,8
outside,8
mistaken,8
sun,8
cordial,8
become,8
class,8
interrupted,8
we'd,8
disappointed,8
shining,8
social,8
forget,8
view,8
point,8
anyhow,8
let's,8
earth,8
single,8
wood,8
mouth,8
success,8
nest,8
announced,8
romantic,8
habit,8
splendid,8
lap,8
affair,8
trip,8
opening,8
quickly,8
marriage,8
opinion,8
hardly,8
drawn,8
playing,8
line,8
task,8
wants,8
somehow,8
pitcher,8
break,8
wall,8
sawt,8
queer,8
missed,8
morrow,8
ambition,8
speak,8
thinks,8
fellow,8
flat,8
lightly,8
thrust,8
helped,8
fresh,8
entrance,8
yesterday,8
carry,8
bow,8
beck,8
understand,8
expect,8
speech,8
library,8
wonderful,8
slightly,8
sigh,8
eye,8
plainly,8
close,8
kitchen,8
hurried,8
doors,8
sake,8
circle,8
plate,8
swung,8
holding,8
faint,8
godmother,8
verse,8
laughingly,8
sensitive,8
pictures,8
spirit,8
buggy,8
lot,8
tree,8
trouble,8
nearer,8
cover,7
lady,7
novel,7
appear,7
miracle,7
royal,7
bending,7
mail,7
beech,7
impulse,7
water,7
picnic,7
aloud,7
enjoyed,7
spot,7
inside,7
foot,7
shook,7
round,7
singing,7
slow,7
though,7
glory,7
rapidly,7
leading,7
parasol,7
cheeks,7
excitement,7
washington,7
offered,7
mighty,7
broke,7
trunks,7
month,7
whispered,7
climbed,7
breakfast,7
tea,7
bringing,7
willing,7
god,7
louisville,7
spell,7
awfully,7
sing,7
bad,7
romance,7
busy,7
easy,7
hurry,7
settle,7
drove,7
dropping,7
leaving,7
throw,7
speeches,7
memory,7
handed,7
glowing,7
piano,7
voices,7
continued,7
cry,7
fashioned,7
lighting,7
mallard,7
serious,7
finish,7
shot,7
weeks,7
reply,7
photograph,7
comfort,7
grew,7
gets,7
worn,7
prove,7
entertaining,7
tune,7
kiss,7
fallen,7
lesson,7
glimpse,7
grass,7
flutter,7
flashing,7
fan,7
eagerly,7
actually,7
living,7
closed,7
arms,7
swing,7
finding,7
throat,7
meant,7
friendly,7
slightest,7
faces,7
linen,7
present,7
personal,7
preparations,7
somebody,7
sang,7
covered,7
however,7
creeping,7
run,7
motto,7
tiny,7
loving,7
accepted,7
invitation,7
springs,7
refused,7
costumes,7
seized,7
perfect,7
ant,7
copy,7
understood,7
learn,7
veil,7
drawing,7
fellows,6
mark,6
volume,6
christmas,6
vacation,6
built,6
poems,6
publishers,6
six,6
list,6
frame,6
bubbling,6
poured,6
tempted,6
following,6
van,6
rode,6
narrow,6
rocks,6
completely,6
bloom,6
rested,6
hammock,6
slender,6
carrying,6
rare,6
reflected,6
fast,6
hurrying,6
stepping,6
commencement,6
we're,6
subject,6
resented,6
served,6
excited,6
instantly,6
dearest,6
sister,6
husband,6
san,6
antonio,6
funny,6
mistake,6
shall,6
possession,6
reception,6
managed,6
it'll,6
drop,6
dreadful,6
besides,6
spoil,6
body,6
stone,6
beloved,6
wholly,6
unconscious,6
bride,6
robin,6
bright,6
learned,6
force,6
prepared,6
mammy,6
wed,6
mere,6
tie,6
themselves,6
people's,6
returned,6
honour,6
yeah,6
guests,6
hearing,6
key,6
entertainment,6
discovery,6
thousand,6
anywhere,6
horses,6
knowledge,6
burglar,6
instance,6
frank,6
lace,6
phil,6
west,6
keen,6
easier,6
dreams,6
moon,6
death,6
lived,6
dim,6
twenty,6
father's,6
character,6
teasingly,6
honest,6
earnest,6
intense,6
neck,6
raised,6
blessed,6
ring,6
accomplished,6
lighted,6
constant,6
liked,6
tennis,6
unlike,6
ones,6
stand,6
interests,6
baby,6
wanting,6
astonishment,6
dreamed,6
honey,6
paid,6
picked,6
absorbed,6
shut,6
lunch,6
walking,6
moments,6
greeting,6
day's,6
worth,6
also,6
rain,6
moved,6
opposite,6
lights,6
mentioned,6
explain,6
die,6
breathed,6
pocket,6
placed,6
grandfather,6
waved,6
rear,6
lifted,6
relief,6
heaven,6
surely,6
failed,6
candy,6
awake,6
crown,6
fairy,6
fence,6
cause,6
direction,6
knee,6
flowers,6
beauty,6
gaily,6
cloud,6
unhappy,6
recalling,6
glorious,6
notice,6
rock,6
ease,6
softly,6
wife,6
circumstances,6
walls,6
recognized,6
bitterly,6
stirred,6
clover,6
society,6
failure,6
children,6
win,6
tenderness,6
necessary,6
move,6
eugenia's,6
disguise,6
illustrated,5
kentucky,5
arizona,5
printed,5
cosy,5
desert,5
rescue,5
c,5
april,5
confidences,5
camera,5
yard,5
diary,5
coals,5
wings,5
picturesque,5
positive,5
bank,5
ravine,5
smell,5
practice,5
quarter,5
carefully,5
less,5
vines,5
attractive,5
toward,5
staring,5
armful,5
skirts,5
free,5
struck,5
sunshine,5
reminded,5
poem,5
reflection,5
popular,5
war,5
stayed,5
original,5
lively,5
awful,5
nail,5
pick,5
floated,5
trifle,5
clinging,5
delight,5
fond,5
dish,5
coffee,5
dining,5
asking,5
flower,5
begged,5
allowed,5
cuckoo's,5
fate,5
whenever,5
group,5
couple,5
running,5
imagined,5
raleigh,5
receive,5
knees,5
takes,5
realize,5
dull,5
experiences,5
arrived,5
ladies,5
description,5
grandmother,5
guest,5
quaint,5
sunny,5
