word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.85%,a,6.71%,its,4.7%
and,the,6.23%,she,3.34%,he,2.41%
the,old,2.09%,little,1.82%,way,1.76%
this,summer,5.88%,one,5.88%,is,4.41%
was,a,9.15%,the,6.29%,so,3.78%
from,the,37.75%,her,9.8%,his,3.92%
made,her,14.74%,the,14.1%,a,8.33%
little,colonel,6.2%,colonel's,4.55%,girl,2.48%
of,the,23.49%,her,8.34%,a,5.65%
colonel,had,7.69%,for,5.77%,series,3.85%
one,of,21.55%,else,3.89%,that,3.53%
in,the,26.68%,her,9.63%,a,9.1%
two,years,8.2%,little,6.56%,by,4.92%
house,and,22.41%,she,8.62%,party,6.9%
at,the,37.72%,her,8.44%,home,3.97%
good,times,9.91%,time,6.31%,to,4.5%
that,she,11.97%,he,7.69%,it,5.59%
other,people's,7.55%,grasped,5.66%,in,3.77%
a,little,2.82%,moment,1.75%,long,1.61%
with,a,19.48%,the,14.96%,her,10.96%
she,had,14.48%,was,9.54%,could,3.77%
seemed,to,62.03%,a,3.8%,surprised,2.53%
to,the,10.0%,be,7.04%,her,5.07%
have,been,14.2%,to,9.46%,a,6.31%
put,on,12.07%,the,10.34%,her,8.62%
on,the,43.9%,her,7.32%,a,5.32%
had,been,16.62%,not,3.5%,a,3.25%
been,a,7.6%,so,5.7%,the,3.42%
its,good,4.55%,first,3.41%,green,3.41%
first,time,11.11%,of,5.05%,wearer,3.03%
come,to,14.41%,back,10.81%,in,7.21%
i,have,5.23%,don't,4.86%,know,4.5%
time,to,12.82%,she,7.69%,for,5.77%
more,than,25.58%,to,5.81%,and,4.65%
as,she,18.36%,if,11.04%,he,8.51%
it,was,19.5%,had,3.35%,would,3.25%
some,of,14.71%,one,11.03%,day,4.41%
be,a,6.72%,the,4.84%,so,2.42%
look,at,17.19%,in,9.38%,on,7.81%
down,the,25.71%,to,14.29%,on,9.29%
he,had,13.63%,was,10.62%,would,3.58%
over,the,19.57%,her,14.13%,to,10.87%
her,to,3.32%,face,2.19%,and,2.19%
white,dress,6.78%,and,6.78%,hands,5.08%
for,the,17.25%,a,9.45%,her,7.96%
into,the,40.26%,a,12.99%,her,9.09%
began,to,38.71%,gay,3.23%,i,3.23%
looked,up,20.0%,so,10.0%,forward,8.33%
me,to,11.0%,that,4.5%,just,3.5%
just,as,26.95%,a,7.19%,then,5.39%
like,a,25.64%,that,11.54%,the,8.97%
own,hands,7.27%,lilies,5.45%,affairs,5.45%
his,face,2.97%,own,2.55%,eyes,2.12%
where,the,22.64%,she,13.21%,they,9.43%
him,to,8.55%,and,5.94%,in,4.99%
would,be,25.79%,have,21.72%,not,5.43%
take,the,11.27%,him,9.86%,it,9.86%
out,of,28.22%,to,9.13%,the,7.05%
way,to,12.93%,she,6.8%,of,6.12%
but,the,9.8%,it,7.29%,she,7.29%
through,the,52.86%,a,7.14%,her,4.29%
if,she,15.95%,he,12.07%,i,10.78%
might,have,24.56%,be,17.54%,not,10.53%
well,as,9.23%,she,6.15%,for,4.62%
go,on,13.64%,to,11.36%,with,10.23%
around,the,26.76%,to,9.86%,her,8.45%
said,in,10.92%,gay,5.04%,that,5.04%
an,hour,6.44%,old,4.95%,instant,2.97%
it's,a,8.33%,just,8.33%,the,7.5%
think,of,31.43%,that,17.14%,it,8.57%
is,the,7.56%,to,7.14%,a,6.3%
can,get,5.41%,do,5.41%,make,5.41%
place,where,8.57%,the,7.14%,to,7.14%
when,she,23.9%,he,14.34%,the,9.16%
has,been,21.79%,the,5.13%,never,5.13%
such,a,58.49%,an,13.84%,things,2.52%
girls,had,8.2%,who,4.92%,in,4.92%
get,it,7.81%,the,7.81%,to,6.25%
no,one,7.63%,use,5.34%,matter,5.34%
before,she,16.67%,he,8.89%,the,7.78%
up,to,15.36%,the,13.17%,in,8.15%
could,not,21.43%,have,11.54%,be,9.34%
not,to,5.88%,have,5.1%,see,3.92%
see,the,14.0%,him,9.0%,it,7.0%
they,were,14.9%,had,13.33%,could,3.53%
here,and,15.25%,she,10.17%,to,8.47%
their,hearts,3.7%,way,3.7%,little,2.78%
which,she,26.83%,he,14.63%,to,5.69%
only,a,15.65%,to,7.83%,one,3.48%
back,to,25.17%,in,9.79%,and,7.69%
most,of,27.27%,unexpected,3.64%,satisfactory,3.64%
them,to,7.91%,and,7.91%,all,6.51%
all,the,25.16%,that,6.05%,her,3.82%
so,much,7.8%,that,4.05%,long,3.47%
about,the,19.53%,it,16.41%,her,6.25%
much,as,12.35%,of,11.11%,fun,6.17%
then,she,11.56%,the,6.36%,he,5.78%
now,that,7.04%,and,6.34%,she,6.34%
old,colonel,10.45%,fashioned,2.99%,friends,2.49%
too,much,7.69%,bad,4.62%,and,4.62%
same,old,17.31%,time,3.85%,way,3.85%
there,was,31.21%,were,6.36%,in,4.62%
things,to,13.43%,that,10.45%,she,7.46%
almost,as,16.98%,to,3.77%,slipped,3.77%
day,and,10.64%,before,5.32%,he,5.32%
every,one,9.59%,time,5.48%,day,4.11%
never,been,7.59%,known,5.06%,mind,3.8%
last,year,8.7%,one,5.8%,time,4.35%
long,as,10.68%,time,8.74%,ago,6.8%
were,all,4.88%,the,4.88%,not,4.39%
came,to,18.52%,back,10.19%,in,9.26%
girl,in,13.73%,like,7.84%,who,5.88%
face,as,9.68%,that,5.38%,but,5.38%
who,had,22.22%,was,8.55%,came,5.13%
what,a,15.79%,she,8.55%,he,7.89%
do,it,12.77%,you,12.77%,and,4.26%
going,to,48.0%,on,8.0%,away,6.67%
thought,of,16.35%,that,6.73%,it,5.77%
don't,you,19.74%,see,6.58%,know,5.26%
herself,to,7.06%,and,4.71%,in,4.71%
than,the,10.99%,any,7.69%,she,6.59%
man,who,14.06%,and,7.81%,in,6.25%
eyes,and,12.5%,to,5.56%,as,5.56%
looking,down,14.29%,out,12.5%,at,10.71%
very,well,8.2%,first,6.56%,different,4.92%
next,day,17.65%,morning,15.69%,instant,9.8%
know,that,13.27%,what,8.16%,the,7.14%
away,from,15.84%,in,6.93%,to,6.93%
you,know,8.37%,can,3.62%,were,3.17%
did,not,45.45%,you,7.95%,it,4.55%
home,to,9.09%,and,7.79%,but,5.19%
kitty,and,7.61%,for,5.43%,to,4.35%
i've,been,23.88%,always,8.96%,heard,4.48%
always,been,15.28%,heard,2.78%,be,2.78%
i'll,go,10.84%,be,9.64%,take,7.23%
are,you,11.59%,all,5.8%,in,4.35%
again,she,11.94%,and,8.96%,that,5.97%
after,the,12.5%,that,9.72%,a,6.94%
we,were,9.71%,had,5.83%,are,5.83%
gay,was,8.14%,and,6.4%,had,5.81%
oh,i,15.87%,you,14.29%,my,4.76%
something,to,11.76%,else,7.84%,in,5.88%
betty,was,8.89%,had,6.67%,and,4.44%
lucy,and,11.86%,was,6.78%,had,6.78%
night,he,8.22%,and,6.85%,with,5.48%
found,that,13.11%,herself,11.48%,her,9.84%
i'm,going,10.84%,glad,7.23%,not,7.23%
will,be,25.33%,you,5.33%,make,5.33%
or,the,11.76%,two,7.35%,a,5.88%
make,a,13.59%,her,9.71%,the,8.74%
even,if,21.67%,the,15.0%,in,5.0%
left,the,11.86%,her,10.17%,them,8.47%
life,to,7.27%,was,7.27%,is,7.27%
how,she,7.27%,he,5.45%,it,4.55%
my,little,5.88%,dear,5.29%,heart,4.12%
room,she,11.43%,to,8.57%,and,7.14%
went,on,18.18%,to,10.39%,up,10.39%
while,she,18.46%,they,12.31%,the,9.23%
