word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,him,2.65%,two,1.99%,gone,1.99%
and,it,1.71%,her,1.6%,him,1.38%
the,of,10.0%,in,8.25%,to,5.71%
at,up,3.07%,was,2.84%,look,2.6%
was,it,24.09%,she,16.41%,he,10.86%
from,away,7.58%,out,3.32%,up,2.84%
made,it,15.54%,had,11.49%,she,10.14%
little,the,26.4%,a,16.8%,her,4.8%
of,out,4.29%,one,3.85%,think,1.39%
colonel,old,38.18%,the,34.55%,little,27.27%
one,the,11.15%,some,5.23%,this,4.18%
in,up,2.31%,it,2.04%,him,1.87%
two,the,22.03%,or,8.47%,for,6.78%
house,the,63.93%,first,4.92%,a,3.28%
good,a,17.59%,the,12.04%,as,4.63%
that,and,3.07%,in,1.88%,all,1.62%
a,with,7.51%,in,6.9%,such,6.23%
with,her,3.48%,and,2.78%,it,2.09%
she,that,9.68%,as,8.69%,and,4.31%
seemed,it,24.05%,she,10.13%,that,10.13%
to,seemed,2.34%,up,2.34%,her,2.1%
have,to,18.87%,would,15.09%,i,9.12%
put,to,21.05%,and,12.28%,have,10.53%
on,went,3.06%,down,2.84%,it,2.62%
had,she,28.75%,he,16.08%,that,4.77%
been,had,50.19%,have,16.98%,has,6.42%
its,in,13.64%,with,11.36%,of,10.23%
first,the,55.56%,her,9.09%,very,4.04%
come,to,26.32%,had,12.28%,would,5.26%
i,and,7.99%,that,6.13%,but,5.2%
time,the,20.75%,first,6.92%,long,5.66%
more,the,9.41%,was,7.06%,any,7.06%
things,the,15.49%,of,8.45%,such,5.63%
as,just,6.69%,her,2.82%,soon,2.67%
it,that,6.2%,of,4.17%,but,2.81%
other,the,34.62%,each,11.54%,any,7.69%
some,of,6.67%,for,5.93%,to,5.19%
be,to,38.28%,would,14.84%,will,4.95%
look,to,32.31%,a,4.62%,and,4.62%
down,looking,5.8%,way,3.62%,come,3.62%
over,it,5.41%,all,4.86%,leaned,3.24%
her,of,9.71%,in,8.14%,to,7.92%
white,the,20.69%,a,13.79%,her,12.07%
into,up,3.87%,him,3.23%,down,2.58%
began,she,26.98%,and,20.63%,he,7.94%
looked,she,28.85%,he,15.38%,had,7.69%
me,to,14.15%,for,10.73%,tell,5.37%
just,was,8.33%,it's,5.95%,had,4.76%
like,just,4.97%,so,3.11%,feel,3.11%
own,her,46.3%,his,22.22%,my,11.11%
his,of,15.09%,in,8.81%,and,3.77%
he,that,10.34%,as,6.7%,and,5.17%
where,place,11.11%,and,5.56%,door,3.7%
him,to,7.58%,of,5.69%,for,5.21%
would,she,20.57%,it,16.27%,he,14.83%
take,to,45.21%,and,9.59%,i'll,8.22%
out,find,2.87%,came,2.87%,looking,2.87%
way,the,42.67%,his,5.33%,that,4.67%
but,it,2.27%,him,1.77%,them,1.77%
through,gone,4.17%,was,2.78%,echoed,2.78%
for,it,3.27%,waited,1.96%,her,1.64%
if,as,31.49%,even,5.53%,that,2.13%
might,he,23.21%,i,12.5%,she,10.71%
well,as,19.05%,very,7.94%,was,4.76%
go,to,31.46%,i'll,10.11%,and,5.62%
around,all,5.63%,prowling,4.23%,glance,4.23%
said,she,39.2%,he,23.2%,and,4.0%
an,with,10.78%,such,10.78%,of,6.37%
it's,and,5.04%,that,5.04%,suppose,5.04%
think,i,29.41%,to,23.53%,you,7.35%
is,it,13.66%,he,13.66%,that,4.41%
can,i,26.67%,you,21.33%,he,6.67%
place,the,34.33%,in,5.97%,old,4.48%
when,and,7.78%,but,2.72%,him,2.33%
has,she,17.81%,he,15.07%,it,12.33%
such,in,9.38%,with,6.25%,to,5.62%
girls,the,44.07%,you,5.08%,allen,3.39%
get,to,40.91%,you,7.58%,can,6.06%
no,was,9.63%,had,8.15%,made,5.93%
before,years,5.32%,day,5.32%,her,4.26%
up,looked,3.79%,him,3.47%,it,2.52%
could,she,32.16%,he,12.28%,they,5.26%
not,did,15.75%,could,15.35%,had,11.02%
see,to,39.39%,could,11.11%,not,10.1%
