word type,number
everything,65215
adult,1
hate,16
function,36247
normal,number
the,3939
and,2031
to,2017
of,1782
a,1536
she,1377
her,1367
in,1207
that,993
it,966
was,904
had,667
i,650
with,588
for,585
as,550
you,512
on,463
he,408
be,375
so,354
at,353
all,333
is,314
but,313
one,304
up,282
little,275
mary,268
have,258
they,257
when,255
out,242
by,233
his,232
were,232
if,220
would,215
not,209
from,205
him,196
this,195
then,188
an,186
me,184
them,182
there,179
said,179
into,178
over,163
like,163
what,161
time,159
old,156
been,153
we,153
which,152
down,150
who,149
betty,148
about,143
my,142
could,141
way,139
joyce,134
just,134
their,131
now,129
will,126
are,120
no,117
back,116
rob,112
such,111
some,109
or,108
made,108
know,108
only,105
see,104
make,101
think,96
face,95
did,94
day,93
do,93
room,91
long,89
don't,89
than,88
came,88
house,87
girls,87
more,87
how,87
first,86
after,86
it's,86
two,83
herself,83
good,82
your,82
thought,82
before,82
every,80
something,79
through,79
last,79
going,78
around,78
go,78
take,78
us,78
began,77
any,77
much,77
tell,75
come,75
white,75
too,74
i'll,74
phil,73
miss,73
has,72
story,70
away,70
other,69
oh,68
morning,68
i'm,67
wedding,66
again,65
eyes,63
look,63
things,63
well,62
went,61
party,60
times,60
many,57
eugenia,57
hand,56
colonel,55
its,55
knew,55
book,54
most,54
answered,54
never,53
can,53
right,53
place,52
ever,52
get,52
looked,52
life,52
beautiful,51
seemed,51
always,51
off,50
heard,50
must,50
illustrated,49
new,49
where,49
gave,49
here,49
why,48
turned,48
while,48
left,48
our,48
put,47
asked,47
say,47
each,46
maid,46
very,46
found,46
three,45
took,45
hands,45
still,45
saw,45
cloth,44
find,44
till,44
didn't,44
great,43
should,43
told,43
another,43
i've,43
girl,43
mrs,43
wouldn't,42
big,41
half,41
next,41
called,41
honor,40
hall,40
across,40
thing,40
almost,40
night,40
same,40
because,40
sat,39
young,39
under,39
felt,39
home,39
can't,39
enough,39
best,38
decorative,38
coming,37
people,37
couldn't,37
own,37
blue,36
man,36
might,36
keep,36
those,36
gone,36
rose,36
stood,35
dress,35
head,35
jack,34
leaf,34
looking,34
let,34
along,34
between,34
passed,34
letter,34
read,34
several,34
doctor,34
exclaimed,34
roses,34
anything,34
give,33
yes,33
years,32
soon,32
even,31
wanted,31
rest,31
want,31
everybody,31
school,30
heart,30
table,30
side,30
dream,30
mind,30
locusts,29
hair,29
moment,29
behind,29
i'd,29
taking,29
am,29
maybe,29
once,29
trying,29
box,29
question,29
beside,28
end,28
together,28
making,28
high,28
caught,28
held,28
ask,28
cake,28
four,27
glance,27
far,27
answer,27
pink,27
sure,27
ware,27
until,27
happy,27
laughed,27
that's,27
toward,27
part,27
world,27
stairs,27
waiting,26
better,26
few,26
kitty,26
smile,26
without,26
upon,26
family,26
happened,26
got,26
days,26
glad,26
red,26
pretty,26
conversation,26
words,26
feel,26
work,25
real,25
instead,25
she's,25
nothing,25
door,25
gate,25
kind,25
window,25
small,24
books,24
desert,24
friends,24
picture,24
voice,24
brought,24
princess,24
matter,24
afraid,24
full,24
early,24
interesting,24
light,24
everything,24
really,24
kept,24
children,24
page,23
talking,23
call,23
these,23
tree,23
lloyd's,23
sort,23
father,23
having,23
sent,23
library,23
stories,22
summer,22
forward,22
reached,22
laughing,22
feeling,22
bring,22
dear,22
yet,22
gold,22
nearly,22
hear,22
road,22
done,22
woman,22
bed,22
sitting,22
valley,22
love,22
help,22
second,21
sun,21
front,21
wait,21
written,21
guests,21
hat,21
tone,21
mr,21
being,21
train,21
opened,21
promised,20
standing,20
whole,20
betty's,20
since,20
godmother,20
cried,20
others,20
hour,20
used,20
lay,20
met,20
doing,20
carriage,20
started,20
miles,20
boys,20
sweet,20
name,20
stuart,20
volume,19
colonel's,19
open,19
play,19
feet,19
taken,19
pleasure,19
interest,19
followed,19
won't,19
you're,19
sight,19
slippers,19
tears,19
wide,19
she'd,19
mom,19
black,19
remember,19
wish,19
prince,19
mark,18
kentucky,18
christmas,18
aunt,18
chapter,18
bride,18
hours,18
stopped,18
steps,18
fell,18
dropped,18
already,18
friendship,18
cut,18
true,18
nobody,18
presently,18
child,18
begin,18
order,18
himself,18
added,18
believe,18
porch,18
wear,18
laugh,18
grown,18
ought,18
meet,18
evening,18
silver,18
lieutenant,18
girlie,18
show,18
brother,17
beeches,17
afternoon,17
garden,17
carried,17
watching,17
both,17
grass,17
fortune,17
seen,17
explained,17
care,17
certainly,17
hard,17
talk,17
low,17
line,17
perfect,17
often,17
seems,17
turn,17
watch,17
scene,17
boy,16
company,16
wigwam,16
land,16
word,16
decided,16
row,16
seat,16
against,16
fine,16
bit,16
try,16
stay,16
afterward,16
changed,16
paper,16
tried,16
mean,16
probably,16
seem,16
turquoise,16
clover,15
chair,15
tall,15
path,15
wild,15
set,15
waited,15
lovely,15
morrow,15
you'll,15
mother,15
else,15
ago,15
june,15
attention,15
lots,15
use,15
led,15
showed,15
holland,15
says,15
straight,15
entire,15
need,15
remembered,15
late,15
ready,15
beck,15
course,15
logan,15
lily,15
adventures,15
bridal,15
shilling,15
diamond,15
comes,14
impression,14
coon,14
fair,14
live,14
smiling,14
listen,14
isn't,14
myself,14
delightful,14
famous,14
song,14
telling,14
game,14
leaves,14
whispered,14
ahead,14
arms,14
makes,14
finally,14
wasn't,14
itself,14
alone,14
later,14
colored,14
silence,14
lunch,14
fit,14
men,14
avenue,14
awhile,14
thinking,14
music,14
sir,14
large,13
corner,13
hunt,13
may,13
busy,13
group,13
gay,13
past,13
dead,13
secret,13
also,13
year,13
fun,13
cat,13
trouble,13
you'd,13
short,13
walked,13
glass,13
papa,13
sound,13
grow,13
whose,13
given,13
whom,13
pleasant,13
country,13
wondered,13
occasion,13
talked,13
guest,13
suppose,13
elaine,13
boxes,13
happiness,13
paradise,13
trade,13
fellows,12
knights,12
harp,12
stork,12
tableau,12
stepped,12
writing,12
beauty,12
although,12
minutes,12
drawing,12
ran,12
trunk,12
top,12
poem,12
instant,12
hope,12
news,12
surprise,12
opinion,12
friend,12
she'll,12
run,12
shoulders,12
does,12
eugenia's,12
suddenly,12
known,12
intended,12
lost,12
grand,12
background,12
sister,12
hot,12
woods,12
step,12
they're,12
longer,12
search,12
age,12
nice,12
pilgrim,12
we'll,12
point,12
meant,12
square,12
howe,12
dog,12
vol,11
legend,11
author,11
fox,11
dreams,11
figure,11
stuck,11
finger,11
follow,11
whether,11
glanced,11
water,11
bound,11
repeated,11
ones,11
dora,11
bad,11
eye,11
share,11
fact,11
shoulder,11
write,11
among,11
bridesmaids,11
carry,11
idea,11
hundred,11
eager,11
quick,11
mamma,11
curiosity,11
bride's,11
invitation,11
walk,11
exclamation,11
five,11
fairy,11
married,11
wished,11
floor,11
fresh,11
bright,11
chance,11
explain,11
breakfast,11
fellow,11
breath,11
turning,11
haven't,11
playing,11
beads,11
colors,11
charm,11
there's,11
reading,11
shall,11
boat,11
series,10
above,10
third,10
leaning,10
drawn,10
whisper,10
change,10
spread,10
air,10
note,10
reason,10
spend,10
seated,10
themselves,10
arm,10
arrival,10
understand,10
york,10
color,10
slipped,10
enjoy,10
hardly,10
doesn't,10
ears,10
getting,10
difference,10
finding,10
stand,10
journey,10
hazel,10
promise,10
ride,10
forgot,10
sewing,10
expect,10
sometimes,10
finished,10
green,10
start,10
cause,10
laughter,10
deep,10
we've,10
tired,10
leave,10
lady,10
noticed,10
warning,10
slowly,10
ribbons,10
direction,10
soft,10
post,10
string,10
struck,10
laid,10
dumb,10
station,10
covered,10
immediately,10
lives,10
parting,10
tableaux,10
creek,10
giant,9
scissors,9
knight,9
thin,9
illustration,9
golden,9
filled,9
absorbed,9
scarcely,9
however,9
trees,9
except,9
following,9
swinging,9
dozen,9
orchard,9
lap,9
special,9
flutter,9
delight,9
elizabeth,9
actually,9
letters,9
somebody,9
forgotten,9
farther,9
perfectly,9
birthday,9
sorts,9
happen,9
different,9
mouth,9
during,9
catch,9
expected,9
awful,9
interrupted,9
demanded,9
interested,9
hold,9
simply,9
snake,9
veil,9
piece,9
neck,9
pick,9
audience,9
save,9
carefully,9
strong,9
cousin,9
knees,9
dark,9
threw,9
lips,9
lawn,9
amused,9
besides,9
sleep,9
lot,9
fall,9
awake,9
imagined,9
cover,9
hurt,9
hurried,9
putting,9
friendly,9
watched,9
queer,9
walking,9
indian,9
please,9
ring,9
memory,9
satin,9
doll,9
flashed,9
forget,9
appropriate,9
giving,9
beginning,9
fan,9
lights,9
