word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,23.83%,a,5.14%,her,4.67%
and,the,8.23%,she,3.68%,i,3.12%
the,little,2.01%,house,1.24%,old,1.21%
of,the,25.93%,a,6.13%,her,5.43%
little,colonel,14.29%,colonel's,5.13%,knights,3.66%
colonel,maid,9.43%,books,7.55%,series,5.66%
one,of,23.26%,who,3.99%,to,3.32%
in,the,30.06%,a,10.5%,her,8.98%
two,little,13.41%,three,9.76%,young,4.88%
house,party,38.82%,and,12.94%,she,4.71%
at,the,36.69%,her,8.28%,last,5.62%
a,little,3.49%,long,1.71%,few,1.38%
good,times,13.41%,time,10.98%,by,8.54%
times,when,10.0%,in,10.0%,she,8.33%
story,of,55.71%,that,5.71%,and,4.29%
that,she,15.21%,the,5.94%,i,5.0%
other,girls,7.25%,side,4.35%,and,2.9%
with,a,18.31%,the,13.91%,her,12.32%
her,to,3.9%,face,2.57%,and,2.43%
first,house,8.14%,time,6.98%,three,4.65%
i,was,6.74%,had,5.17%,don't,5.02%
something,blue,16.46%,to,16.46%,that,8.86%
it,was,19.1%,is,6.26%,would,4.28%
no,matter,5.22%,longer,4.35%,i,3.48%
to,the,10.36%,be,7.72%,her,5.03%
tell,you,27.78%,him,12.5%,me,12.5%
him,to,10.71%,and,7.14%,that,5.1%
who,had,20.41%,was,8.16%,are,5.44%
she,had,12.52%,was,12.08%,said,4.44%
he,was,10.17%,had,10.17%,said,5.71%
was,a,9.08%,the,6.73%,so,4.26%
his,eyes,3.93%,hat,3.93%,question,2.18%
long,time,6.82%,as,6.82%,and,5.68%
oh,i,21.88%,it,9.38%,it's,9.38%
all,the,25.91%,her,4.57%,that,4.27%
you,know,6.16%,are,4.37%,see,3.78%
girls,and,11.76%,were,4.71%,who,4.71%
your,own,9.76%,hands,4.88%,friendship,3.66%
through,the,54.43%,her,6.33%,a,5.06%
they,were,15.56%,had,11.28%,are,3.89%
down,the,32.21%,on,13.42%,to,8.72%
old,colonel,6.62%,colonel's,3.31%,time,3.31%
going,to,62.82%,away,5.13%,on,3.85%
on,the,41.2%,her,11.36%,a,5.57%
but,the,8.33%,she,8.0%,i,7.67%
betty,and,10.34%,had,6.21%,was,4.83%
seemed,to,35.29%,so,7.84%,the,7.84%
as,she,14.85%,if,10.15%,the,9.4%
their,way,3.05%,conversation,2.29%,fortunes,1.53%
out,of,28.1%,to,10.74%,on,6.61%
so,much,8.24%,that,7.39%,many,5.68%
around,the,24.0%,her,16.0%,to,6.67%
over,the,25.62%,her,16.88%,to,5.62%
book,and,9.8%,for,7.84%,which,5.88%
when,she,22.86%,the,11.43%,i,10.2%
come,to,16.22%,in,13.51%,on,5.41%
then,she,15.34%,he,6.82%,and,4.55%
would,be,26.64%,have,19.63%,not,5.61%
eyes,and,11.29%,she,6.45%,at,4.84%
or,the,17.65%,a,11.76%,not,3.92%
which,she,18.24%,the,8.11%,was,4.73%
its,owner,3.64%,head,3.64%,slow,1.82%
way,to,7.46%,the,6.72%,in,5.97%
there,was,32.02%,is,11.24%,were,7.3%
be,a,7.36%,the,5.45%,one,2.45%
from,the,35.71%,her,8.16%,one,4.59%
now,and,11.02%,that,5.51%,she,4.72%
an,old,10.33%,hour,5.43%,amused,4.35%
this,is,8.25%,time,6.19%,morning,6.19%
most,of,20.37%,beautiful,9.26%,interesting,7.41%
ever,heard,7.69%,since,5.77%,saw,5.77%
not,to,5.29%,only,4.81%,been,4.33%
