word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,good,3.04%,colors,2.61%,illustrated,2.17%
and,her,1.72%,it,0.99%,up,0.94%
the,of,11.47%,in,9.17%,to,5.27%
at,look,5.52%,her,2.62%,up,2.62%
of,one,3.95%,out,3.84%,story,2.2%
little,the,28.78%,a,19.56%,two,4.06%
colonel,little,70.91%,old,18.18%,the,9.09%
one,the,8.14%,in,4.75%,every,4.41%
in,her,2.21%,it,2.21%,up,1.95%
two,the,22.22%,one,9.88%,and,7.41%
house,the,55.17%,first,8.05%,tea,4.6%
party,house,55.0%,bridal,16.67%,the,16.67%
book,a,18.52%,the,16.67%,this,9.26%
good,a,23.46%,of,8.64%,the,6.17%
times,good,18.33%,several,16.67%,many,8.33%
story,the,37.14%,a,15.71%,little,8.57%
that,and,3.78%,so,2.66%,her,2.25%
a,in,8.24%,of,6.98%,with,6.91%
with,her,2.12%,up,2.12%,it,1.95%
her,in,7.78%,to,7.26%,of,6.82%
i,and,9.65%,that,7.59%,when,3.96%
something,of,12.82%,the,6.41%,be,5.13%
wedding,the,43.08%,a,12.31%,her,9.23%
no,was,14.16%,have,6.19%,is,6.19%
to,her,2.66%,going,2.46%,up,1.81%
tell,to,36.49%,don't,6.76%,and,5.41%
him,with,7.22%,to,6.19%,tell,4.64%
who,one,8.82%,girl,4.41%,and,3.68%
she,that,10.84%,as,5.86%,and,5.35%
was,it,20.8%,she,18.86%,there,6.48%
his,of,13.85%,in,13.42%,and,6.06%
joyce,and,12.88%,to,6.82%,with,4.55%
long,a,30.95%,the,19.05%,so,7.14%
oh,o,4.55%,and,4.55%,her,4.55%
you,if,6.8%,tell,4.0%,that,4.0%
girls,the,34.48%,you,5.75%,other,5.75%
your,with,7.32%,in,7.32%,for,6.1%
through,stuck,3.85%,it,3.85%,looking,3.85%
down,and,6.71%,went,4.03%,looked,4.03%
it,that,4.45%,of,3.07%,if,2.54%
old,the,31.33%,an,12.67%,of,4.0%
going,are,12.82%,is,11.54%,i'm,11.54%
on,down,4.4%,out,3.52%,passed,1.76%
but,her,4.67%,it,3.33%,one,1.33%
betty,and,17.36%,said,7.64%,as,3.47%
seemed,it,33.33%,they,3.92%,she,3.92%
as,just,5.46%,was,2.45%,it,2.45%
their,in,12.98%,of,9.92%,to,6.11%
out,find,3.35%,held,2.51%,came,2.51%
so,was,10.95%,is,3.17%,been,2.31%
around,all,7.69%,looked,5.13%,go,3.85%
over,all,6.75%,hands,3.07%,was,3.07%
when,and,4.82%,but,4.02%,times,2.41%
come,to,15.07%,had,9.59%,will,6.85%
then,and,16.76%,just,3.91%,it,3.35%
would,she,22.12%,it,19.71%,he,8.65%
eyes,her,36.67%,his,15.0%,the,5.0%
