word type,number
everything,9432
adult,1
hate,0
function,5228
normal,number
the,537
to,276
and,244
he,231
a,225
of,215
in,170
that,166
it,150
his,149
was,123
for,106
i,103
as,101
you,85
on,82
had,75
little,73
him,70
with,62
all,60
one,56
she,54
at,51
have,51
be,51
so,50
but,50
is,44
out,43
not,40
they,40
me,39
said,37
her,35
has,33
by,31
my,31
up,31
been,30
every,29
when,29
would,29
now,29
if,28
old,28
any,28
an,27
johnny,27
made,26
down,26
this,25
quilt,25
there,25
way,24
time,24
mother,23
know,23
them,23
were,23
what,22
boys,22
i'll,22
wheel,22
money,21
from,20
good,20
into,20
who,20
just,20
could,20
or,20
boy,19
your,19
back,19
chicky,19
than,18
over,18
long,18
work,17
get,17
some,17
which,17
more,17
will,16
do,16
no,16
business,16
i've,16
two,15
many,15
before,15
it's,15
day,15
well,15
i'm,15
only,14
after,14
make,14
judge,14
motto,14
three,13
own,13
marshall,13
say,13
think,13
like,13
too,13
then,13
never,13
colonel,12
each,12
man,12
face,12
pay,12
got,12
came,12
look,12
hand,12
last,12
about,12
go,12
found,12
he's,12
first,11
other,11
how,11
patchwork,11
away,11
we,11
mrs,11
thought,11
another,11
such,11
done,11
are,11
himself,11
take,11
school,10
bicycle,10
dear,10
word,10
always,10
home,10
put,10
several,10
called,10
their,10
right,10
come,10
window,10
set,9
illustration,9
through,9
must,9
give,9
week,9
around,9
morning,9
answered,9
life,9
might,9
here,9
oh,9
much,9
thing,9
ab,9
house,8
book,8
big,8
corner,8
page,8
eye,8
read,8
fellow,8
ever,8
since,8
new,8
keep,8
blocks,8
under,8
eyes,8
going,8
heard,8
should,8
night,8
nearly,8
whole,8
knew,8
kept,8
town,8
days,8
summer,8
abbot,8
office,8
jack,7
built,7
fellows,7
series,7
along,7
won,7
see,7
possible,7
can,7
piece,7
anything,7
something,7
because,7
there's,7
couldn't,7
head,7
very,7
best,7
seemed,7
gave,7
hour,7
told,7
its,7
years,7
stood,7
looking,7
somebody,7
we'll,7
where,7
bible,7
name,7
colonel's,6
times,6
waiting,6
son,6
met,6
garden,6
stopped,6
started,6
off,6
i'd,6
family,6
hard,6
without,6
want,6
things,6
year,6
worked,6
ready,6
enough,6
mr,6
didn't,6
answer,6
still,6
door,6
coming,6
promise,6
gold,6
place,6
saying,6
glad,6
took,6
that's,6
those,6
wouldn't,6
parker,6
stark,6
brothers,6
choice,6
grocer,6
faithful,6
people,6
christmas,5
promised,5
keeping,5
heart,5
five,5
making,5
foot,5
rob,5
doing,5
buy,5
gone,5
until,5
great,5
ten,5
did,5
evening,5
tell,5
sat,5
wait,5
mother's,5
sitting,5
secret,5
went,5
everybody,5
exclaimed,5
why,5
part,5
began,5
don't,5
cried,5
while,5
ask,5
our,5
room,5
open,5
help,5
brought,5
cold,5
moment,5
morgan,5
fly,5
paper,5
uncle,5
better,5
sell,5
kind,5
prize,5
nothing,5
parker's,5
luke,5
everything,5
illustrated,4
brother,4
story,4
aunt,4
company,4
street,4
serious,4
puckered,4
impression,4
boyhood,4
john,4
familiar,4
faded,4
longed,4
soon,4
hasn't,4
winter,4
offered,4
rifle,4
getting,4
seven,4
wanted,4
evenings,4
precious,4
fingers,4
saturday,4
hundred,4
yes,4
barn,4
sight,4
feet,4
later,4
can't,4
least,4
finally,4
full,4
bring,4
course,4
few,4
taken,4
box,4
most,4
asked,4
again,4
across,4
verse,4
us,4
table,4
sent,4
find,4
turned,4
fine,4
upon,4
kitchen,4
hot,4
district,4
messenger,4
willing,4
myself,4
vegetables,4
offer,4
men,4
druggist,4
bet,4
line,4
rather,4
loving,4
favour,4
also,4
papers,4
he'll,4
annie,3
mark,3
vol,3
cloth,3
giant,3
scissors,3
knights,3
kentucky,3
mary,3
above,3
second,3
small,3
anxious,3
frown,3
squares,3
repeated,3
wild,3
outside,3
tease,3
pocket,3
cent,3
father,3
chores,3
order,3
neighbourhood,3
whether,3
wants,3
johnny's,3
childish,3
thread,3
rug,3
begin,3
fifty,3
half,3
dollar,3
signed,3
died,3
smiling,3
hands,3
laugh,3
fell,3
saw,3
hear,3
finished,3
tumbling,3
weeks,3
tired,3
change,3
dropped,3
wondering,3
care,3
store,3
disappointed,3
felt,3
arms,3
stairs,3
proud,3
next,3
break,3
bed,3
caught,3
marshall's,3
dog,3
fun,3
once,3
let,3
softly,3
same,3
alone,3
feeling,3
happy,3
toward,3
college,3
young,3
need,3
class,3
shall,3
squills,3
parsonage,3
dinner,3
blanket,3
case,3
does,3
shoulder,3
known,3
these,3
fishing,3
months,3
lying,3
beautiful,3
walk,3
fear,3
laughed,3
between,3
against,3
show,3
looked,3
selling,3
cottage,3
penny,3
hope,3
lived,3
seem,3
win,3
text,3
faithfully,3
gentleman,3
awhile,3
chose,3
stable,3
feel,3
anybody,3
verses,3
stopping,3
silver,3
real,3
end,3
use,3
bank,3
rich,3
summer's,3
road,3
customers,3
