word type,number
everything,18919
adult,5
hate,0
function,10844
normal,number
the,1057
and,646
to,531
i,463
a,412
of,357
that,335
in,324
was,312
it,275
he,237
her,236
she,181
as,177
had,176
on,163
me,155
for,146
with,142
his,142
little,139
you,139
my,131
so,110
up,107
but,106
him,104
at,102
phil,98
have,92
they,90
when,89
all,83
out,82
one,80
be,79
would,77
old,75
not,73
could,73
down,71
were,68
we,64
then,63
is,62
said,58
what,57
there,57
if,56
been,54
back,54
patricia,53
into,52
by,51
over,51
home,50
room,48
around,48
after,48
stuart,47
from,45
them,45
do,44
an,43
day,43
dago,42
see,42
until,41
time,41
long,40
go,40
never,39
us,38
came,38
more,38
boys,37
how,37
miss,37
like,37
away,36
before,36
very,35
oh,34
some,33
any,33
their,32
did,32
way,32
aunt,32
first,31
great,31
make,31
don't,31
made,30
monkey,30
about,30
than,30
only,29
this,28
children,28
which,28
or,28
are,27
much,27
no,27
take,27
i'm,27
went,26
good,26
thought,26
eyes,26
who,25
always,25
off,25
your,25
heard,24
ring,24
i'll,24
doctor,24
can,24
house,23
things,23
under,23
know,23
think,23
just,23
such,23
say,23
big,22
every,22
come,22
box,22
cried,21
looked,21
too,21
gave,21
where,21
seemed,21
matches,21
head,21
began,21
hands,20
other,20
tell,20
face,20
didn't,20
last,19
now,19
morning,19
put,19
still,19
sat,18
am,18
has,18
stairs,18
knew,18
next,18
something,18
again,18
through,18
soon,18
well,17
tail,17
done,17
might,17
its,17
must,17
each,17
understand,17
will,17
music,17
blue,16
found,16
voice,16
place,16
nearly,16
gone,15
window,15
get,15
door,15
arms,15
half,15
thing,15
father,15
took,15
street,15
told,14
mirror,14
ever,14
remember,14
couldn't,14
sometimes,14
anything,14
poor,14
night,14
held,14
everything,14
here,13
wouldn't,13
man,13
called,13
enough,13
even,13
turned,13
look,13
going,13
chair,13
fire,13
followed,12
monkeys,12
table,12
myself,12
awhile,12
our,12
give,12
garden,12
hard,12
sound,12
want,12
saw,12
keep,12
sim,12
we'll,12
warm,12
left,11
behind,11
being,11
better,11
nothing,11
maybe,11
love,11
sent,11
climbed,11
sorry,11
while,11
without,11
dark,11
stop,11
against,11
stopped,11
hall,11
mean,11
hear,11
started,11
crying,11
red,11
story,10
illustration,10
bell,10
school,10
looking,10
used,10
life,10
part,10
many,10
glad,10
lost,10
gold,10
almost,10
another,10
should,10
running,10
bed,10
ran,10
sight,10
world,10
own,10
front,10
stand,10
cold,10
rope,9
brother,9
gate,9
two,9
reached,9
alley,9
open,9
those,9
frightened,9
given,9
high,9
beside,9
kept,9
why,9
once,9
trouble,9
because,9
grandfather,9
boy,9
middle,9
floor,9
brought,9
woman,9
trying,9
mouth,9
walked,9
few,9
family,9
papa,9
best,8
fellow,8
chapter,8
sitting,8
hot,8
between,8
find,8
carried,8
gentleman,8
carriage,8
show,8
money,8
coming,8
father's,8
toward,8
help,8
across,8
top,8
afraid,8
curls,8
alone,8
cry,8
really,8
it's,8
although,8
child,8
whole,8
powder,8
asked,8
dragon,8
care,8
attic,7
talking,7
slipped,7
bright,7
you'll,7
course,7
can't,7
week,7
sit,7
hour,7
doll,7
tree,7
eye,7
people,7
along,7
longer,7
happened,7
white,7
full,7
sun,7
lady,7
wide,7
mischief,7
getting,7
hid,7
quiet,7
dropped,7
car,7
feel,7
step,7
himself,7
moment,7
drew,7
feet,7
fast,7
shoulder,7
making,7
rest,7
side,7
tears,7
swung,7
below,7
forth,7
ought,7
got,7
hand,7
leave,7
shot,7
opened,7
dear,7
carnelian,7
dollar,7
run,7
fountain,6
funeral,6
taken,6
among,6
since,6
glass,6
wanted,6
seem,6
answer,6
talk,6
comfort,6
silver,6
matter,6
may,6
beautiful,6
most,6
shook,6
same,6
known,6
mother,6
faces,6
gray,6
light,6
jacket,6
shrieked,6
minutes,6
sleep,6
above,6
shoes,6
kind,6
sudden,6
bump,6
black,6
war,6
yes,6
answered,6
passed,6
neck,6
rocking,6
stood,6
hurt,6
follow,6
dead,6
veil,6
band,6
hadn't,6
new,6
let,6
baby,6
begged,6
end,6
hole,6
dining,6
sweet,6
organ,6
dance,6
sister,6
summer,6
tired,6
fellows,5
rang,5
colonel,5
torment,5
page,5
company,5
gardener,5
folded,5
lap,5
cushion,5
everybody,5
swing,5
seen,5
vines,5
shall,5
yourself,5
dress,5
grew,5
wrong,5
beast,5
wise,5
sure,5
near,5
california,5
flowers,5
read,5
silence,5
carry,5
gathered,5
try,5
bear,5
possible,5
both,5
fat,5
clothes,5
stayed,5
playing,5
low,5
drawn,5
procession,5
far,5
lid,5
tom,5
imagine,5
attention,5
corner,5
curtains,5
jar,5
struck,5
together,5
ask,5
nobody,5
several,5
mind,5
lived,5
chance,5
covered,5
yet,5
word,5
that's,5
cook,5
eat,5
sick,5
three,5
order,5
soft,5
heart,5
silk,5
fashioned,5
times,5
except,5
bad,5
deep,5
watched,5
bottle,5
hold,5
either,5
does,5
grandfather's,5
hugged,5
sugar,5
plums,5
picture,5
slowly,5
there's,5
breath,5
bureau,5
cage,5
breakfast,5
you're,5
isn't,5
curbstone,5
cruel,5
stay,5
pantry,5
batter,5
streets,5
town,5
barrow,5
mrs,5
happy,5
year,5
library,4
annie,4
swinging,4
jerking,4
whose,4
fairly,4
easy,4
lightning,4
rod,4
these,4
tried,4
break,4
able,4
days,4
past,4
dog,4
wonder,4
wild,4
grow,4
nose,4
quietly,4
worse,4
ones,4
rose,4
goldfish,4
roses,4
young,4
lay,4
grown,4
excitement,4
besides,4
wind,4
trick,4
hers,4
round,4
awake,4
hair,4
cheek,4
sobbed,4
cut,4
taking,4
bring,4
shawl,4
send,4
steps,4
piece,4
baggage,4
inside,4
escape,4
pet,4
somewhere,4
instant,4
fright,4
rude,4
miserable,4
else,4
kissed,4
caught,4
right,4
eagle,4
wish,4
words,4
skirts,4
i'd,4
williams,4
ears,4
japan,4
arm,4
ball,4
ground,4
bird,4
allowed,4
remembered,4
whenever,4
short,4
least,4
crape,4
walk,4
pinned,4
afternoon,4
scarcely,4
bonnet,4
free,4
minute,4
doctor's,4
saying,4
pardon,4
believe,4
tent,4
ready,4
clinging,4
handkerchief,4
awful,4
often,4
waited,4
badly,4
picked,4
use,4
age,4
moved,4
visit,4
china,4
rubber,4
buckshot,4
portrait,4
banister,4
name,4
waiting,4
beat,4
closer,4
friend,4
she's,4
reach,4
supper,4
work,4
muffin,4
umbrella,4
milk,4
wheelbarrow,4
start,4
songs,4
blow,4
feather,4
live,4
son,4
donald,4
david,3
giant,3
monday,3
stiffened,3
horror,3
empty,3
voices,3
crossing,3
bye,3
suppose,3
parlour,3
shut,3
tangled,3
deaf,3
i've,3
whip,3
animal,3
play,3
taught,3
wear,3
hat,3
expected,3
entirely,3
policeman,3
confused,3
master,3
pistol,3
stupid,3
shivers,3
wished,3
learned,3
paws,3
belongs,3
branches,3
animals,3
comfortable,3
bought,3
add,3
trees,3
ophir,3
tiny,3
hammock,3
pretty,3
fall,3
upon,3
anywhere,3
state,3
strong,3
burned,3
knowing,3
friendly,3
share,3
tight,3
five,3
reaching,3
noise,3
led,3
outside,3
slow,3
bandbox,3
holes,3
idea,3
boxes,3
sleeping,3
rage,3
sulky,3
porter,3
berth,3
aisle,3
gently,3
faint,3
train,3
feeling,3
bruised,3
dizzy,3
windows,3
sprang,3
catch,3
cause,3
climbing,3
lot,3
tall,3
bunches,3
air,3
exclaimed,3
pleasure,3
gasped,3
loss,3
grieved,3
perched,3
drop,3
fact,3
scared,3
handful,3
tobacco,3
silly,3
second,3
solemnly,3
tricks,3
land,3
hurry,3
laundry,3
doubt,3
eaten,3
escaped,3
turning,3
dragged,3
tightly,3
sobbing,3
neighbourhood,3
rested,3
dirty,3
roof,3
bit,3
troubled,3
angry,3
cannot,3
wrinkles,3
tear,3
growing,3
camp,3
mud,3
hit,3
clean,3
worked,3
won't,3
bringing,3
smell,3
boy's,3
speech,3
felt,3
upset,3
showed,3
wasn't,3
stories,3
cabinet,3
lying,3
accident,3
truly,3
loud,3
strike,3
wash,3
pulled,3
holding,3
jumped,3
tempted,3
jewel,3
case,3
girl,3
string,3
faded,3
mocking,3
hanging,3
dick,3
calling,3
finished,3
determined,3
feathers,3
screamed,3
dragon's,3
ugly,3
scattered,3
trembling,3
pat,3
happen,3
slid,3
crowd,3
sunshine,3
pushing,3
notes,3
dancing,3
tied,3
turn,3
anybody,3
iron,3
shelf,3
crock,3
rather,3
walking,3
speaking,3
ten,3
played,3
sing,3
beggar,3
trundled,3
cup,3
glance,3
knees,3
shop,3
sob,3
bare,3
forehead,3
firelight,3
he'll,3
kiss,3
rub,3
doesn't,3
neatness,3
colonel's,3
produced,2
team,2
ole,2
mammy's,2
scissors,2
knights,2
kentucky,2
boston,2
l,2
c,2
monk,2
boyhood,2
memories,2
ii,2
tuesday,2
iii,2
wednesday,2
iv,2
tale,2
thursday,2
v,2
friday,2
vi,2
saturday,2
vii,2
sunday,2
viii,2
bids,2
farewell,2
fished,2
lustily,2
fortune,2
kindergarten,2
thinks,2
climb,2
wanting,2
zoo,2
forests,2
hug,2
intend,2
exciting,2
experiences,2
interesting,2
begin,2
skip,2
circus,2
unhappy,2
men,2
ship,2
sold,2
makes,2
quick,2
learn,2
ways,2
human,2
drive,2
feed,2
folk,2
different,2
arrest,2
soldier,2
pipe,2
shout,2
terrible,2
terrified,2
jungles,2
forest,2
living,2
hang,2
wood,2
ear,2
slip,2
fit,2
painful,2
subject,2
business,2
winter,2
west,2
private,2
dozen,2
walled,2
splashing,2
falling,2
leaves,2
lie,2
marble,2
mermaid,2
wife,2
talked,2
bees,2
listen,2
difference,2
pink,2
blew,2
pepper,2
neither,2
kitten,2
killed,2
feeding,2
peanuts,2
chubby,2
curled,2
heads,2
rings,2
restless,2
dimpled,2
torn,2
complained,2
means,2
they're,2
runs,2
wandered,2
wiping,2
sleeves,2
tones,2
threw,2
blinds,2
mountain,2
evening,2
somebody,2
strap,2
journey,2
amuse,2
feelings,2
realised,2
chattered,2
paid,2
obliged,2
settle,2
changed,2
settled,2
carefully,2
stroked,2
cautiously,2
drawing,2
aside,2
grinned,2
funny,2
freedom,2
pillow,2
slept,2
soundly,2
fearful,2
crash,2
sore,2
express,2
steep,2
sweeping,2
scolded,2
swore,2
aching,2
conductor,2
discovered,2
centre,2
herself,2
deal,2
severe,2
prim,2
rarely,2
sharp,2
savagely,2
dollars,2
pests,2
certainly,2
lads,2
eaves,2
shutters,2
leaning,2
dusk,2
backed,2
closed,2
sill,2
possibly,2
disturbed,2
streaked,2
satisfied,2
letting,2
pleased,2
ate,2
praised,2
offered,2
ebony,2
paper,2
weight,2
carved,2
token,2
forgotten,2
drove,2
pitiful,2
creature,2
pole,2
chief,2
mourner,2
dressed,2
belonged,2
tripped,2
sputtered,2
choked,2
thick,2
breathe,2
lead,2
harp,2
wagon,2
coffin,2
large,2
brim,2
tips,2
fond,2
borrowed,2
neighbours,2
mound,2
grave,2
enjoyed,2
march,2
lift,2
tore,2
heap,2
bits,2
early,2
autumn,2
respect,2
month,2
later,2
block,2
fifty,2
cents,2
excited,2
choking,2
explained,2
unkind,2
putting,2
whipping,2
solemn,2
beg,2
keeps,2
whistling,2
let's,2
claim,2
divided,2
fashion,2
nerves,2
