word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,6.4%,i,3.74%,then,2.96%
the,little,2.94%,boys,2.28%,old,2.28%
was,a,10.61%,so,6.11%,the,3.54%
of,the,30.4%,a,4.83%,her,4.26%
it,was,24.09%,is,5.47%,would,5.11%
her,she,2.97%,for,2.97%,hands,2.54%
on,the,36.88%,a,6.88%,his,5.0%
that,i,17.72%,he,5.71%,it,5.11%
little,colonel,4.13%,beast,4.13%,fellow,4.13%
to,the,10.65%,be,4.56%,go,3.42%
with,the,18.44%,a,16.31%,her,8.51%
one,of,20.25%,day,6.33%,was,3.8%
is,the,12.9%,a,8.06%,for,6.45%
i,was,10.87%,had,6.3%,could,5.43%
what,dago,14.04%,was,12.28%,had,7.02%
said,to,13.79%,that,8.62%,i,8.62%
out,of,36.59%,the,7.32%,to,6.1%
were,to,7.35%,all,4.41%,allowed,4.41%
in,the,29.81%,a,11.49%,her,6.52%
she,was,14.92%,had,9.39%,said,3.87%
at,the,27.27%,last,8.08%,first,7.07%
down,the,30.99%,on,15.49%,to,5.63%
you,can,6.47%,and,5.76%,are,5.76%
all,the,20.48%,day,6.02%,his,6.02%
we,had,12.5%,reached,7.81%,were,6.25%
old,fashioned,6.67%,lady,6.67%,home,5.33%
have,been,19.57%,to,8.7%,done,5.43%
been,a,9.43%,in,5.66%,taken,3.77%
up,the,14.02%,in,9.35%,and,8.41%
a,long,3.67%,little,3.42%,big,3.18%
they,were,12.22%,had,12.22%,are,6.67%
for,the,15.28%,a,11.81%,me,8.33%
me,to,9.03%,and,8.39%,in,5.81%
would,be,25.97%,have,16.88%,not,12.99%
be,a,13.92%,better,5.06%,sure,2.53%
patricia,was,9.43%,i'm,5.66%,had,5.66%
if,i,21.43%,you,16.07%,he,12.5%
back,to,25.93%,and,12.96%,the,9.26%
but,i,12.26%,the,7.55%,he,6.6%
had,been,10.8%,a,5.11%,the,3.98%
so,i,10.0%,much,4.55%,that,4.55%
my,little,5.34%,box,3.82%,hands,3.82%
there,was,35.09%,were,10.53%,with,5.26%
not,see,6.85%,to,5.48%,be,4.11%
could,have,13.7%,not,12.33%,see,8.22%
as,if,9.77%,the,8.62%,i,7.47%
his,father,7.75%,head,5.63%,father's,4.93%
when,i,17.05%,the,15.91%,he,13.64%
then,he,20.63%,i,19.05%,she,7.94%
he,had,12.24%,was,9.28%,said,9.28%
him,and,13.46%,to,4.81%,a,4.81%
phil,was,8.16%,and,7.14%,had,6.12%
