word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,of,10.24%,in,9.19%,on,5.65%
at,look,5.94%,looked,3.96%,looking,2.97%
was,it,21.64%,i,16.39%,she,8.85%
of,out,8.43%,one,4.49%,middle,2.53%
it,that,6.18%,of,5.09%,in,2.91%
her,in,8.94%,to,6.38%,of,6.38%
and,him,2.21%,me,2.05%,up,1.42%
on,down,6.75%,monkey,4.91%,come,3.68%
that,and,4.19%,know,1.8%,say,1.8%
little,the,22.3%,a,10.07%,my,5.04%
to,seemed,3.43%,me,2.67%,back,2.67%
with,me,3.55%,stiffened,2.13%,there,2.13%
one,in,10.13%,no,5.06%,the,5.06%
is,it,24.19%,that,11.29%,he,6.45%
i,that,12.94%,and,5.26%,when,3.29%
what,see,10.53%,know,8.77%,of,5.26%
said,he,38.6%,she,12.28%,dago,7.02%
out,her,3.66%,came,3.66%,was,3.66%
were,they,16.18%,there,8.82%,we,5.88%
in,up,3.11%,me,2.8%,come,1.24%
down,sat,11.27%,came,5.63%,and,4.23%
you,if,6.57%,do,5.84%,that,5.84%
she,that,8.52%,as,6.25%,when,4.55%
we,that,10.94%,when,9.38%,as,7.81%
old,the,32.43%,an,13.51%,her,6.76%
have,i,17.39%,would,14.13%,could,10.87%
been,had,35.19%,have,33.33%,has,14.81%
up,me,6.54%,climbed,4.67%,looked,2.8%
a,in,8.98%,was,8.01%,with,5.58%
they,that,11.11%,when,10.0%,as,5.56%
for,her,4.79%,me,3.42%,as,2.74%
me,to,8.39%,for,7.74%,of,5.81%
would,it,18.18%,he,14.29%,i,10.39%
be,to,30.38%,would,25.32%,not,3.8%
patricia,miss,52.83%,aunt,43.4%,nine,1.89%
if,as,30.91%,too,3.64%,see,3.64%
all,was,4.88%,and,4.88%,were,3.66%
back,go,7.41%,her,5.56%,sent,3.7%
into,up,7.69%,getting,5.77%,me,5.77%
but,him,2.86%,day,2.86%,first,2.86%
had,i,16.76%,he,16.76%,she,9.83%
so,was,17.27%,me,3.64%,it,2.73%
my,in,16.03%,of,6.87%,over,5.34%
there,and,8.77%,that,5.26%,then,3.51%
not,did,17.81%,would,13.7%,could,12.33%
could,i,34.72%,he,13.89%,she,8.33%
as,soon,5.75%,me,3.45%,it,2.87%
his,in,9.93%,of,7.8%,on,5.67%
when,but,4.55%,them,3.41%,dark,3.41%
then,and,30.65%,it,3.23%,him,3.23%
he,that,8.02%,then,5.49%,as,5.49%
him,to,5.77%,of,4.81%,with,4.81%
phil,and,9.18%,to,6.12%,that,6.12%
over,hands,5.88%,all,5.88%,was,3.92%
