word type,number
everything,31407
adult,0
hate,1
function,17652
normal,number
the,1930
and,975
to,929
a,764
of,597
in,547
it,472
that,463
he,413
was,403
her,318
his,315
had,311
she,309
you,273
for,269
as,264
i,248
with,236
on,229
they,224
be,215
little,207
so,183
him,172
but,171
up,154
is,153
said,152
have,151
all,143
one,142
not,138
at,134
were,133
from,131
when,129
out,126
them,125
we,121
if,115
been,114
there,112
their,105
would,100
could,97
boys,96
like,96
by,94
time,93
then,92
down,92
me,91
back,89
old,87
an,86
virginia,84
what,82
this,82
came,77
into,77
some,72
over,72
do,72
about,70
now,69
who,68
will,67
around,66
no,64
long,63
room,60
way,60
before,58
every,57
made,57
my,57
or,57
just,56
too,55
here,55
miss,55
face,55
how,54
oh,53
can,53
know,52
after,51
man,51
did,51
two,49
go,49
away,49
get,49
come,48
than,47
are,47
much,46
never,46
bear,45
its,45
only,45
day,44
where,44
house,44
such,43
home,43
don't,43
i'll,43
your,43
night,43
good,42
asked,42
something,42
more,41
which,41
until,41
white,40
well,40
first,40
us,39
any,39
through,39
again,38
aunt,38
went,38
hand,37
looked,37
grandmother,36
see,36
eyes,36
ginger,35
while,35
answered,34
big,34
make,34
seemed,33
take,33
tell,33
keep,33
want,33
door,32
think,32
great,32
cried,32
across,31
other,31
enough,30
behind,30
put,30
thought,30
colonel,30
fire,29
has,29
place,29
mrs,29
very,29
began,29
always,28
left,28
ever,28
give,28
each,28
found,27
exclaimed,27
off,27
am,27
say,27
even,26
things,26
look,26
might,26
anything,26
red,25
train,25
himself,25
it's,25
children,25
right,25
arms,25
saw,25
head,24
because,24
told,24
dark,24
hall,24
being,23
last,23
own,23
mother,23
heard,23
going,23
soon,23
child,23
half,22
looking,22
wouldn't,22
papa,22
professor,22
should,21
many,20
nobody,20
still,20
didn't,20
father,20
i'm,20
thing,20
maybe,20
part,20
our,20
cabin,20
spring,20
stood,20
took,20
woods,20
must,20
barney,20
run,19
money,19
knew,19
days,19
isn't,19
done,19
called,19
knight,19
felt,18
followed,18
far,18
yes,18
better,18
turned,18
moment,18
poor,18
let,18
barn,18
we'll,18
once,18
stairs,18
beautiful,18
wrong,18
side,17
reached,17
waiting,17
hands,17
same,17
find,17
nothing,17
life,17
heart,17
why,17
blue,17
table,17
coming,17
knights,16
cold,16
track,16
next,16
can't,16
there's,16
several,16
sat,16
seen,16
story,16
another,16
ask,16
i've,16
help,16
hair,16
light,16
may,16
indian,15
kept,15
hour,15
city,15
pretty,15
i'd,15
sent,15
beside,15
under,15
few,15
tramp,15
sight,15
end,15
short,15
possible,15
king,15
dinner,15
ought,15
comes,15
valentine,14
benefit,14
afternoon,14
window,14
warm,14
against,14
morning,14
sir,14
hard,14
these,14
voice,14
got,14
wish,14
taken,14
couldn't,14
dress,14
hear,14
car,14
herself,14
answer,14
flower,14
show,13
country,13
winter,13
nearly,13
gone,13
sure,13
girl,13
times,13
lay,13
minutes,13
boy,13
live,13
stay,13
hay,13
upon,13
new,13
that's,13
mr,13
wild,13
play,13
suit,13
sweet,13
hearts,13
valley,12
work,12
almost,12
fair,12
those,12
full,12
won't,12
gave,12
seem,12
together,12
soft,12
feet,12
world,12
everything,12
pile,12
smile,12
bed,12
shall,12
set,12
kentucky,11
sound,11
since,11
bring,11
wait,11
feel,11
till,11
held,11
along,11
both,11
toward,11
faces,11
bit,11
read,11
real,11
doesn't,11
presently,11
leading,11
passed,11
send,11
else,11
people,11
caught,11
ran,11
lovely,11
let's,11
having,11
shields,11
noble,11
flag,11
open,10
kind,10
call,10
meet,10
brother,10
tied,10
three,10
mind,10
four,10
leave,10
most,10
fellow,10
really,10
walked,10
front,10
care,10
turn,10
promise,10
tears,10
dear,10
box,10
queen,10
later,10
brought,10
boss,10
minute,10
picture,10
whole,10
paint,10
rose,9
chapter,9
twenty,9
years,9
running,9
station,9
lived,9
she's,9
valentines,9
air,9
sprang,9
low,9
afraid,9
we've,9
he's,9
eat,9
grandmother's,9
awful,9
seems,9
carry,9
matter,9
virginia's,9
evening,9
beginning,9
stopped,9
best,9
fort,9
mamma,9
happy,9
dressed,9
bright,9
quick,9
remember,9
smoke,9
green,9
section,9
party,8
known,8
hungry,8
glad,8
depot,8
breath,8
hurry,8
corner,8
week,8
you'd,8
slowly,8
em,8
dudley,8
pillow,8
gold,8
believe,8
without,8
queer,8
clothes,8
coat,8
shoulders,8
watching,8
young,8
foot,8
hours,8
man's,8
near,8
course,8
hadn't,8
friends,8
happened,8
sleep,8
servants,8
cottage,8
everybody,8
moved,8
water,8
ready,8
daphne,8
forgot,8
whistle,8
pony,8
allowed,8
summer,8
whose,8
entertainment,8
library,8
showed,8
tiny,8
unc,8
henry,8
carried,8
frightened,8
mean,8
pie,8
beauty,8
distance,8
shoulder,8
deep,8
fence,8
talking,8
knighthood,8
switch,8
tree,8
game,7
illustration,7
hide,7
pond,7
stove,7
handsome,7
scarcely,7
hill,7
bare,7
although,7
themselves,7
lady,7
thinking,7
army,7
post,7
cuba,7
suppose,7
need,7
hold,7
move,7
dog,7
neck,7
rest,7
sorry,7
swept,7
shut,7
given,7
between,7
clean,7
gate,7
growing,7
drew,7
you'll,7
name,7
used,7
interested,7
promised,7
exactly,7
late,7
started,7
morrow,7
sounded,7
rather,7
cut,7
school,7
gay,7
chance,7
coloured,7
rug,7
opened,7
pink,7
you've,7
wore,7
talk,7
buy,7
wear,7
order,7
lot,7
pleasure,7
dollars,7
safe,7
high,7
colour,7
costume,7
velvet,7
playing,7
reach,7
living,7
grew,7
spent,7
garden,7
dropped,7
slums,7
sydney,7
second,7
year,7
strong,7
tableaux,7
bond,7
pin,7
rescue,7
plan,6
snow,6
except,6
hung,6
wind,6
instant,6
shook,6
ticket,6
chair,6
master,6
family,6
ten,6
wife,6
finally,6
cap,6
watch,6
early,6
sort,6
expression,6
dirty,6
animal,6
close,6
save,6
lots,6
ride,6
turning,6
putting,6
wanted,6
