word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,39.13%,a,7.61%,his,4.35%
and,the,9.63%,then,2.96%,a,2.75%
the,boys,3.8%,little,3.34%,man,1.72%
little,colonel,12.75%,while,3.43%,girl,2.94%
of,the,28.18%,a,5.15%,his,3.44%
to,the,9.76%,be,7.02%,do,2.19%
i,am,10.83%,don't,5.83%,have,4.58%
a,little,5.69%,long,1.98%,moment,1.98%
boys,had,9.38%,who,6.25%,were,6.25%
it,was,20.56%,is,8.23%,would,3.68%
was,a,9.32%,the,7.81%,so,4.53%
that,the,7.61%,he,6.71%,she,6.26%
had,been,18.18%,to,4.22%,a,3.57%
in,the,36.75%,a,8.58%,his,5.97%
every,one,7.02%,day,7.02%,time,7.02%
them,and,7.26%,to,6.45%,in,4.84%
but,the,12.12%,i,7.27%,she,6.06%
there,was,33.33%,is,9.91%,were,7.21%
were,all,4.51%,still,3.01%,almost,3.01%
not,to,7.25%,have,3.62%,know,3.62%
so,much,9.34%,many,5.49%,that,5.49%
for,the,15.83%,a,11.97%,him,5.79%
all,the,21.99%,that,9.93%,right,4.26%
their,grandmother,3.81%,faces,3.81%,father,2.86%
be,a,10.85%,the,4.72%,so,4.25%
out,of,26.19%,to,8.73%,at,5.56%
long,time,6.35%,enough,4.76%,to,4.76%
now,and,13.43%,for,5.97%,to,5.97%
then,he,11.96%,the,9.78%,they,6.52%
when,the,21.85%,he,14.29%,she,10.92%
an,old,11.76%,hour,9.41%,awful,5.88%
up,the,13.25%,to,11.26%,and,11.26%
from,the,33.85%,his,8.46%,a,6.92%
some,one,11.11%,time,5.56%,day,5.56%
on,the,37.72%,his,8.33%,a,5.26%
with,a,20.6%,the,11.59%,his,6.87%
down,the,23.33%,to,18.89%,on,8.89%
too,and,5.56%,dark,5.56%,that,3.7%
room,and,16.67%,to,5.0%,a,5.0%
been,so,7.96%,a,6.19%,in,4.42%
before,the,17.54%,it,8.77%,she,8.77%
came,in,15.79%,out,9.21%,back,9.21%
they,had,15.38%,were,14.48%,could,4.52%
as,the,10.24%,he,9.06%,if,8.27%
at,the,38.17%,once,6.11%,her,6.11%
what,a,9.88%,do,7.41%,he,6.17%
who,had,30.88%,was,13.24%,would,4.41%
he,had,11.38%,was,11.14%,said,7.26%
way,to,11.67%,he,8.33%,home,5.0%
made,him,14.04%,a,8.77%,them,7.02%
his,face,3.5%,head,2.87%,grandmother,2.55%
him,to,10.53%,and,5.85%,a,4.68%
into,the,43.42%,a,13.16%,her,9.21%
said,to,7.84%,the,6.86%,that,6.86%
you,know,5.95%,to,4.83%,can,4.09%
have,been,12.58%,a,9.27%,to,8.61%
over,the,24.64%,her,10.14%,to,7.25%
would,be,25.0%,have,14.0%,keep,6.0%
if,you,19.3%,he,14.04%,we,12.28%
will,be,28.79%,you,4.55%,say,4.55%
here,in,11.11%,he,5.56%,said,5.56%
old,professor,8.24%,lady,3.53%,colonel,3.53%
her,eyes,2.52%,with,2.52%,room,2.2%
know,what,9.62%,it,5.77%,how,5.77%
about,it,23.81%,the,22.22%,that,4.76%
just,then,14.55%,as,14.55%,a,9.09%
can,be,11.32%,tell,7.55%,have,7.55%
around,the,35.94%,her,9.38%,with,7.81%
like,a,30.11%,the,11.83%,to,7.53%
this,time,8.54%,is,7.32%,one,6.1%
could,not,20.83%,be,15.62%,have,8.33%
no,one,18.75%,time,7.81%,no,4.69%
virginia,had,6.02%,and,6.02%,but,3.61%
she,had,12.3%,said,7.77%,was,7.77%
do,you,18.06%,it,8.33%,all,5.56%
back,to,28.74%,in,9.2%,and,4.6%
time,to,16.48%,it,6.59%,that,6.59%
one,of,9.93%,more,2.84%,could,2.84%
me,the,6.82%,that,6.82%,up,4.55%
we,can,11.57%,are,9.09%,had,6.61%
man,was,9.8%,had,9.8%,who,5.88%
face,that,9.09%,and,7.27%,as,7.27%
did,not,60.78%,you,9.8%,so,3.92%
how,much,13.73%,to,9.8%,it,9.8%
is,the,8.05%,a,6.71%,so,6.71%
my,little,7.14%,life,7.14%,dear,5.36%
or,a,12.28%,the,8.77%,even,5.26%
