word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,down,5.32%,woods,3.19%,followed,2.13%
the,in,10.3%,of,8.58%,and,4.76%
little,the,31.07%,a,20.87%,two,5.34%
of,out,5.54%,part,2.35%,one,2.35%
to,back,2.73%,him,1.97%,want,1.97%
and,up,1.85%,it,1.52%,him,1.09%
i,and,10.83%,that,8.75%,but,5.0%
a,with,6.36%,in,6.09%,was,4.9%
boys,the,78.49%,two,4.3%,you,3.23%
it,that,4.56%,of,4.34%,about,3.25%
was,it,25.13%,he,12.17%,there,9.79%
that,all,3.07%,and,3.07%,in,2.19%
had,he,16.49%,she,13.33%,they,11.93%
in,up,2.97%,came,2.23%,it,2.04%
every,in,7.02%,of,5.26%,nearly,5.26%
them,behind,6.4%,for,6.4%,with,4.8%
but,nothing,3.8%,anything,2.53%,them,1.9%
there,down,5.41%,and,3.6%,then,2.7%
were,they,24.81%,there,6.2%,we,5.43%
not,did,22.63%,could,14.6%,was,12.41%
so,was,9.94%,is,5.52%,be,4.97%
for,it,4.48%,enough,2.61%,sent,1.87%
all,and,5.67%,was,4.26%,were,4.26%
their,in,9.62%,of,8.65%,with,4.81%
be,to,30.05%,would,11.74%,will,8.92%
out,be,5.56%,came,5.56%,me,3.17%
long,a,23.81%,the,19.05%,so,12.7%
now,time,4.48%,there,4.48%,ginger,2.99%
then,and,32.56%,just,9.3%,him,3.49%
when,and,8.26%,night,3.31%,him,3.31%
an,with,10.59%,of,8.24%,for,7.06%
up,came,3.25%,me,2.6%,sprang,2.6%
from,out,4.58%,away,4.58%,down,3.05%
some,of,4.17%,that,4.17%,and,4.17%
on,down,3.54%,come,2.65%,out,2.21%
with,her,3.56%,him,2.67%,up,2.67%
down,and,9.09%,go,4.55%,came,3.41%
too,was,9.43%,is,5.66%,were,3.77%
room,the,27.12%,her,11.86%,blue,11.86%
been,had,49.12%,have,16.67%,never,4.39%
before,time,6.9%,hour,3.45%,down,3.45%
came,boys,7.81%,they,7.81%,he,7.81%
they,and,6.79%,that,6.33%,as,5.88%
as,soon,3.54%,just,3.15%,much,1.97%
at,out,5.38%,looking,3.08%,looked,3.08%
what,know,6.33%,see,6.33%,of,5.06%
who,boys,10.53%,boy,7.02%,man,5.26%
he,that,7.65%,as,5.87%,when,4.34%
way,the,26.67%,half,8.33%,that,5.0%
made,had,16.07%,that,12.5%,she,7.14%
his,in,10.16%,of,6.35%,on,6.03%
him,for,8.72%,with,8.14%,made,4.65%
into,her,3.95%,looked,3.95%,went,3.95%
said,he,21.13%,she,16.9%,now,2.11%
you,if,8.33%,for,5.68%,do,4.92%
have,to,11.92%,would,9.27%,i,7.28%
over,bending,7.04%,all,5.63%,was,5.63%
would,it,18.09%,he,9.57%,she,6.38%
if,as,18.75%,but,6.25%,him,4.46%
will,you,14.29%,it,11.11%,grandmother,4.76%
here,out,10.91%,be,9.09%,up,5.45%
old,the,33.72%,an,11.63%,years,3.49%
her,in,7.86%,of,6.29%,to,5.03%
know,you,31.37%,i,17.65%,don't,13.73%
about,all,7.25%,anything,4.35%,talked,4.35%
just,had,7.41%,it,5.56%,was,5.56%
can,we,27.45%,you,21.57%,i,19.61%
around,arms,7.81%,looked,6.25%,uneasily,3.12%
like,look,7.45%,i'd,4.26%,would,4.26%
this,but,7.5%,on,6.25%,in,6.25%
miss,said,11.11%,and,7.41%,when,5.56%
could,he,20.83%,she,15.62%,they,10.42%
no,was,12.9%,had,12.9%,no,4.84%
virginia,said,8.43%,and,6.02%,as,3.61%
she,that,9.27%,as,6.95%,and,5.96%
do,to,27.78%,i,9.72%,what,8.33%
back,the,9.2%,go,9.2%,came,8.05%
time,the,18.28%,first,9.68%,in,7.53%
one,no,8.45%,some,5.63%,in,4.23%
me,to,16.67%,for,6.67%,let,5.56%
we,if,11.97%,that,5.98%,when,5.98%
man,the,64.71%,a,5.88%,old,5.88%
face,his,20.0%,her,12.73%,little,7.27%
how,know,5.88%,see,5.88%,tell,3.92%
is,it,25.68%,there,7.43%,he,7.43%
my,on,7.27%,for,5.45%,and,5.45%
or,head,3.57%,on,3.57%,home,3.57%
