word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.13%,a,5.36%,her,3.06%
and,the,7.3%,she,2.87%,i,2.66%
the,little,2.55%,old,1.4%,way,1.07%
this,is,8.21%,time,5.39%,morning,4.2%
was,a,9.01%,the,6.89%,so,4.18%
from,the,38.01%,her,6.91%,his,3.83%
made,her,15.03%,a,11.03%,the,8.22%
little,colonel,11.65%,colonel's,4.74%,girl,2.45%
of,the,26.33%,her,5.37%,a,5.28%
one,of,19.42%,to,2.7%,in,2.54%
in,the,30.76%,a,9.13%,her,7.95%
at,the,34.79%,her,7.34%,last,3.65%
a,little,3.42%,long,1.65%,few,1.62%
good,times,9.47%,to,7.17%,bye,6.5%
that,she,11.26%,i,5.96%,he,5.38%
other,girls,8.67%,side,6.59%,way,2.77%
with,a,19.68%,the,15.5%,her,9.01%
again,and,12.62%,she,5.02%,the,4.53%
you,know,6.25%,are,4.05%,to,3.55%
old,colonel,3.74%,man,2.4%,and,2.33%
girls,who,6.57%,and,5.01%,were,4.54%
to,the,10.52%,be,6.19%,her,4.08%
an,old,10.49%,hour,6.91%,instant,3.77%
away,from,13.81%,in,7.64%,to,6.43%
its,way,2.12%,place,1.63%,first,1.47%
face,and,8.77%,as,6.41%,was,5.43%
i,was,4.96%,don't,4.89%,have,4.82%
had,been,14.69%,a,3.82%,not,3.12%
him,to,8.3%,and,6.2%,in,3.93%
when,she,20.13%,the,13.11%,he,11.59%
she,had,12.79%,was,10.17%,could,4.15%
over,the,25.48%,her,12.39%,to,8.78%
what,a,9.92%,she,6.84%,i,5.05%
i'll,be,10.39%,have,5.42%,tell,5.27%
not,to,4.9%,have,4.48%,be,3.87%
more,than,25.19%,to,2.77%,and,2.39%
like,a,25.21%,the,11.66%,to,7.72%
than,the,10.44%,a,7.04%,she,6.42%
for,the,15.62%,a,9.75%,her,7.14%
see,the,14.1%,how,8.86%,that,6.18%
some,of,12.62%,one,9.2%,day,5.77%
or,the,9.83%,a,7.28%,not,2.31%
come,to,16.77%,in,7.17%,back,6.91%
down,the,27.5%,to,13.87%,on,8.59%
on,the,38.14%,her,7.55%,a,5.68%
his,head,2.34%,eyes,2.16%,face,1.92%
would,be,24.42%,have,17.65%,not,7.18%
have,been,11.75%,to,10.28%,a,6.92%
out,of,25.39%,to,8.02%,the,6.48%
if,she,13.75%,i,12.69%,you,12.15%
it,was,19.01%,is,6.14%,would,4.01%
were,all,3.74%,to,3.35%,not,3.18%
her,to,3.04%,eyes,2.3%,face,2.19%
home,and,9.17%,to,6.36%,she,4.14%
into,the,44.94%,a,12.57%,her,7.92%
thought,of,18.21%,it,8.36%,that,8.06%
who,had,20.04%,was,8.17%,is,3.51%
are,the,5.01%,you,4.89%,so,4.06%
be,a,7.46%,the,5.01%,so,2.97%
up,to,12.41%,the,12.32%,in,9.07%
room,and,12.21%,to,5.86%,with,5.13%
long,as,8.79%,time,7.76%,enough,3.65%
been,a,5.75%,so,5.32%,in,3.58%
only,a,14.22%,the,6.72%,one,6.38%
all,the,23.89%,that,5.63%,her,3.28%
now,and,9.42%,that,6.25%,she,5.29%
last,night,7.4%,week,4.87%,time,4.69%
too,much,7.17%,and,4.72%,late,4.23%
such,a,56.44%,an,10.53%,things,3.17%
go,to,13.67%,on,9.24%,back,7.72%
way,to,12.64%,she,5.02%,and,4.0%
which,she,18.05%,he,7.89%,the,5.82%
first,time,10.09%,one,2.92%,thing,2.78%
their,way,2.84%,own,2.07%,faces,1.38%
back,to,23.85%,and,8.08%,in,7.53%
after,the,12.84%,a,6.89%,that,6.22%
they,were,14.53%,had,11.52%,are,3.79%
there,was,29.67%,were,7.37%,is,7.13%
make,a,14.18%,the,8.99%,it,7.22%
them,to,7.2%,and,6.77%,in,5.19%
before,the,15.59%,she,10.97%,he,6.23%
