word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,illustrated,3.13%,cousin,2.39%,and,1.76%
and,up,1.33%,it,1.2%,her,1.17%
the,of,10.21%,in,9.04%,to,5.36%
at,look,3.22%,up,2.46%,looked,2.43%
was,it,21.96%,she,15.09%,he,8.22%
from,away,5.35%,up,2.86%,back,2.44%
made,had,10.55%,that,9.23%,she,7.8%
little,the,30.82%,a,15.92%,our,3.95%
of,out,4.26%,one,3.79%,think,1.68%
one,the,6.91%,in,4.27%,some,4.14%
in,up,2.29%,was,1.92%,it,1.47%
good,a,18.38%,the,8.23%,as,5.35%
that,and,3.25%,so,1.95%,all,1.76%
a,with,7.15%,in,6.94%,of,5.29%
with,her,2.43%,up,1.9%,and,1.63%
again,out,4.37%,back,4.21%,it,3.88%
you,if,5.68%,that,4.21%,for,3.96%
i,that,8.78%,and,7.54%,if,4.15%
old,the,31.03%,an,11.33%,her,2.63%
girls,the,38.82%,other,7.99%,little,3.19%
to,back,1.84%,going,1.83%,up,1.8%
an,with,7.48%,of,6.91%,such,6.59%
away,far,6.6%,turned,5.26%,went,3.91%
its,in,13.73%,with,9.97%,of,8.99%
face,her,29.52%,his,9.41%,the,5.93%
me,to,12.64%,for,8.18%,let,4.57%
had,she,24.68%,he,11.61%,they,5.75%
him,to,6.87%,for,5.85%,of,4.52%
it,that,4.66%,of,3.66%,but,2.48%
when,and,5.84%,but,2.85%,it,1.82%
up,looked,3.7%,came,2.65%,it,2.61%
over,all,4.65%,was,2.82%,it,2.51%
not,did,13.26%,could,12.93%,was,9.71%
them,of,12.24%,with,5.61%,for,5.55%
more,any,6.78%,no,6.16%,the,4.65%
like,i'd,4.16%,was,3.52%,just,3.36%
than,more,25.74%,better,5.15%,older,2.45%
for,it,2.17%,waiting,1.45%,time,1.37%
see,to,39.03%,you,8.89%,could,8.08%
some,of,5.6%,for,4.96%,in,4.69%
or,him,1.47%,tryst,0.98%,them,0.98%
come,to,19.9%,had,10.21%,you,3.36%
down,and,6.56%,sat,3.64%,go,3.08%
on,down,2.82%,went,2.36%,out,2.28%
his,in,10.43%,of,10.26%,on,5.6%
would,it,18.46%,she,15.11%,he,9.26%
have,to,14.62%,would,12.81%,i,11.76%
out,came,3.0%,it,2.11%,come,1.83%
if,as,25.15%,and,3.23%,even,3.18%
were,they,21.17%,there,6.94%,we,6.2%
this,in,7.79%,of,6.08%,that,3.74%
she,that,9.84%,as,7.61%,and,4.83%
her,in,7.97%,of,7.1%,to,7.09%
home,at,14.52%,way,5.87%,from,3.81%
into,out,4.48%,back,3.57%,up,2.96%
thought,she,25.3%,i,17.47%,the,10.69%
who,one,4.98%,girls,4.1%,girl,3.91%
are,you,19.42%,they,11.63%,we,11.39%
be,to,34.34%,would,14.38%,will,7.6%
room,the,29.71%,her,10.86%,dining,7.12%
long,a,23.45%,the,13.79%,so,9.54%
other,the,47.57%,each,14.93%,any,4.51%
been,had,49.14%,have,17.2%,has,7.74%
only,the,12.09%,was,10.75%,not,6.05%
all,of,5.43%,and,5.32%,in,3.07%
now,and,6.05%,but,4.42%,it,3.65%
last,the,42.93%,at,20.29%,this,3.8%
too,was,15.21%,is,3.64%,be,3.14%
such,in,11.18%,with,7.32%,of,4.57%
go,to,35.52%,and,6.32%,you,3.67%
way,the,31.32%,that,9.95%,a,5.57%
which,in,11.09%,with,4.53%,on,3.66%
first,the,48.82%,at,12.54%,her,4.87%
their,of,13.15%,in,11.16%,with,5.62%
back,the,6.67%,came,6.11%,go,4.84%
after,and,4.91%,day,2.86%,soon,2.73%
they,as,10.36%,that,7.39%,when,6.96%
there,and,7.06%,that,4.18%,but,2.7%
make,to,43.65%,and,8.5%,would,5.71%
before,time,3.17%,day,2.8%,it,2.8%
so,was,9.87%,is,3.21%,been,2.97%
as,just,4.12%,soon,2.62%,and,2.11%
about,all,4.23%,was,3.4%,talking,3.13%
things,the,9.57%,of,7.27%,such,5.5%
much,so,35.02%,as,15.65%,how,12.07%
around,all,5.62%,arms,5.08%,looked,4.66%
it's,and,5.3%,that,3.89%,but,3.43%
oh,and,2.95%,it,2.21%,her,2.06%
betty,and,15.23%,said,6.35%,to,4.19%
do,to,33.3%,i,6.45%,you,6.24%
but,it,2.37%,her,1.95%,nothing,1.5%
i'm,and,10.53%,but,6.96%,that,5.6%
we,that,9.35%,when,6.77%,if,6.04%
will,it,16.7%,you,6.98%,that,5.95%
my,in,9.08%,of,7.7%,on,3.88%
how,know,8.98%,see,8.75%,and,5.64%
is,it,20.41%,he,6.95%,that,6.78%
any,than,5.22%,have,4.95%,make,4.3%
don't,i,43.23%,you,14.46%,they,2.74%
what,know,7.02%,see,3.81%,that's,3.29%
could,she,26.71%,i,12.25%,he,11.86%
can,i,29.97%,you,18.65%,we,11.01%
through,way,2.5%,passed,2.34%,go,2.34%
take,to,46.74%,and,7.04%,i'll,3.95%
where,place,7.49%,room,2.96%,know,2.61%
has,she,17.27%,he,16.26%,it,8.27%
every,in,8.93%,at,5.42%,that,4.54%
get,to,34.49%,and,7.67%,you,5.57%
came,he,8.84%,she,7.7%,i,5.18%
did,she,24.44%,he,10.04%,i,6.9%
know,you,29.9%,i,20.81%,to,13.76%
just,had,6.02%,was,6.02%,it's,3.92%
then,and,23.6%,just,3.24%,it,2.21%
day,the,18.31%,to,8.25%,some,7.23%
never,had,15.32%,i,10.4%,she,4.77%
time,the,18.9%,this,6.48%,a,5.27%
he,that,8.62%,as,6.61%,and,4.75%
eyes,her,36.32%,his,12.33%,the,4.05%
mrs,and,7.78%,said,6.6%,to,4.91%
said,she,25.44%,he,16.46%,and,2.65%
no,was,9.69%,had,7.22%,made,3.61%
your,of,8.48%,in,6.7%,to,4.65%
think,i,22.81%,to,19.53%,you,9.38%
went,she,22.51%,he,9.95%,they,9.77%
i'll,and,11.86%,but,3.59%,then,3.28%
joyce,and,6.87%,to,6.18%,said,5.22%
mary,and,7.62%,that,5.72%,to,4.32%
