word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,30.44%,a,6.06%,his,3.76%
and,the,8.74%,to,2.11%,his,1.69%
the,slave,1.48%,south,1.38%,north,1.13%
garrison,was,11.45%,and,6.87%,had,5.85%
of,the,35.59%,his,4.01%,a,3.88%
in,the,34.26%,a,4.77%,his,4.47%
new,york,19.69%,england,14.67%,ideas,5.41%
from,the,35.43%,his,6.92%,a,3.98%
day,of,20.73%,and,10.98%,to,4.88%
who,was,14.34%,were,10.04%,had,9.32%
has,been,15.91%,preserved,3.79%,it,3.79%
been,so,7.28%,a,6.62%,the,4.64%
a,few,2.15%,man,1.88%,new,1.72%
to,the,19.1%,be,4.92%,his,2.47%
my,soul,5.84%,own,3.65%,dear,2.92%
little,band,11.63%,ones,5.81%,man,3.49%
me,to,14.94%,that,6.9%,and,6.9%
this,was,6.48%,is,3.09%,time,2.78%
is,not,9.24%,a,8.42%,the,7.8%
way,of,21.95%,to,15.85%,and,9.76%
two,of,6.03%,years,5.17%,days,4.31%
things,in,11.54%,which,9.62%,and,7.69%
that,the,14.15%,he,7.18%,it,4.44%
it,was,25.0%,is,11.8%,the,2.4%
his,own,3.74%,life,1.87%,wife,1.38%
may,be,27.55%,have,8.16%,not,3.06%
be,the,4.57%,sure,3.04%,in,2.61%
an,anti,5.11%,end,2.42%,instrument,2.42%
so,much,6.38%,that,4.26%,many,3.83%
at,the,40.39%,this,5.49%,a,4.12%
its,influence,1.47%,editor,1.47%,columns,1.22%
for,the,30.42%,a,6.02%,his,3.63%
them,and,8.7%,to,7.39%,the,5.65%
upon,the,45.29%,his,4.35%,him,3.62%
men,and,13.86%,of,13.86%,who,11.45%
was,the,8.69%,not,6.4%,a,5.52%
were,the,6.55%,in,3.93%,not,3.56%
not,the,4.21%,a,4.07%,be,3.65%
but,the,15.44%,it,5.09%,he,4.11%
as,a,13.93%,the,10.6%,he,5.55%
well,as,22.67%,nigh,5.33%,the,5.33%
much,as,15.0%,of,13.33%,for,6.67%
now,the,9.35%,in,6.54%,that,3.74%
which,he,12.52%,the,9.87%,was,6.77%
anti,slavery,93.68%,christian,0.79%,abolition,0.79%
slavery,society,9.43%,in,4.63%,and,4.45%
life,and,10.0%,of,8.89%,he,7.78%
out,of,51.8%,the,5.76%,in,3.6%
he,was,17.3%,had,12.11%,did,2.8%
i,am,12.02%,have,9.09%,do,4.99%
man,and,6.42%,of,5.88%,who,5.88%
world,of,14.55%,the,10.91%,is,5.45%
agitation,and,15.62%,of,10.94%,the,10.94%
between,the,66.3%,freedom,4.35%,him,3.26%
long,as,8.77%,in,7.02%,lane,5.26%
massachusetts,anti,16.67%,society,9.09%,and,7.58%
years,before,11.65%,of,8.74%,after,6.8%
before,the,28.44%,he,10.09%,had,4.59%
great,britain,5.26%,political,3.51%,as,3.51%
with,the,22.07%,a,7.36%,his,5.49%
three,years,9.23%,hundred,9.23%,months,6.15%
on,the,49.62%,a,5.19%,his,3.65%
she,had,14.05%,was,14.05%,would,4.13%
our,own,6.94%,country,5.2%,national,2.89%
one,of,28.91%,day,2.72%,and,2.38%
too,much,5.26%,were,3.51%,strong,3.51%
heart,of,17.74%,and,12.9%,the,8.06%
her,own,3.83%,and,2.13%,for,2.13%
mind,and,10.17%,of,8.47%,to,6.78%
young,man,7.41%,reformer,7.41%,editor,6.17%
we,have,12.95%,are,10.88%,shall,8.81%
more,than,16.2%,and,7.41%,slave,2.31%
did,not,59.55%,the,3.93%,he,3.93%
come,to,22.81%,in,8.77%,with,5.26%
when,the,23.49%,he,13.86%,they,6.02%
would,be,16.86%,not,12.21%,have,12.21%
down,the,19.12%,to,14.71%,with,7.35%
after,the,29.91%,his,11.97%,a,5.98%
had,been,5.39%,not,4.62%,no,3.24%
those,who,16.04%,of,11.32%,in,3.77%
up,to,15.28%,the,13.89%,and,7.64%
all,the,19.39%,of,6.09%,that,5.26%
could,not,36.81%,have,7.64%,be,7.64%
him,to,9.42%,in,7.59%,and,6.81%
into,the,35.8%,a,11.11%,his,6.17%
