word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.26%,up,1.78%,made,1.62%
the,of,20.52%,in,8.49%,to,6.41%
of,one,1.55%,out,1.31%,subject,0.86%
in,was,2.78%,and,1.76%,him,1.24%
york,new,100.0%
from,him,3.41%,away,2.35%,and,1.92%
first,the,58.2%,his,6.56%,three,2.46%
day,the,28.92%,one,9.64%,every,7.23%
who,men,7.34%,those,6.56%,man,4.25%
has,he,14.17%,which,11.02%,it,5.51%
been,have,32.45%,had,23.18%,has,13.91%
a,of,11.29%,as,6.08%,in,5.97%
to,and,2.39%,was,1.37%,seemed,1.18%
my,of,15.56%,to,6.67%,in,6.67%
little,the,23.26%,a,19.77%,no,11.63%
and,garrison,0.77%,him,0.74%,slavery,0.71%
me,to,15.91%,with,9.09%,give,5.68%
this,of,15.11%,in,11.53%,to,5.3%
is,it,24.53%,there,7.07%,he,4.78%
way,the,19.51%,his,17.07%,by,8.54%
two,the,37.39%,of,10.43%,or,3.48%
things,of,16.98%,the,9.43%,all,9.43%
that,and,5.24%,of,4.38%,in,3.74%
it,that,4.23%,of,3.32%,but,3.12%
his,of,17.61%,in,8.44%,to,6.33%
may,j,12.15%,we,10.28%,it,6.54%
be,to,33.77%,should,7.84%,would,6.32%
an,of,11.26%,as,10.72%,by,4.02%
so,and,16.17%,not,5.11%,been,4.68%
at,was,4.72%,not,1.97%,him,1.77%
its,of,16.42%,in,11.76%,and,7.6%
for,and,2.29%,were,1.49%,was,1.38%
them,of,12.28%,to,9.21%,with,6.14%
upon,called,2.19%,fell,1.82%,looked,1.46%
men,the,13.1%,of,13.1%,all,5.95%
was,it,14.95%,he,12.56%,there,4.55%
were,they,18.67%,who,5.33%,there,5.14%
not,was,15.4%,did,14.97%,could,7.49%
but,slavery,1.5%,was,1.34%,nothing,1.34%
as,and,2.62%,well,2.12%,but,1.62%
well,as,56.76%,was,4.05%,the,4.05%
much,so,25.0%,was,10.0%,as,10.0%
now,and,7.48%,is,6.54%,but,4.67%
which,of,6.4%,in,4.76%,to,2.53%
anti,the,38.25%,of,9.16%,an,7.57%
slavery,anti,41.8%,of,21.34%,pro,6.7%
life,his,25.0%,the,10.87%,a,5.43%
out,got,3.6%,broke,2.88%,him,2.88%
he,which,7.19%,that,5.75%,as,3.8%
