word type,number
everything,13207
adult,0
hate,157
function,7421
normal,number
the,638
he,559
and,446
fatty,354
was,316
to,303
that,258
of,227
a,219
his,208
had,194
it,188
coon,144
you,126
in,124
as,121
him,104
for,103
but,101
all,97
at,88
not,86
so,85
tree,75
they,73
when,72
she,71
said,71
there,70
would,65
what,65
very,62
could,62
out,61
mrs,59
were,58
farmer,56
green,55
one,55
no,55
i,53
just,52
have,50
up,50
mother,49
on,49
be,47
with,45
see,44
did,42
them,41
jimmy,40
never,39
about,37
eat,37
down,36
then,36
go,35
into,34
do,34
her,34
time,33
from,33
home,32
if,32
before,32
too,31
more,31
something,30
again,30
felt,30
knew,30
told,29
rabbit,28
like,28
asked,28
well,28
night,28
green's,28
johnnie,27
than,27
now,27
long,27
woods,27
come,26
made,26
because,26
or,26
good,26
came,26
which,25
big,25
little,25
this,25
right,24
eyes,24
began,24
saw,23
looked,23
brother,23
once,23
back,23
away,22
fatty's,22
get,22
after,22
been,22
through,22
sure,22
think,21
are,21
wanted,21
thought,21
over,20
thing,20
way,20
their,20
is,19
jay,19
some,19
much,19
blackie,19
ever,19
jasper,18
enough,18
fast,18
last,18
those,18
only,18
moon,17
soon,17
went,17
first,17
great,17
along,17
tail,16
course,16
off,16
where,16
we,16
by,15
eggs,15
corn,15
even,15
dog,15
my,15
heard,15
caught,15
climbed,15
say,15
hole,15
near,15
found,15
cut,15
oh,15
turkeys,14
around,14
old,14
how,14
tall,14
almost,14
nothing,14
himself,14
reached,14
quite,14
squirrels,14
tracks,13
close,13
head,13
yes,13
catch,13
water,13
know,13
another,13
going,13
ground,13
frightened,13
don't,13
spot,13
house,13
play,13
monster,12
barber,12
shop,12
stopped,12
cried,12
bright,12
anything,12
other,12
should,12
young,12
upon,12
glad,12
behind,12
toward,12
strange,12
inside,12
man,12
we'll,12
wished,11
let,11
seen,11
sisters,11
though,11
might,11
find,11
trees,11
top,11
afraid,11
it's,11
make,11
seemed,11
hear,11
any,11
loggers,10
edge,10
family,10
children,10
across,10
brook,10
tried,10
fish,10
tell,10
day,10
started,10
few,10
still,10
hungry,10
mind,10
least,10
couldn't,10
your,10
me,10
left,10
chestnut,10
mouth,10
apples,10
hair,10
coon's,9
robber,9
turtle,9
bear,9
many,9
people,9
dark,9
liked,9
that's,9
must,9
hurt,9
can,9
here,9
look,9
until,9
sight,9
why,9
side,9
cornfield,9
wait,9
pet,8
fat,8
road,8
two,8
same,8
white,8
moustache,8
an,8
looking,8
sharp,8
always,8
gone,8
didn't,8
nest,8
feel,8
