word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,he,13.45%,his,7.62%,fatty,5.83%
the,tree,4.39%,woods,3.92%,moon,2.35%
of,the,30.4%,his,7.49%,course,7.05%
fatty,coon,23.45%,was,9.32%,had,5.65%
coon,was,13.19%,and,6.25%,said,4.86%
i,hope,5.66%,would,5.66%,do,5.66%
at,all,22.73%,the,19.32%,last,12.5%
mrs,coon,76.27%,turtle,15.25%,turtle's,5.08%
green,had,16.36%,and,14.55%,corn,3.64%
a,little,5.94%,few,4.57%,good,4.11%
his,mother,18.75%,brother,9.13%,mouth,4.33%
in,the,45.97%,a,10.48%,no,4.03%
to,the,10.23%,eat,9.57%,be,7.92%
would,have,26.15%,never,9.23%,go,6.15%
it,was,37.77%,fatty,4.79%,would,3.19%
tree,and,18.67%,in,6.67%,tops,5.33%
just,as,34.62%,the,9.62%,a,5.77%
was,a,9.49%,so,5.38%,not,4.43%
so,he,11.76%,much,7.06%,they,5.88%
that,he,16.67%,fatty,7.36%,was,6.98%
he,was,13.77%,had,13.42%,could,6.26%
for,the,14.56%,he,13.59%,a,12.62%
but,he,22.0%,fatty,10.0%,the,6.0%
you,would,7.14%,see,6.35%,fatty,5.56%
him,and,12.5%,it,3.85%,he,3.85%
very,glad,6.45%,fond,4.84%,first,4.84%
what,he,13.85%,do,10.77%,fatty,6.15%
all,the,19.59%,around,6.19%,but,5.15%
there,was,40.58%,were,11.59%,it,5.8%
as,he,21.49%,you,7.44%,they,7.44%
they,had,16.44%,were,13.7%,could,8.22%
one,of,29.09%,day,9.09%,night,7.27%
had,been,7.22%,not,4.64%,never,3.61%
she,was,16.9%,had,9.86%,said,8.45%
no,time,9.09%,wonder,9.09%,one,7.27%
out,of,50.82%,and,9.84%,through,4.92%
not,go,4.65%,wait,4.65%,very,3.49%
could,not,16.13%,see,11.29%,find,8.06%
said,fatty,18.31%,nothing,7.04%,and,5.63%
when,he,29.17%,fatty,26.39%,the,16.67%
were,all,6.9%,no,6.9%,in,5.17%
farmer,green,50.0%,green's,50.0%
