word type,number
everything,159825
adult,0
hate,0
function,97966
normal,number
the,7910
and,5907
i,4801
to,4665
of,3631
a,2954
he,2567
in,2509
that,2469
it,2156
was,1880
as,1590
we,1542
for,1537
is,1501
his,1471
me,1455
not,1402
you,1397
with,1286
my,1262
all,1164
be,1115
so,1107
at,1085
on,1073
but,1071
have,1060
her,1059
had,1039
him,953
she,813
when,776
there,773
which,663
if,638
this,632
from,625
are,582
said,570
were,552
then,549
by,522
one,496
could,491
no,488
do,474
them,472
or,463
they,463
what,463
us,462
will,454
up,448
some,442
must,440
would,432
out,430
shall,426
our,407
now,407
may,399
see,395
know,391
been,391
time,390
can,377
more,376
an,359
has,345
come,339
over,336
am,336
van,323
came,309
night,305
your,303
went,299
like,292
into,288
only,287
any,285
go,284
who,284
did,283
very,279
before,277
here,271
back,260
good,258
down,253
again,246
well,245
seemed,243
even,242
about,232
way,231
room,231
such,227
man,227
dear,224
took,224
lucy,223
though,221
how,220
much,220
than,219
day,219
saw,219
their,219
think,218
where,216
too,215
through,214
mina,210
after,210
hand,210
face,204
door,200
should,198
made,195
tell,195
poor,193
sleep,192
old,190
away,189
eyes,188
own,187
looked,186
friend,184
great,183
once,182
jonathan,181
things,175
other,174
get,172
look,171
just,169
little,168
dr,162
make,162
might,158
got,157
yet,156
off,155
professor,155
thought,154
found,153
count,153
take,150
god,150
life,149
long,148
let,148
say,148
work,146
men,146
told,144
asked,143
something,142
oh,142
last,140
heart,139
place,137
fear,137
ever,136
without,135
till,135
first,135
its,135
house,135
myself,134
arthur,134
two,133
done,128
knew,128
never,128
himself,122
still,117
coming,117
window,116
want,116
find,115
these,115
quite,115
began,113
blood,113
nothing,112
same,110
dead,109
round,108
white,107
put,107
head,106
mind,106
many,104
mr,104
hands,104
however,102
open,102
whilst,101
hear,101
help,101
terrible,100
left,99
right,99
moment,99
morning,98
far,97
rest,97
anything,97
thing,97
looking,96
keep,96
seen,95
death,94
madam,93
why,91
heard,91
bed,90
strange,90
mrs,90
full,89
another,89
upon,88
felt,87
don't,86
each,86
both,86
cannot,86
since,86
few,85
every,84
home,84
being,84
turned,84
love,84
diary,82
light,82
read,81
sort,81
those,81
others,81
stood,80
opened,80
alone,80
new,79
lord,79
give,78
spoke,78
dark,77
feel,77
end,77
better,77
most,75
lay,75
believe,75
john,75
red,74
morris,74
whole,73
held,73
together,73
gone,73
child,73
seems,72
case,72
does,72
between,71
ready,71
ask,70
almost,69
close,69
sat,69
going,68
side,68
soon,68
need,68
gave,67
against,67
half,67
speak,66
hope,66
sweet,66
london,65
word,65
seem,65
set,64
already,64
watch,64
try,64
soul,64
under,63
write,63
box,63
world,62
tried,62
always,62
three,61
lips,61
late,60
kind,60
strong,60
answered,60
ship,60
miss,60
enough,59
water,59
part,59
fell,59
husband,59
call,58
true,58
kept,57
voice,57
days,57
present,57
woman,56
passed,56
horses,56
times,56
leave,56
brain,56
hour,55
along,55
understand,55
because,55
