word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,24.66%,a,5.28%,his,3.33%
and,the,5.8%,i,5.72%,then,2.43%
the,door,1.76%,count,1.69%,professor,1.69%
this,is,7.34%,time,5.58%,was,5.26%
was,a,7.97%,not,3.53%,the,3.42%
from,the,30.43%,his,6.35%,her,4.85%
made,me,13.85%,a,12.82%,the,9.23%
new,scheme,3.8%,record,3.8%,hope,3.8%
in,the,24.91%,a,9.93%,his,5.97%
of,the,24.37%,his,4.34%,a,3.45%
to,the,8.03%,me,5.35%,be,5.19%
at,the,23.24%,once,11.91%,all,4.49%
life,and,19.59%,of,6.08%,is,5.41%
my,dear,6.2%,own,5.24%,friend,4.53%
dear,madam,11.93%,i,5.96%,to,5.05%
chapter,i,3.7%,ii,3.7%,iii,3.7%
i,am,6.42%,could,5.71%,have,5.19%
lucy,and,11.65%,was,9.71%,is,6.31%
mina,i,7.85%,and,6.81%,is,5.76%
diary,of,11.86%,i,8.47%,and,6.78%
left,me,12.37%,the,12.37%,in,6.19%
may,be,28.64%,not,10.8%,have,8.04%
morning,i,13.4%,and,9.28%,we,6.19%
should,have,16.67%,be,16.67%,not,7.58%
have,been,12.12%,to,4.92%,a,3.79%
but,i,13.12%,the,6.19%,it,5.06%
an,hour,7.51%,instant,5.49%,idea,3.18%
hour,and,20.0%,when,7.27%,i,7.27%
late,in,10.34%,and,8.62%,for,5.17%
seems,to,42.25%,like,4.23%,almost,2.82%
a,little,2.78%,few,2.37%,man,1.99%
place,and,9.56%,where,6.62%,was,5.88%
which,i,10.15%,he,7.88%,was,6.67%
got,a,9.74%,up,9.09%,to,8.44%
it,was,14.69%,is,14.32%,and,3.26%
little,before,4.17%,and,4.17%,girl,2.38%
could,not,22.45%,see,17.76%,hear,4.69%
through,the,47.89%,a,4.69%,it,4.69%
go,on,15.9%,to,15.19%,back,5.3%
very,very,3.94%,soul,2.15%,sad,2.15%
far,as,21.65%,off,16.49%,away,9.28%
as,i,11.22%,he,10.78%,we,6.37%
we,have,7.16%,are,6.38%,were,6.05%
had,been,11.66%,a,5.39%,to,4.72%
would,be,16.2%,have,12.5%,not,12.27%
time,and,8.51%,to,7.99%,i,6.19%
that,i,11.73%,he,8.64%,the,7.94%
were,all,4.01%,to,3.28%,not,2.74%
most,of,8.0%,interesting,2.67%,difficult,2.67%
over,the,29.13%,and,10.51%,to,7.21%
