word type,number
everything,28717
adult,9
hate,0
function,16196
normal,number
the,1574
and,1061
a,705
to,679
of,662
in,520
it,516
he,485
was,427
his,420
that,338
i,337
scrooge,314
with,269
you,233
as,228
said,221
had,205
him,198
for,197
have,186
they,179
not,178
were,178
but,177
on,165
at,154
be,143
all,131
its,130
by,125
is,125
there,124
this,122
so,120
upon,118
no,116
me,111
if,110
one,109
their,101
which,99
what,97
up,93
ghost,92
or,91
from,91
when,91
christmas,87
my,86
out,84
would,84
spirit,84
them,82
an,80
very,78
old,70
man,69
who,69
time,68
good,67
been,67
her,66
down,65
little,64
could,61
like,61
know,60
before,59
do,59
are,58
into,57
now,56
she,56
more,54
your,53
about,52
cried,52
did,49
again,49
bob,49
scrooge's,48
own,48
see,47
himself,47
door,46
will,46
came,46
am,44
went,44
hand,43
made,43
then,43
don't,42
than,42
might,40
how,40
any,40
head,40
every,40
day,39
never,39
such,39
some,39
here,38
much,37
why,37
being,36
other,36
come,36
great,36
last,35
hands,35
nothing,35
night,35
where,35
through,35
another,35
two,35
merry,34
round,34
off,34
say,33
room,33
fire,32
though,32
light,32
looked,32
nephew,32
face,32
first,31
we,31
house,31
us,31
too,31
ever,30
poor,30
these,30
boy,30
thought,29
long,29
it's,29
mrs,29
back,28
cold,28
returned,28
should,28
can,27
quite,27
young,27
bed,27
done,26
eyes,26
life,26
half,26
only,25
think,25
well,25
home,25
many,24
people,24
dear,24
way,24
sat,24
heart,24
child,24
tiny,24
ha,24
may,23
business,23
after,23
same,23
voice,23
woman,23
saw,23
enough,23
has,23
yet,23
tim,23
must,22
stood,22
place,22
let,22
knew,21
dark,21
asked,21
look,21
looking,21
away,21
put,20
three,20
mind,20
over,20
without,20
left,20
got,20
past,20
oh,19
go,19
yes,19
make,19
towards,19
spirits,18
dead,18
anything,18
even,18
gentleman,18
always,18
open,18
children,18
year,18
kind,18
believe,18
replied,18
until,18
hope,18
peter,18
joe,18
once,17
hear,17
air,17
uncle,17
among,17
still,17
while,17
behind,17
told,17
laughed,17
shall,16
each,16
coming,16
moment,16
world,16
hour,16
men,16
sir,16
indeed,16
give,16
mr,16
observed,16
passed,16
heard,16
jacob,16
tell,16
our,15
years,15
father,15
pointed,15
better,15
master,15
bless,15
i'll,15
bell,15
window,15
walked,15
most,15
clerk,14
going,14
appeared,14
keep,14
just,14
having,14
word,14
family,14
full,14
something,14
turned,14
next,14
seemed,14
phantom,14
end,13
name,13
right,13
live,13
alone,13
things,13
whole,13
happened,13
happy,13
those,13
streets,13
seen,13
exclaimed,13
girl,13
laugh,13
wish,12
called,12
self,12
spoke,12
often,12
stopped,12
eye,12
thing,12
city,12
everything,12
tried,12
god,12
sure,12
fellow,12
find,12
took,12
dinner,12
heavy,12
together,12
death,12
curtains,12
high,12
that's,12
show,12
new,11
hard,11
large,11
em,11
work,11
because,11
fell,11
there's,11
seven,11
present,11
scarcely,11
felt,11
rather,11
suppose,11
held,11
wouldn't,11
table,11
walk,11
words,11
itself,11
mother,11
stave,10
doubt,10
struck,10
didn't,10
snow,10
street,10
beyond,10
part,10
against,10
rest,10
below,10
sound,10
afternoon,10
help,10
whose,10
wall,10
became,10
corner,10
water,10
used,10
man's,10
hung,10
take,10
strange,10
chain,10
nor,10
spectre,10
ground,10
set,10
beside,10
bright,10
clear,10
shadows,10
company,10
martha,10
niece,10
houses,9
lay,9
second,9
change,9
wonderful,9
taking,9
known,9
answered,9
stone,9
within,9
office,9
purpose,9
nobody,9
along,9
gone,9
couldn't,9
humbug,9
answer,9
ready,9
pudding,9
wife,9
i'm,9
die,9
whom,9
black,9
hot,9
sight,9
perhaps,9
power,9
straight,9
side,9
forth,9
free,9
found,9
clock,9
robe,9
sister,9
hallo,9
fred,9
friend,8
point,8
began,8
turning,8
red,8
days,8
warm,8
weather,8
blind,8
feet,8
white,8
breath,8
else,8
pleasant,8
shut,8
love,8
partner,8
few,8
boys,8
morning,8
town,8
hair,8
taken,8
sitting,8
legs,8
surprise,8
close,8
thoughts,8
knees,8
far,8
bear,8
twelve,8
between,8
dress,8
top,8
goose,8
future,8
finger,8
ghostly,7
themselves,7
perfectly,7
above,7
sometimes,7
both,7
nose,7
low,7
less,7
windows,7
candle,7
strong,7
cheerful,7
you're,7
money,7
holly,7
hearts,7
length,7
want,7
cannot,7
sorry,7
party,7
gentlemen,7
shook,7
afraid,7
under,7
darkness,7
church,7
dull,7
gave,7
five,7
times,7
yard,7
particular,7
knocker,7
also,7
shadow,7
bad,7
hall,7
sea,7
chair,7
soon,7
remembered,7
raised,7
ebenezer,7
chance,7
arm,7
entered,7
four,7
isn't,7
heaven,7
thinking,7
bye,7
near,7
laughing,7
wasn't,7
former,7
given,7
bring,7
best,7
dick,7
dance,7
heartily,7
turkey,7
minutes,7
plump,7
raise,6
idea,6
mean,6
piece,6
course,6
sole,6
cut,6
wind,6
chin,6
inquired,6
care,6
counting,6
ruddy,6
fog,6
although,6
nature,6
lived,6
tank,6
small,6
frost,6
bound,6
wonder,6
morrow,6
get,6
ask,6
pleasure,6
stop,6
body,6
means,6
usual,6
lighted,6
glorious,6
lord,6
spirit's,6
touch,6
ill,6
stool,6
twenty,6
forgotten,6
wide,6
stairs,6
easy,6
putting,6
shape,6
deep,6
person,6
changed,6
waistcoat,6
earth,6
happiness,6
trembling,6
pursued,6
glanced,6
floor,6
iron,6
fast,6
short,6
brought,6
mist,6
state,6
quarter,6
ding,6
dong,6
figure,6
arms,6
anybody,6
music,6
opened,6
parlour,6
ah,6
everybody,6
knows,6
delight,6
beneath,6
game,6
torch,6
girls,6
topper,6
met,6
book,5
humour,5
season,5
middle,5
carried,5
busy,5
court,5
outside,5
brown,5
mere,5
dismal,5
surely,5
comforter,5
save,5
reason,5
rich,5
followed,5
what's,5
finding,5
dozen,5
repeated,5
really,5
grave,5
situation,5
angry,5
friends,5
ago,5
plenty,5
buy,5
clearly,5
opinion,5
conduct,5
ancient,5
shops,5
faces,5
impossible,5
fifty,5
baby,5
instead,5
bones,5
closed,5
evening,5
rooms,5
hide,5
horror,5
pretty,5
saucepan,5
dressing,5
gown,5
hanging,5
obliged,5
several,5
minute,5
noise,5
clasped,5
standing,5
truth,5
case,5
greater,5
wear,5
trembled,5
speak,5
lie,5
getting,5
i'd,5
remember,5
joined,5
monstrous,5
wretched,5
faded,5
instant,5
touched,5
running,5
making,5
bare,5
fresh,5
green,5
cap,5
pair,5
rose,5
spoken,5
lead,5
form,5
brother,5
matter,5
shown,5
shaking,5
true,5
alive,5
laid,5
ears,5
soul,5
scene,5
mouth,5
parting,5
holding,5
calling,5
prepared,5
however,5
chestnuts,5
garment,5
likely,5
kissed,5
animal,5
quiet,5
bundle,5
chuckle,5
produced,4
carol,4
whatever,4
nail,4
therefore,4
started,4
died,4
play,4
remarkable,4
afterwards,4
tight,4
sharp,4
generous,4
secret,4
solitary,4
influence,4
liked,4
distance,4
call,4
opposite,4
sort,4
walking,4
handsome,4
yourself,4
older,4
boiled,4
mine,4
leave,4
race,4
gold,4
immediately,4
you'll,4
expression,4
muttered,4
certainly,4
pen,4
hundreds,4
since,4
can't,4
seeing,4
resumed,4
ran,4
invisible,4
quarters,4
blaze,4
familiar,4
instantly,4
fair,4
crown,4
coat,4
promised,4
ends,4
melancholy,4
seek,4
bold,4
colour,4
conscious,4
expected,4
wine,4
across,4
six,4
gloom,4
desire,4
stand,4
locked,4
thus,4
sit,4
least,4
daughters,4
chamber,4
dread,4
ceased,4
latter,4
drew,4
observing,4
question,4
whether,4
feel,4
lower,4
breast,4
dreadful,4
wore,4
none,4
slow,4
vast,4
nearly,4
sake,4
fear,4
filled,4
voices,4
emotion,4
listened,4
wrong,4
spring,4
beat,4
possible,4
resolved,4
broke,4
drawn,4
neck,4
hold,4
strangest,4
visible,4
gently,4
vain,4
fall,4
road,4
either,4
winter,4
broken,4
yellow,4
late,4
grew,4
we're,4
creature,4
certain,4
fat,4
ho,4
fiddler,4
couple,4
especially,4
twice,4
wished,4
shop,4
fortune,4
patient,4
value,4
yesterday,4
daughter,4
further,4
lying,4
hearth,4
bore,4
meaning,4
brothers,4
born,4
crossed,4
choked,4
caught,4
hurried,4
clothes,4
baker's,4
dressed,4
potatoes,4
bob's,4
here's,4
jug,4
turn,4
loved,4
song,4
sisters,4
solemn,4
he's,4
haven't,4
till,4
assure,4
played,4
fine,4
pipe,4
an't,4
who's,4
account,4
steady,4
thy,4
sunday,4
please,4
story,3
endeavoured,3
signed,3
knowledge,3
inclined,3
myself,3
event,3
funeral,3
mention,3
weak,3
warehouse,3
cheek,3
lips,3
dog,3
warmth,3
falling,3
intent,3
looks,3
beggars,3
warning,3
human,3
knowing,3
eve,3
bleak,3
pavement,3
already,3
offices,3
pouring,3
keyhole,3
coal,3
box,3
rapid,3
glow,3
sparkled,3
smoked,3
gaily,3
goes,3
buried,3
dare,3
apart,3
belonging,3
women,3
creatures,3
silver,3
pocket,3
speaker,3
added,3
dine,3
married,3
growled,3
quarrel,3
notwithstanding,3
fifteen,3
handed,3
slight,3
common,3
prisons,3
demanded,3
vigour,3
glad,3
christian,3
endeavouring,3
meat,3
drink,3
keenly,3
surplus,3
excuse,3
people's,3
ragged,3
brightness,3
berries,3
lamp,3
grocers,3
joke,3
mighty,3
stirred,3
roared,3
terror,3
fact,3
smiled,3
waist,3
honour,3
buff,3
read,3
mournful,3
threshold,3
lock,3
cellar,3
curiously,3
spite,3
blood,3
terrible,3
pause,3
pigtail,3
slowly,3
talk,3
coach,3
act,3
lamps,3
cheap,3
gruel,3
hob,3
attitude,3
shoes,3
fish,3
baskets,3
double,3
slippers,3
fireplace,3
beds,3
fragments,3
threw,3
astonishment,3
softly,3
loudly,3
bells,3
succeeded,3
chains,3
won't,3
boots,3
skirts,3
wound,3
deeds,3
transparent,3
believed,3
senses,3
raising,3
explanation,3
makes,3
bit,3
silence,3
awful,3
provided,3
frightful,3
cry,3
mercy,3
trouble,3
worldly,3
shadowy,3
comfort,3
comes,3
conveyed,3
kinds,3
stay,3
mark,3
whenever,3
thoughtful,3
pockets,3
manner,3
quantity,3
working,3
mortal,3
space,3
regret,3
apply,3
benevolence,3
led,3
homes,3
exceedingly,3
brow,3
almost,3
ghost's,3
third,3
stroke,3
supernatural,3
step,3
nearer,3
listening,3
restless,3
misery,3
sought,3
lost,3
walls,3
pulse,3
sun,3
relief,3
become,3
count,3
dream,3
sudden,3
sleep,3
missed,3
aside,3
addressed,3
starting,3
view,3
age,3
members,3
belt,3
trimmed,3
summer,3
extinguisher,3
gentle,3
begged,3
covered,3
purposes,3
vanished,3
feeling,3
connected,3
hopes,3
gate,3
carts,3
broad,3
parted,3
school,3
roof,3
grass,3
somehow,3
eat,3
plain,3
deal,3
reading,3
thawed,3
tears,3
younger,3
foreign,3
laden,3
growing,3
robin,3
singing,3
thoughtfully,3
ceiling,3
jolly,3
clapping,3
glee,3
accompanied,3
glared,3
glass,3
bade,3
leaves,3
withered,3
desk,3
capacious,3
comfortable,3
jovial,3
grown,3
shutters,3
nine,3
cleared,3
ball,3
smile,3
miss,3
board,3
pulled,3
forfeits,3
pies,3
worthy,3
praise,3
shone,3
needle,3
counter,3
lies,3
showed,3
passion,3
golden,3
wealth,3
retorted,3
content,3
release,3
struggle,3
brief,3
torn,3
precious,3
knocking,3
struggling,3
chairs,3
received,3
promise,3
husband,3
yours,3
inside,3
nervous,3
range,3
meant,3
whence,3
enter,3
perfect,3
mistletoe,3
chimney,3
apples,3
oranges,3
glowing,3
shed,3
meet,3
thick,3
clustered,3
setting,3
tea,3
blushed,3
dinners,3
interest,3
dining,3
size,3
hearty,3
brave,3
sixpence,3
cloth,3
tearing,3
collars,3
ye,3
crutch,3
plates,3
admiration,3
somebody,3
smell,3
marriage,3
unaltered,3
cast,3
founder,3
feast,3
he'd,3
health,3
mild,3
favour,3
fires,3
spread,3
advanced,3
children's,3
laughter,3
surprised,3
carry,3
niece's,3
loses,3
catch,3
o,3
reply,3
worse,3
moved,3
presence,3
hardly,3
giving,3
meeting,3
drunken,3
rags,3
knock,3
shake,3
whoop,3
charles,2
dickens,2
haunt,2
pleasantly,2
servant,2
december,2
ii,2
iii,2
iv,2
v,2
begin,2
burial,2
mourner,2
chose,2
trade,2
otherwise,2
partners,2
bargain,2
understood,2
convinced,2
saint,2
churchyard,2
firm,2
scraping,2
clutching,2
steel,2
features,2
nipped,2
shrivelled,2
eyebrows,2
degree,2
heat,2
wintry,2
blew,2
rain,2
entreaty,2
foul,2
bestow,2
o'clock,2
men's,2
dogs,2
evil,2
sympathy,2
nuts,2
biting,2
foggy,2
stones,2
flaring,2
neighbouring,2
dense,2
phantoms,2
dingy,2
letters,2
clerk's,2
smaller,2
shovel,2
predicted,2
necessary,2
effort,2
quickly,2
approach,2
bah,2
heated,2
cross,2
books,2
presented,2
indignantly,2
pleaded,2
consent,2
passengers,2
journeys,2
becoming,2
sensible,2
parliament,2
ridiculous,2
outer,2
shillings,2
week,2
retire,2
portly,2
behold,2
liberality,2
credentials,2
usually,2
suffer,2
greatly,2
thousands,2
laying,2
workhouses,2
cheer,2
choose,2
idle,2
mentioned,2
cost,2
decrease,2
population,2
understand,2
interfere,2
facetious,2
temper,2
horses,2
peeping,2
hours,2
clouds,2
tremulous,2
teeth,2
chattering,2
frozen,2
gas,2
winking,2
pale,2
poulterers,2
splendid,2
mansion,2
beef,2
using,2
owner,2
gnawed,2
hungry,2
seized,2
ruler,2
action,2
leaving,2
shutting,2
hat,2
convenient,2
faintly,2
pay,2
day's,2
growl,2
lane,2
camden,2
chambers,2
gloomy,2
building,2
run,2
dreary,2
except,2
during,2
london,2
borne,2
key,2
ferocious,2
forehead,2
motionless,2
livid,2
horrible,2
phenomenon,2
startled,2
sensation,2
moment's,2
sticking,2
pooh,2
merchant's,2
separate,2
echoes,2
frightened,2
fastened,2
driving,2
hearse,2
caring,2
recollection,2
bedroom,2
lumber,2
sofa,2
closet,2
guard,2
washing,2
satisfied,2
cravat,2
nightcap,2
brood,2
fuel,2
built,2
dutch,2
descending,2
feather,2
figures,2
rod,2
swallowed,2
smooth,2
blank,2
turns,2
glance,2
outset,2
begun,2
dragging,2
ghosts,2
haunted,2
flew,2
dying,2
tassels,2
tail,2
closely,2
boxes,2
keys,2
buttons,2
bowels,2
wrapper,2
shade,2
condition,2
stomach,2
gravy,2
habit,2
smart,2
attention,2
keeping,2
spectre's,2
disturbed,2
staring,2
fixed,2
atmosphere,2
agitated,2
oven,2
charge,2
creation,2
bandage,2
dropped,2
apparition,2
abroad,2
travel,2
woe,2
shared,2
link,2
girded,2
weight,2
expectation,2
surrounded,2
narrow,2
hole,2
lifting,2
humility,2
travelling,2
incessant,2
torture,2
hearing,2
justified,2
labour,2
immortal,2
kindly,2
amends,2
faltered,2
welfare,2
drop,2
comprehensive,2
cause,2
grief,2
heavily,2
rolling,2
beings,2
blessed,2
wise,2
conducted,2
rate,2
pray,2
fate,2
path,2
expect,2
hinted,2
vibrate,2
visitor,2
reached,2
obedience,2
sounds,2
inexpressibly,2
sorrowful,2
floated,2
wandering,2
moaning,2
lives,2
attached,2
ankle,2
assist,2
matters,2
examined,2
undisturbed,2
undergone,2
conversation,2
need,2
asleep,2
awoke,2
chimes,2
eight,2
correct,2
alarming,2
scrambled,2
sleeve,2
extremely,2
fro,2
unquestionably,2
possession,2
order,2
released,2
worked,2
