word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,21.77%,his,8.06%,a,8.06%
a,man,2.41%,little,2.41%,merry,1.84%
christmas,day,11.49%,time,6.9%,present,6.9%
in,the,27.69%,his,10.0%,a,9.04%
ghost,of,15.38%,and,9.89%,had,5.49%
of,the,16.74%,his,5.48%,a,4.26%
i,am,12.54%,have,8.96%,don't,5.97%
have,been,15.05%,done,4.3%,thought,3.23%
this,time,9.02%,was,6.56%,is,4.1%
little,bob,4.76%,child,4.76%,saucepan,3.17%
to,the,7.81%,be,7.66%,his,3.09%
the,ghost,5.09%,spirit,3.37%,door,1.59%
an,old,10.0%,hour,5.0%,open,3.75%
which,it,10.1%,he,10.1%,was,8.08%
not,a,10.11%,the,6.18%,to,6.18%
my,dear,17.44%,own,6.98%,business,5.81%
out,of,17.86%,to,5.95%,and,4.76%
with,a,17.84%,the,11.15%,his,8.18%
or,a,12.22%,that,7.78%,the,5.56%
me,i,6.31%,no,4.5%,if,3.6%
it,was,19.07%,is,5.84%,and,3.5%
their,hands,2.97%,several,2.97%,own,2.97%
and,the,5.78%,a,1.89%,i,1.52%
no,more,10.34%,doubt,7.76%,no,5.17%
one,of,11.93%,and,4.59%,another,4.59%
was,a,11.24%,not,7.49%,the,5.15%
there,was,21.77%,were,14.52%,is,10.48%
is,a,7.2%,that,5.6%,it,5.6%
about,him,15.38%,the,13.46%,it,13.46%
that,he,11.94%,the,10.75%,it,6.57%
his,own,6.9%,head,4.05%,hands,2.86%
scrooge,and,5.43%,had,5.11%,i,3.83%
good,afternoon,8.96%,and,5.97%,old,5.97%
upon,the,38.14%,his,16.95%,him,8.47%
for,the,18.27%,a,8.63%,he,5.08%
he,was,11.98%,had,10.54%,could,3.93%
as,if,13.22%,he,12.33%,they,7.93%
know,that,13.33%,what,10.0%,of,5.0%
what,i,7.22%,is,7.22%,it,6.19%
been,a,12.12%,quite,4.55%,light,3.03%
but,he,10.8%,the,6.82%,i,6.25%
you,are,6.01%,have,4.72%,were,3.86%
could,have,19.67%,not,11.48%,see,9.84%
be,the,5.59%,a,4.2%,in,3.5%
were,not,5.06%,so,3.93%,the,2.81%
so,much,6.67%,that,5.83%,did,5.0%
up,and,10.75%,the,9.68%,to,7.53%
man,in,10.14%,of,7.25%,who,5.8%
on,the,29.45%,his,7.36%,a,4.29%
very,much,8.97%,large,3.85%,little,3.85%
from,the,32.22%,his,8.89%,him,5.56%
if,he,18.18%,i,11.82%,you,11.82%
before,he,16.95%,the,15.25%,him,11.86%
would,have,34.52%,be,19.05%,you,5.95%
more,than,12.96%,and,9.26%,he,5.56%
at,the,26.8%,last,7.19%,a,5.23%
all,the,23.66%,this,3.82%,his,3.05%
him,in,8.63%,and,8.12%,to,4.57%
old,joe,13.79%,man,12.07%,gentleman,6.9%
had,been,13.66%,a,7.32%,not,3.9%
its,head,6.92%,own,4.62%,chain,3.85%
they,were,18.44%,had,8.94%,are,5.59%
down,the,9.23%,upon,9.23%,in,6.15%
are,you,15.52%,in,5.17%,there,5.17%
when,he,24.18%,the,15.38%,they,7.69%
into,the,49.12%,a,21.05%,his,10.53%
said,scrooge,39.73%,the,17.35%,mrs,4.57%
time,to,10.29%,of,8.82%,the,8.82%
them,and,12.2%,to,6.1%,the,4.88%
like,a,28.33%,to,13.33%,the,6.67%
who,had,14.49%,was,10.14%,were,7.25%
cried,the,21.15%,scrooge,21.15%,bob,7.69%
do,you,25.42%,it,16.95%,me,5.08%
your,own,5.66%,partner,3.77%,senses,3.77%
now,a,12.5%,to,5.36%,in,5.36%
spirit,said,8.33%,he,5.95%,never,3.57%
her,a,4.55%,head,4.55%,hands,3.03%
she,was,14.29%,had,12.5%,said,10.71%
