word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.4%,him,2.4%,christmas,1.6%
christmas,merry,24.14%,of,14.94%,a,9.2%
in,him,3.28%,it,1.93%,and,1.74%
a,was,6.82%,with,6.82%,in,6.68%
ghost,the,93.02%,a,2.33%,old,1.16%
of,out,2.27%,ghost,2.12%,one,1.97%
i,and,4.78%,if,3.88%,scrooge,3.58%
have,i,16.13%,would,15.59%,to,10.75%
this,in,9.84%,of,9.02%,for,5.74%
little,a,26.56%,the,7.81%,very,4.69%
to,not,1.62%,scrooge,1.48%,him,1.33%
the,in,9.16%,of,7.0%,and,3.88%
an,with,13.75%,of,10.0%,was,8.75%
which,with,9.18%,to,8.16%,in,7.14%
not,was,18.18%,and,5.68%,were,5.11%
my,of,16.28%,all,3.49%,is,3.49%
out,put,3.57%,cried,3.57%,it,3.57%
with,it,2.99%,and,2.61%,scrooge,2.61%
or,scrooge,4.44%,three,3.33%,it,2.22%
me,to,16.22%,let,7.21%,tell,7.21%
it,of,4.26%,that,4.26%,in,2.52%
their,in,17.82%,of,8.91%,and,6.93%
and,it,1.71%,scrooge,1.61%,him,1.52%
no,had,6.09%,no,5.22%,me,4.35%
one,every,9.26%,by,3.7%,of,3.7%
there,and,11.48%,that,4.1%,are,2.46%
is,it,24.0%,there,10.4%,he,8.8%
about,looked,5.77%,hung,3.85%,doubt,3.85%
that,know,2.37%,things,2.37%,so,2.07%
his,in,12.38%,of,8.57%,with,5.24%
was,it,23.22%,he,13.74%,there,6.4%
scrooge,said,27.8%,cried,3.51%,mr,3.19%
good,a,16.42%,the,8.96%,as,5.97%
upon,down,5.08%,looked,3.39%,intent,2.54%
for,it,3.55%,time,2.54%,enough,2.54%
he,that,8.3%,as,5.81%,when,4.56%
old,the,12.86%,an,11.43%,good,5.71%
as,and,3.98%,it,2.65%,quite,2.65%
know,i,27.12%,to,22.03%,don't,20.34%
what,know,6.19%,in,5.15%,and,4.12%
been,have,41.79%,had,41.79%,has,4.48%
but,it,4.0%,scrooge,2.29%,had,1.71%
you,do,6.49%,if,5.63%,are,3.9%
could,he,31.15%,i,13.11%,scrooge,4.92%
be,to,36.36%,would,11.19%,might,6.99%
were,they,18.64%,there,10.17%,you,5.08%
so,and,11.67%,was,6.67%,were,5.83%
up,and,4.3%,shut,3.23%,it,2.15%
man,a,24.64%,old,10.14%,the,10.14%
on,it,3.64%,him,3.03%,was,2.42%
very,the,14.1%,a,11.54%,was,11.54%
from,himself,4.4%,and,3.3%,snow,3.3%
if,as,27.27%,but,5.45%,me,3.64%
before,down,5.08%,as,5.08%,me,3.39%
would,it,12.2%,he,12.2%,i,7.32%
more,no,22.22%,was,7.41%,and,7.41%
at,looked,3.92%,looking,3.27%,and,2.61%
all,of,12.98%,and,7.63%,they,6.87%
him,to,6.57%,with,5.56%,upon,5.05%
had,he,25.25%,scrooge,7.92%,they,7.92%
its,of,13.08%,in,7.69%,with,4.62%
they,as,10.06%,that,6.15%,and,5.03%
down,sat,13.85%,and,9.23%,went,6.15%
are,you,24.14%,they,17.24%,how,8.62%
when,and,8.89%,him,4.44%,time,2.22%
into,out,7.02%,come,7.02%,down,5.26%
said,he,7.41%,it,3.7%,spirit,3.24%
time,this,16.18%,a,8.82%,christmas,8.82%
them,of,8.54%,for,4.88%,told,4.88%
like,should,4.92%,it,3.28%,so,3.28%
who,man,5.88%,scrooge,4.41%,people,4.41%
cried,it,7.69%,i,5.77%,he,5.77%
do,to,25.86%,i,12.07%,why,10.34%
your,for,9.43%,to,9.43%,in,7.55%
now,and,14.29%,it,5.36%,just,5.36%
spirit,the,63.1%,that,2.38%,my,2.38%
her,with,9.09%,of,7.58%,and,6.06%
she,when,8.93%,but,7.14%,and,5.36%
