word type,number
everything,135943
adult,2
hate,0
function,78756
normal,number
the,8054
and,4999
of,4017
to,3571
a,2954
in,2602
it,2032
his,2008
i,1928
that,1905
he,1843
was,1770
you,1384
with,1311
had,1305
as,1163
her,1043
at,1034
him,976
for,961
on,927
not,855
is,821
be,766
have,743
were,661
said,661
but,659
my,655
mr,622
so,593
there,577
by,575
they,562
all,555
this,554
no,543
me,527
from,514
if,461
she,459
out,449
been,440
when,439
one,438
which,421
them,399
who,377
what,375
or,364
an,347
would,343
lorry,339
your,330
into,319
up,318
their,317
are,314
do,300
will,290
upon,289
man,284
could,282
little,267
time,267
more,264
now,262
then,257
hand,251
down,241
miss,233
before,231
know,231
some,229
again,228
two,226
any,224
am,224
himself,222
its,220
night,219
good,217
very,217
than,216
like,214
day,197
see,197
looked,195
long,194
never,194
doctor,193
madame,192
old,188
face,187
made,186
way,185
much,185
these,185
here,185
over,180
head,179
other,179
well,179
such,178
we,170
say,168
eyes,165
did,162
about,161
great,161
father,161
own,160
through,159
how,159
life,158
come,158
where,158
nothing,151
pross,150
has,149
carton,149
might,144
under,142
many,142
came,141
look,141
go,139
people,138
door,138
after,138
should,137
last,135
back,135
being,134
away,134
business,134
don't,134
another,133
even,127
three,127
looking,127
may,127
young,127
dear,123
think,123
every,122
mind,122
can,122
wine,121
only,121
yes,120
ever,119
turned,119
first,118
too,118
monsieur,117
prisoner,115
seen,114
hands,113
place,112
put,111
those,110
cruncher,110
yet,109
went,109
took,109
us,108
let,108
among,107
house,107
jerry,106
without,105
always,105
monseigneur,104
name,104
our,102
left,102
sir,101
must,101
still,100
though,100
off,99
sat,99
charles,98
done,98
shall,98
until,98
while,96
wife,96
stood,93
light,92
room,92
tell,92
manner,92
men,91
take,90
better,90
dark,89
child,89
years,88
going,88
work,88
few,87
asked,87
poor,87
both,86
saw,86
knew,86
hope,84
voice,84
husband,84
far,82
make,82
got,82
brought,80
once,79
returned,79
same,79
marquis,79
words,77
against,77
friend,76
prison,76
streets,76
taken,74
side,74
moment,74
heart,74
sydney,73
most,72
having,72
enough,71
half,71
why,71
whom,70
gentleman,70
gone,70
woman,69
lay,68
air,68
street,68
word,68
shop,67
things,67
passed,67
dead,67
death,66
round,65
quite,65
strong,65
within,64
between,64
arm,64
together,64
paris,63
heard,63
hair,63
stopped,62
thought,62
towards,62
daughter,62
get,61
found,61
ask,61
citizen,61
myself,60
seemed,60
spy,60
fire,59
france,59
corner,59
home,59
speak,59
something,58
known,58
women,58
hour,58
love,56
red,56
saint,56
roads,55
anything,55
hold,55
soon,55
held,55
faces,54
coach,54
behind,54
window,53
answered,53
alone,53
low,53
morning,53
state,52
laid,52
court,52
called,52
answer,52
bed,52
new,52
struck,52
fellow,51
times,51
close,51
road,51
bank,51
hear,51
lady,51
question,51
breast,51
carriage,51
stone,51
village,51
days,50
general,50
paper,50
set,50
coming,50
keep,50
right,50
brother,50
five,49
knitting,49
itself,49
high,49
thing,49
opened,49
arms,49
hard,49
four,48
usual,48
open,48
began,48
mender,48
almost,47
believe,47
case,47
english,46
cried,46
perhaps,46
show,46
lips,46
whose,46
give,46
french,45
chapter,45
carried,45
wall,45
find,45
told,45
rather,44
near,44
feet,44
kept,44
indeed,44
world,44
dropped,44
repeated,44
guard,43
rest,43
along,43
walked,43
sound,43
bad,43
mother,43
whether,43
vengeance,43
sight,42
secret,42
hundred,42
hill,42
because,42
small,42
just,42
true,42
lost,42
table,42
yourself,42
since,42
figure,42
fell,42
short,41
present,41
herself,41
already,41
taking,41
often,41
moved,41
live,41
part,41
observed,41
doubt,41
best,40
horses,40
quiet,40
kind,40
does,40
spoke,40
crowd,40
fountain,40
england,39
less,39
heavy,39
boy,39
sure,39
end,39
chair,39
cannot,39
leave,39
sea,38
large,38
heads,38
o,38
slowly,38
water,38
black,38
hours,38
country,37
whole,37
city,37
matter,37
nor,37
heaven,36
year,36
across,36
want,36
next,36
sun,36
remember,36
second,35
blood,35
it's,35
care,35
help,35
mean,35
courtyard,35
silence,35
making,34
morrow,34
read,34
