word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.07%,a,6.67%,his,3.16%
a,little,3.29%,man,2.31%,few,1.66%
of,the,23.45%,his,5.48%,a,5.18%
two,of,4.93%,or,3.59%,hands,3.14%
the,prisoner,1.08%,doctor,1.02%,door,0.96%
first,time,7.69%,to,4.27%,of,3.42%
to,the,11.58%,be,8.1%,him,3.2%
life,and,12.1%,was,7.64%,to,5.73%
i,am,10.79%,have,10.63%,know,3.7%
night,and,11.42%,when,5.48%,he,4.57%
wine,shop,42.98%,and,14.05%,had,4.13%
shop,keeper,7.46%,in,5.97%,was,5.97%
years,and,10.23%,ago,10.23%,of,9.09%
people,who,8.03%,in,5.11%,and,5.11%
monseigneur,had,7.69%,was,6.73%,in,5.77%
in,the,27.92%,a,9.49%,his,9.45%
head,and,9.55%,of,6.18%,in,5.62%
no,more,7.38%,one,4.61%,other,3.87%
still,the,9.09%,in,6.06%,looking,4.04%
one,of,21.1%,another,6.42%,and,3.44%
an,hour,6.63%,old,4.9%,english,2.88%
fire,and,20.34%,a,8.47%,the,6.78%
at,the,28.9%,his,6.8%,him,5.42%
door,and,15.94%,of,10.14%,he,5.07%
hand,and,10.76%,to,7.17%,in,6.37%
made,a,11.29%,the,10.75%,it,5.38%
done,to,7.14%,with,7.14%,i,6.12%
out,of,33.33%,the,7.61%,and,4.7%
for,the,16.42%,a,7.89%,it,5.79%
ever,been,5.88%,since,4.2%,and,3.36%
it,was,15.94%,is,11.42%,and,3.82%
was,a,9.36%,the,6.41%,not,5.56%
times,as,9.8%,it,5.88%,and,5.88%
light,of,25.56%,and,13.33%,from,4.44%
hope,of,10.98%,you,9.76%,to,7.32%
we,have,16.47%,are,14.71%,were,5.88%
had,been,15.17%,not,4.06%,a,3.45%
before,the,18.61%,him,15.58%,it,6.49%
us,and,9.35%,the,4.67%,have,3.74%
nothing,but,8.67%,to,8.0%,of,8.0%
were,not,4.26%,in,3.8%,all,2.74%
all,the,17.9%,this,3.25%,that,2.71%
going,to,39.77%,out,7.95%,on,5.68%
other,passengers,2.79%,and,2.79%,in,2.23%
way,to,11.41%,of,10.87%,and,7.07%
so,much,9.39%,far,3.75%,i,2.73%
far,from,14.63%,off,9.76%,as,7.32%
like,a,32.54%,the,11.96%,an,3.83%
that,he,9.67%,i,7.08%,the,6.71%
some,of,8.3%,other,3.93%,few,2.62%
its,own,5.91%,being,1.36%,nature,1.36%
on,the,35.84%,his,10.46%,a,5.23%
being,a,6.72%,in,3.73%,so,3.73%
good,night,7.41%,day,6.94%,republican,3.24%
or,two,6.91%,a,3.59%,the,3.31%
only,one,8.26%,the,6.61%,to,4.96%
there,was,22.61%,is,11.83%,were,8.0%
with,a,17.24%,the,15.24%,his,9.62%
and,the,6.76%,a,2.27%,i,1.89%
face,and,11.83%,of,6.45%,to,4.84%
