word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,him,2.27%,and,2.27%,it,1.75%
a,in,8.36%,with,7.61%,of,6.96%
of,out,3.73%,one,2.3%,mender,1.13%
two,the,25.0%,or,11.36%,and,4.55%
the,of,11.58%,in,9.04%,to,5.11%
charles,said,6.19%,mr,4.12%,that,4.12%
first,the,50.0%,at,12.71%,i,3.39%
to,as,2.04%,him,1.78%,and,1.58%
life,his,14.65%,my,11.46%,to,8.92%
i,that,7.17%,and,5.03%,but,3.1%
night,the,30.14%,to,15.53%,last,9.59%
wine,the,46.09%,of,17.39%,thin,3.48%
shop,wine,77.61%,the,7.46%,his,4.48%
years,many,10.23%,of,9.09%,eighteen,7.95%
people,the,35.04%,of,16.79%,these,3.65%
monseigneur,of,20.39%,and,6.8%,with,3.88%
in,and,2.42%,it,2.34%,him,2.22%
head,his,38.51%,her,14.94%,the,10.34%
fellow,the,19.61%,a,13.73%,my,5.88%
no,had,7.25%,have,5.95%,was,5.39%
still,and,11.34%,was,6.19%,but,5.15%
one,no,5.79%,of,5.79%,the,3.7%
an,with,10.43%,of,9.86%,in,5.22%
fire,the,37.29%,of,10.17%,a,5.08%
at,looked,5.46%,look,3.61%,looking,2.54%
door,the,56.2%,his,5.84%,a,3.65%
hand,his,31.47%,her,10.76%,your,6.37%
made,he,13.11%,have,7.1%,had,6.56%
done,have,18.37%,was,14.29%,be,12.24%
out,went,4.45%,him,3.34%,came,2.0%
for,and,1.88%,it,1.78%,him,1.78%
ever,for,15.13%,and,5.04%,it,5.04%
it,that,4.37%,of,4.17%,if,3.62%
was,it,18.57%,he,10.99%,there,7.52%
times,of,9.8%,those,9.8%,many,9.8%
light,the,40.66%,a,12.09%,of,8.79%
hope,i,42.86%,the,8.33%,of,5.95%
we,that,8.43%,and,6.02%,when,3.61%
had,he,21.99%,who,6.46%,they,5.36%
before,as,2.62%,lay,1.75%,was,1.75%
us,let,14.81%,of,12.04%,among,5.56%
nothing,was,6.0%,had,4.67%,is,4.67%
were,they,13.94%,there,7.04%,you,5.51%
all,at,6.9%,and,6.9%,of,6.53%
going,am,17.24%,were,6.9%,are,5.75%
other,the,27.93%,no,11.73%,any,7.26%
way,his,18.48%,the,17.39%,that,3.26%
so,was,9.03%,and,5.62%,is,4.09%
far,so,27.16%,not,8.64%,a,4.94%
like,was,4.74%,the,3.32%,him,2.84%
that,and,4.2%,in,2.81%,of,2.76%
some,with,6.61%,in,5.29%,of,4.85%
its,in,15.45%,of,12.27%,with,7.27%
on,him,2.28%,go,2.17%,and,1.84%
being,of,20.45%,his,5.3%,from,3.79%
good,a,17.37%,the,6.57%,and,5.63%
or,two,2.22%,hour,1.94%,fraternity,1.94%
only,the,15.13%,not,14.29%,was,5.04%
there,that,6.28%,and,4.71%,is,2.27%
with,and,3.58%,him,2.41%,it,2.26%
and,him,1.87%,it,1.57%,up,1.02%
face,his,29.95%,the,13.9%,her,7.49%
france,in,28.81%,of,23.73%,to,11.86%
both,they,13.95%,of,11.63%,in,5.81%
than,more,18.6%,better,6.98%,rather,3.26%
state,the,23.08%,a,9.62%,of,7.69%
things,all,16.42%,these,14.93%,such,8.96%
our,of,20.59%,in,5.88%,for,5.88%
as,it,2.79%,and,2.7%,him,2.44%
this,of,10.75%,in,9.29%,to,6.19%
her,of,9.13%,to,7.5%,in,5.77%
whom,to,23.88%,of,11.94%,with,5.97%
up,looked,5.66%,got,3.77%,walking,2.83%
even,and,11.9%,not,10.32%,or,3.17%
been,had,45.0%,have,30.23%,has,6.59%
laid,had,13.73%,he,13.73%,she,11.76%
round,spun,6.15%,a,4.62%,and,4.62%
after,and,5.97%,him,2.99%,looking,2.99%
very,a,16.74%,was,9.3%,the,4.65%
last,the,38.52%,at,16.3%,his,4.44%
come,to,16.13%,had,9.03%,have,8.39%
from,it,2.54%,him,2.34%,far,2.34%
which,in,7.69%,with,5.05%,of,4.57%
have,i,27.64%,you,10.3%,to,10.03%
more,no,15.15%,once,5.68%,and,5.68%
any,in,6.85%,of,5.48%,had,5.02%
yet,and,13.76%,not,11.01%,was,4.59%
through,way,5.7%,and,5.06%,him,4.43%
down,and,10.83%,sat,7.08%,looking,4.58%
under,sat,2.84%,is,2.84%,you,2.13%
she,that,8.44%,and,6.22%,as,6.0%
such,with,7.91%,in,7.34%,of,6.21%
his,in,12.24%,of,10.84%,with,6.24%
hands,his,30.0%,her,12.73%,the,10.91%
off,far,8.08%,dropped,4.04%,set,4.04%
he,that,10.05%,as,8.13%,when,4.89%
not,was,11.54%,had,6.24%,is,5.3%
do,to,18.24%,i,16.22%,what,7.09%
passed,they,13.85%,he,12.31%,had,9.23%
within,was,4.69%,shadows,3.12%,one,3.12%
is,it,28.5%,there,8.43%,he,6.32%
enough,is,7.04%,had,4.23%,likely,2.82%
when,and,4.84%,him,3.23%,but,3.0%
put,and,13.08%,was,12.15%,he,11.21%
death,to,30.77%,of,12.31%,or,12.31%
be,to,37.53%,would,8.27%,will,6.43%
into,down,2.84%,him,2.84%,turned,2.84%
make,to,42.68%,you,8.54%,i,8.54%
paris,in,28.57%,of,19.05%,to,15.87%
day,the,21.83%,to,13.71%,every,8.63%
about,looking,5.03%,more,3.14%,of,2.52%
but,it,4.03%,him,2.17%,nothing,2.02%
though,as,13.0%,me,4.0%,and,3.0%
they,and,9.5%,that,9.32%,as,8.6%
work,his,15.91%,to,15.91%,her,7.95%
heard,had,18.03%,be,11.48%,he,11.48%
them,of,13.53%,to,7.52%,among,3.51%
went,and,25.47%,he,13.21%,they,12.26%
much,so,29.73%,too,9.73%,not,6.49%
men,the,18.68%,of,15.38%,these,4.4%
took,he,26.92%,and,15.38%,lorry,3.85%
place,the,17.12%,a,9.01%,his,5.41%
every,in,9.84%,at,6.56%,of,6.56%
go,to,17.39%,you,10.14%,i,9.42%
without,him,6.73%,night,1.92%,it,1.92%
their,in,14.2%,of,13.56%,with,4.73%
dark,the,26.14%,a,7.95%,and,7.95%
stopped,he,22.95%,they,4.92%,she,4.92%
him,to,11.58%,at,5.64%,of,3.89%
away,went,3.73%,far,2.99%,her,2.99%
three,the,21.78%,or,8.91%,of,4.95%
dead,the,11.94%,is,10.45%,were,7.46%
then,and,21.43%,him,3.97%,was,2.38%
got,had,13.92%,he,11.39%,and,6.33%
himself,to,10.45%,of,5.0%,with,2.73%
who,man,7.99%,and,4.68%,people,3.03%
among,in,3.77%,about,3.77%,is,3.77%
court,the,69.23%,of,5.77%,whole,5.77%
thought,i,20.0%,have,15.0%,he,13.33%
these,of,17.93%,all,7.07%,in,5.98%
now,and,5.49%,just,4.31%,was,4.31%
long,a,23.71%,the,6.7%,so,6.19%
taken,had,32.39%,been,12.68%,be,12.68%
came,and,9.49%,he,9.49%,they,6.57%
close,immovable,9.8%,and,5.88%,so,5.88%
upon,hand,3.47%,look,2.43%,down,2.43%
dear,my,43.9%,the,4.88%,oh,4.88%
old,the,30.85%,an,9.04%,of,6.91%
while,little,8.51%,a,4.26%,and,4.26%
those,of,17.27%,and,11.82%,in,10.91%
faces,stone,14.81%,of,11.11%,the,11.11%
did,he,16.46%,what,8.86%,i,8.23%
roads,of,80.0%,the,7.27%,dusty,1.82%
lay,to,14.93%,and,10.45%,he,10.45%
road,the,62.75%,his,5.88%,dover,3.92%
has,he,20.98%,it,13.29%,who,8.39%
business,of,26.87%,the,8.96%,my,6.72%
side,the,20.83%,his,11.11%,either,9.72%
once,at,22.37%,had,9.21%,him,5.26%
coach,the,62.96%,a,11.11%,mourning,7.41%
back,the,11.85%,come,10.37%,his,6.67%
are,you,32.15%,they,10.29%,we,8.04%
returned,he,7.89%,sir,3.95%,ah,3.95%
between,and,7.81%,pass,3.12%,divided,3.12%
if,as,26.59%,that,3.74%,and,2.86%
brought,and,14.1%,was,8.97%,have,7.69%
could,he,21.0%,i,12.1%,she,4.63%
might,he,12.06%,it,12.06%,i,9.93%
mind,his,33.61%,my,12.61%,the,6.72%
air,the,39.71%,an,8.82%,vacant,2.94%
another,one,21.05%,to,4.51%,was,4.51%
own,his,48.12%,her,13.12%,my,10.62%
few,a,56.32%,very,6.9%,some,6.9%
