word type,number
everything,507263
adult,29
hate,1
function,292538
normal,number
the,27405
and,18587
to,13365
of,12997
a,11492
i,10414
in,8534
that,7074
it,6945
he,6937
was,6819
his,6644
you,5419
with,4912
had,4827
as,4488
at,3822
for,3697
said,3463
on,3459
him,3393
my,3321
me,3236
her,3068
not,2886
have,2778
be,2719
but,2634
mr,2430
is,2333
by,2284
this,2228
were,2188
so,2096
all,2032
she,1961
which,1957
if,1955
when,1908
there,1907
no,1892
from,1816
they,1784
out,1735
what,1593
been,1580
up,1525
or,1520
one,1510
would,1439
into,1335
who,1290
an,1266
upon,1252
them,1216
do,1198
very,1187
we,1170
your,1106
could,1089
more,1076
now,1052
time,1041
man,1036
old,1018
then,989
some,988
little,979
are,968
know,966
down,948
their,894
again,889
before,868
come,823
will,805
than,794
good,785
like,772
hand,769
oliver,767
any,765
here,762
about,754
well,753
never,740
much,735
see,731
two,728
himself,718
joe,718
made,716
looked,712
don't,705
should,703
way,698
say,697
over,685
night,683
did,679
after,678
head,677
miss,664
back,654
how,646
great,644
other,637
its,636
am,636
being,635
dear,633
such,599
young,596
day,590
where,585
boy,577
eyes,575
might,572
door,570
replied,565
long,561
face,559
came,555
think,554
go,553
too,545
these,544
went,538
own,535
first,519
look,516
us,513
gentleman,512
only,511
away,502
room,501
house,488
put,485
looking,483
nothing,481
mrs,476
took,476
got,467
last,460
sir,458
off,458
hands,454
another,452
done,449
has,449
must,448
our,447
through,446
may,445
can,444
saw,438
without,437
thought,436
round,433
ever,428
going,425
life,422
mind,422
yes,422
take,420
while,406
place,404
even,403
under,397
many,395
left,392
once,391
let,387
make,387
quite,385
every,383
tell,382
same,375
still,369
having,367
bumble,366
asked,363
why,355
better,354
always,352
though,350
sikes,346
returned,345
knew,344
those,342
turned,341
cried,340
seen,339
lorry,339
sat,336
three,334
shall,332
light,331
most,330
it's,329
myself,328
people,326
pip,326
get,324
seemed,321
lady,317
name,317
yet,316
half,315
doctor,315
scrooge,314
fire,313
until,311
home,306
jew,301
something,299
stood,298
fagin,293
poor,292
heard,291
herbert,290
table,289
right,284
heart,282
side,282
moment,281
voice,279
both,279
child,278
words,273
found,270
enough,270
business,269
woman,268
few,268
brought,267
gone,266
girl,265
told,265
towards,264
pocket,264
between,261
manner,261
air,260
dark,260
rose,258
word,258
men,258
father,258
among,256
hope,255
taken,254
against,250
anything,242
far,241
morning,239
hear,239
rather,234
that's,234
whom,233
give,232
friend,232
just,229
biddy,228
passed,227
felt,226
chair,225
soon,225
together,224
new,223
street,223
began,222
whether,222
oh,219
indeed,216
open,215
behind,215
thing,213
lay,212
i'll,212
jaggers,211
keep,210
years,209
want,208
coming,208
bed,206
because,202
course,201
window,201
work,200
dead,199
times,198
gave,197
stopped,197
sister,195
low,194
part,194
madame,192
arm,191
next,190
held,190
best,187
speak,187
hair,187
mean,186
strong,182
within,180
set,179
hard,178
often,178
alone,177
small,177
wine,177
things,176
walked,176
question,176
short,175
corner,174
cold,174
death,174
water,172
taking,172
close,172
chapter,171
fell,171
love,170
ask,169
sure,169
hour,169
master,169
fellow,169
called,169
kind,168
near,167
large,166
days,165
state,164
case,163
white,163
hold,163
nor,162
almost,162
since,161
find,161
black,160
london,159
perhaps,158
em,157
five,157
mother,156
help,156
high,155
money,154
known,154
making,154
matter,153
wife,153
streets,153
eye,152
end,152
whole,152
leave,151
whose,150
turning,150
along,150
pross,150
person,149
believe,149
carton,149
kept,148
yourself,148
coach,147
appeared,146
answered,146
four,145
laid,143
wall,143
monks,142
world,142
spoke,142
opened,142
bad,142
full,141
ground,141
present,139
struck,139
arms,136
each,136
can't,135
show,135
gate,134
rest,134
prisoner,134
feet,134
ha,134
heavy,134
doubt,133
however,133
observed,133
shop,133
herself,132
inquired,132
answer,132
else,132
mine,132
spirit,131
you're,131
town,130
evening,129
already,128
red,128
noah,127
wish,127
pretty,127
ghost,127
road,126
walk,126
call,126
quiet,126
sound,125
women,125
repeated,125
less,124
reason,124
point,123
suppose,123
followed,123
became,122
company,122
read,122
length,122
sight,121
didn't,120
lost,120
ah,119
bill,119
prison,119
there's,118
true,118
care,117
country,117
i'm,117
ready,117
rejoined,117
monsieur,117
dodger,116
twenty,116
sometimes,116
turn,116
silence,116
appearance,116
glass,115
carried,115
o,115
strange,114
happy,114
certain,114
itself,114
lips,114
thus,114
giles,114
hat,113
faces,113
everything,113
till,112
won't,112
across,112
husband,111
charles,110
friends,110
oliver's,110
office,110
dinner,110
drew,110
afterwards,110
purpose,110
cruncher,110
nancy,109
raised,109
wanted,109
means,109
added,108
tears,108
slowly,108
says,108
paper,108
dropped,108
past,108
shook,107
standing,107
change,107
minutes,106
none,106
floor,106
book,106
above,106
really,106
jerry,106
secret,105
blood,105
hours,105
what's,105
stop,105
fear,105
bear,104
live,104
wouldn't,104
coat,104
family,104
shoulder,104
thoughts,104
monseigneur,104
either,103
ill,103
afraid,103
general,103
mouth,103
cannot,102
year,102
understand,102
dog,102
usual,102
figure,102
breast,101
stone,101
ran,101
public,100
morrow,100
used,100
tried,100
bring,100
deep,99
themselves,99
subject,98
sitting,98
exclaimed,98
fast,98
christmas,98
dress,97
stairs,97
although,96
cry,96
clothes,96
remember,96
court,96
does,96
nature,95
putting,95
ain't,95
he's,95
candle,94
ma'am,94
village,94
bates,94
account,93
children,93
tone,93
attention,93
saying,93
instant,93
shut,93
circumstances,92
happened,92
feel,92
given,92
least,92
ago,92
others,92
iron,91
occasion,91
wind,91
bank,91
couldn't,90
closed,90
second,90
suddenly,90
common,89
nobody,89
idea,89
entered,89
god,89
late,89
also,89
use,88
led,88
scarcely,88
top,88
straight,88
expression,88
forward,88
pursued,88
die,87
church,87
boys,87
gentlemen,87
you'll,87
getting,86
beadle,86
remained,86
pale,86
seeing,86
doing,86
beyond,86
windows,86
sleep,85
breakfast,85
outside,85
daughter,85
noise,85
letter,85
conversation,84
power,84
lying,83
received,83
deal,83
forth,83
