word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.32%,a,6.23%,his,2.93%
an,hour,5.39%,old,4.72%,air,4.27%
great,expectations,5.0%,aunt,5.0%,coat,3.0%
there,was,25.8%,were,8.31%,and,6.71%
is,a,9.27%,the,7.11%,it,6.34%
another,and,4.4%,i,3.77%,in,3.77%
of,the,19.26%,his,5.34%,my,5.16%
this,was,7.24%,is,6.43%,time,3.89%
from,the,29.58%,his,6.51%,a,5.46%
a,little,4.0%,man,1.42%,very,1.42%
chapter,to,3.92%,i,1.96%,ii,1.96%
i,had,9.77%,was,7.83%,have,3.56%
my,sister,5.96%,own,4.02%,mind,2.42%
name,of,15.97%,was,11.76%,and,7.56%
and,i,6.81%,the,4.41%,that,2.8%
could,not,22.82%,have,11.0%,be,5.81%
make,a,10.69%,it,10.06%,out,5.66%
both,of,10.61%,hands,7.58%,his,6.06%
nothing,of,14.2%,to,13.07%,in,5.68%
or,two,6.1%,a,3.77%,the,3.77%
more,than,12.41%,and,4.71%,of,4.47%
than,i,15.03%,the,6.99%,that,5.59%
pip,said,16.31%,i,9.23%,and,8.0%
so,much,7.86%,i,5.58%,that,3.55%
called,to,14.29%,me,14.29%,out,7.94%
myself,to,8.55%,and,7.69%,i,6.84%
came,to,16.17%,in,8.51%,out,7.23%
to,be,8.63%,the,8.16%,me,5.69%
be,a,6.56%,done,3.03%,so,2.25%
as,i,15.34%,if,15.17%,he,6.67%
on,the,30.21%,my,7.3%,his,5.96%
the,fire,1.27%,same,1.24%,old,1.07%
his,head,4.32%,hand,3.35%,own,2.43%
sister,was,7.84%,and,5.23%,had,5.23%
mrs,joe,39.22%,pocket,30.72%,hubble,7.84%
who,had,17.58%,was,14.55%,were,3.03%
never,seen,8.39%,been,5.16%,saw,2.9%
saw,him,14.57%,the,13.77%,that,12.15%
father,and,11.32%,was,7.55%,for,5.66%
any,one,10.11%,other,5.24%,of,3.0%
them,and,9.84%,to,4.64%,in,3.55%
for,the,13.93%,a,9.46%,me,6.09%
their,own,4.02%,hands,2.3%,heads,2.3%
days,of,12.9%,and,9.68%,when,9.68%
were,not,4.44%,a,3.43%,the,3.3%
long,time,11.56%,ago,7.51%,after,6.36%
before,i,16.99%,the,13.07%,me,8.17%
first,time,8.5%,i,5.0%,of,3.5%
what,i,16.69%,he,5.88%,you,5.41%
they,were,17.83%,had,12.53%,are,5.01%
like,a,33.75%,the,10.84%,to,6.81%
gave,me,43.81%,it,13.33%,him,7.62%
me,and,8.25%,to,6.84%,that,4.83%
idea,of,25.49%,that,17.65%,and,5.88%
that,i,19.01%,he,9.76%,the,5.51%
he,had,12.66%,was,11.84%,would,3.45%
was,a,9.51%,not,5.39%,the,3.94%
dark,and,14.08%,passage,5.63%,i,5.63%
man,who,8.85%,and,6.56%,with,4.92%
with,a,17.69%,the,13.33%,his,7.81%
black,and,6.17%,velvet,6.17%,darkness,3.7%
hair,and,26.58%,of,5.06%,on,3.8%
five,and,16.98%,minutes,15.09%,hundred,11.32%
little,while,4.62%,britain,4.35%,child,2.99%
about,the,14.73%,it,6.9%,him,6.58%
half,a,17.76%,past,8.41%,an,5.61%
which,i,22.28%,was,10.13%,he,7.55%
in,the,26.18%,a,11.07%,his,6.27%
mine,and,22.06%,but,4.41%,to,2.94%
up,and,12.6%,to,10.8%,the,6.55%
get,out,7.79%,him,6.49%,the,6.49%
am,not,10.33%,glad,7.02%,i,6.61%
had,been,13.16%,a,5.41%,not,3.49%
all,the,16.78%,i,3.96%,my,3.41%
been,a,5.94%,in,5.45%,the,3.14%
hands,and,18.78%,with,8.29%,in,7.18%
taken,up,7.14%,to,7.14%,it,5.1%
out,of,32.1%,and,5.37%,at,4.09%
state,of,50.0%,that,5.88%,parlor,5.88%
down,to,13.73%,the,11.76%,and,8.68%
river,and,8.62%,i,6.9%,side,6.9%
within,a,22.81%,the,12.28%,me,8.77%
most,of,7.5%,dismal,4.17%,likely,3.33%
things,that,11.11%,i,9.26%,in,5.56%
have,been,17.81%,you,3.9%,a,3.62%
towards,the,25.61%,me,25.61%,it,6.1%
evening,and,8.96%,when,8.96%,to,7.46%
at,the,25.48%,me,11.04%,his,4.09%
such,a,32.47%,an,5.15%,as,4.64%
time,and,11.11%,i,7.86%,to,7.59%
found,that,11.81%,the,10.42%,myself,9.72%
certain,that,11.76%,man,3.92%,i,3.92%
place,and,13.38%,of,8.45%,i,7.75%
it,was,17.82%,and,5.21%,is,4.45%
marshes,and,11.54%,were,5.77%,with,5.77%
low,voice,10.0%,and,5.71%,in,4.29%
hold,of,22.03%,me,8.47%,on,6.78%
your,own,5.71%,sister,4.42%,opinion,2.08%
cried,my,15.79%,out,10.53%,mr,8.77%
voice,as,10.0%,and,10.0%,to,5.0%
among,the,52.0%,them,9.33%,those,4.0%
side,of,38.05%,and,14.16%,by,5.31%
keep,a,13.89%,him,9.72%,my,8.33%
still,in,5.81%,looking,5.16%,and,4.52%
you,are,5.38%,have,5.11%,know,4.97%
i'll,tell,21.18%,have,7.06%,put,5.88%
no,more,9.84%,doubt,4.69%,one,3.28%
old,chap,14.39%,man,4.56%,clem,4.56%
round,the,20.0%,and,11.11%,his,4.44%
head,and,16.38%,on,3.88%,to,3.45%
water,and,17.24%,side,8.62%,i,5.17%
don't,know,21.83%,you,17.25%,want,4.58%
sir,said,17.05%,i,13.95%,and,6.2%
do,you,24.51%,it,10.5%,not,6.13%
tell,you,42.38%,me,23.84%,him,11.92%
us,and,12.83%,to,4.91%,that,3.4%
said,i,20.1%,joe,9.97%,mr,9.89%
once,more,11.11%,and,5.88%,i,5.88%
give,me,32.56%,you,11.63%,him,9.3%
where,i,21.03%,the,14.36%,he,8.72%
our,way,3.1%,own,2.71%,old,1.94%
lay,on,9.59%,in,8.22%,there,6.85%
after,a,12.07%,that,6.9%,all,6.9%
looking,at,40.1%,round,4.69%,up,4.17%
moment,i,14.04%,of,10.53%,and,7.02%
turned,his,12.64%,and,8.05%,to,6.9%
but,i,16.15%,he,5.48%,it,4.15%
when,i,35.94%,he,11.02%,we,9.18%
strong,and,7.14%,that,5.36%,hand,3.57%
made,a,13.0%,the,9.67%,me,9.67%
go,to,14.56%,home,8.81%,on,6.9%
over,the,18.68%,his,6.61%,her,6.23%
under,the,31.51%,a,10.96%,his,8.9%
say,to,10.07%,i,7.05%,that,7.05%
high,street,17.86%,shouldered,7.14%,as,7.14%
while,i,21.24%,he,11.92%,the,11.4%
young,man,18.54%,gentleman,13.25%,lady,7.95%
got,up,10.97%,into,8.86%,a,6.33%
believe,that,22.41%,it,13.79%,you,6.9%
though,i,26.43%,it,10.71%,he,10.0%
years,and,15.79%,ago,7.02%,of,7.02%
not,to,5.64%,be,3.85%,have,3.57%
if,i,22.49%,he,17.1%,you,15.04%
hope,that,11.63%,i,9.3%,of,8.14%
held,the,11.25%,out,7.5%,it,7.5%
put,it,13.88%,the,13.47%,on,6.12%
upon,the,20.99%,me,12.98%,my,11.05%
now,and,8.67%,i,8.44%,said,4.0%
here,and,9.16%,i,8.4%,is,5.34%
stopped,and,11.43%,in,10.0%,to,7.14%
looked,at,35.91%,about,4.64%,as,3.72%
shoulder,and,18.52%,i,11.11%,as,7.41%
that's,the,13.41%,what,10.98%,a,9.76%
coming,back,11.0%,to,11.0%,up,9.0%
back,to,14.52%,and,9.96%,of,8.71%
yes,i,16.87%,said,10.84%,sir,6.63%
him,and,8.36%,to,5.99%,i,4.4%
too,much,13.44%,and,5.38%,i,3.23%
then,i,9.66%,he,7.36%,said,4.83%
you're,a,30.19%,not,9.43%,right,7.55%
let,me,28.68%,him,14.73%,us,8.53%
mind,i,10.06%,that,5.66%,was,5.66%
times,and,11.96%,as,9.78%,i,6.52%
took,the,12.4%,it,9.09%,up,8.26%
far,as,20.65%,from,13.04%,more,7.61%
eyes,and,15.56%,on,7.22%,were,5.56%
into,the,38.65%,a,13.7%,my,8.18%
question,of,7.41%,whether,7.41%,and,4.94%
being,so,4.58%,a,4.58%,in,3.05%
whether,i,25.71%,it,10.48%,he,10.48%
know,what,9.95%,that,8.9%,it,6.81%
again,and,21.75%,i,4.8%,with,3.11%
heart,and,12.09%,to,8.79%,i,6.59%
would,have,17.25%,be,15.24%,not,6.37%
its,being,6.62%,place,3.31%,other,2.65%
own,mind,3.66%,room,3.66%,hands,2.62%
went,on,19.66%,to,13.79%,out,13.1%
these,words,6.38%,were,4.26%,things,3.55%
morning,i,16.87%,and,15.66%,in,3.61%
word,of,14.77%,or,6.82%,as,5.68%
having,been,16.56%,a,3.97%,the,3.97%
seen,him,9.66%,her,6.9%,the,5.52%
person,to,10.53%,in,8.77%,from,5.26%
shall,be,25.49%,i,7.84%,not,5.88%
words,that,10.26%,and,8.97%,i,6.41%
how,i,7.04%,it,5.99%,much,5.63%
ain't,a,18.87%,it,15.09%,so,5.66%
alone,and,7.84%,in,5.88%,you,3.92%
may,be,26.06%,i,11.52%,have,9.09%
think,of,16.18%,i,13.28%,it,8.71%
speak,to,33.96%,of,15.09%,when,5.66%
has,been,15.79%,a,5.26%,never,5.26%
himself,to,8.47%,and,7.91%,with,6.21%
boy,and,11.21%,i,7.48%,said,6.54%
door,and,19.18%,i,6.85%,to,6.16%
bed,and,15.28%,i,9.72%,was,6.94%
will,be,17.24%,you,12.07%,not,8.62%
way,of,13.24%,to,9.93%,and,6.25%
open,and,17.5%,to,7.5%,country,5.0%
present,moment,6.06%,occasion,4.55%,of,4.55%
find,that,12.9%,it,9.68%,a,9.68%
hard,at,16.95%,to,11.86%,and,11.86%
off,the,11.89%,and,7.03%,to,4.86%
come,to,20.16%,in,7.26%,back,6.18%
home,and,19.29%,to,7.14%,with,5.0%
good,night,6.69%,bye,6.3%,as,3.94%
night,and,18.93%,i,6.31%,of,4.37%
much,as,10.29%,to,5.79%,more,5.14%
same,time,9.84%,moment,5.74%,place,4.1%
together,and,13.41%,i,8.54%,but,6.1%
wall,and,15.69%,at,7.84%,of,7.84%
people,i,5.8%,in,5.8%,to,4.35%
look,at,38.66%,about,5.67%,out,5.67%
set,of,10.67%,the,9.33%,up,9.33%
face,and,15.76%,to,5.45%,that,5.45%
best,of,26.74%,to,5.81%,parlor,5.81%
going,to,44.58%,out,5.83%,on,4.58%
just,now,22.99%,as,10.34%,the,4.6%
nor,yet,14.81%,did,11.11%,was,7.41%
yet,i,16.39%,he,5.74%,been,4.1%
only,a,5.26%,to,3.51%,that,3.51%
two,or,8.33%,and,4.76%,men,3.57%
seemed,to,64.08%,quite,3.52%,in,2.82%
one,of,19.04%,another,6.41%,and,4.41%
thing,i,13.04%,to,13.04%,in,8.7%
near,the,29.69%,me,10.94%,it,4.69%
other,convict,4.15%,hand,3.11%,and,3.11%
some,of,4.97%,time,3.42%,one,3.42%
life,and,13.71%,i,8.06%,he,5.65%
thought,of,16.39%,i,10.92%,it,8.4%
see,him,11.61%,me,9.36%,you,8.61%
without,the,5.84%,a,4.55%,looking,3.9%
because,i,30.11%,it,12.9%,she,6.45%
she,had,12.99%,was,12.88%,would,3.5%
brought,up,19.61%,me,7.84%,you,7.84%
hand,and,14.13%,upon,7.43%,on,5.95%
her,and,4.45%,head,2.83%,hand,2.74%
well,said,9.33%,as,6.33%,and,5.33%
woman,and,18.97%,who,10.34%,was,8.62%
must,be,22.22%,have,21.72%,not,4.04%
joe,and,10.12%,i,6.01%,was,3.08%
very,well,7.54%,much,7.04%,little,3.02%
dear,boy,34.13%,joe,8.65%,old,7.69%
fellow,of,9.52%,and,7.94%,in,6.35%
always,a,4.62%,in,3.47%,was,2.89%
behind,the,20.55%,me,12.33%,it,6.85%
against,the,35.37%,her,6.1%,him,4.88%
reason,for,24.59%,to,19.67%,that,11.48%
why,i,13.22%,don't,6.61%,you,6.61%
should,have,20.86%,be,14.86%,not,6.0%
did,not,22.77%,i,10.56%,you,9.9%
every,one,11.46%,day,6.25%,now,4.17%
day,and,13.02%,i,7.44%,of,5.58%
joe's,back,3.64%,prentice,3.64%,i,3.64%
forge,and,19.61%,i,13.73%,was,7.84%
house,and,15.76%,in,5.43%,the,4.35%
many,a,9.89%,times,6.59%,hours,3.3%
kitchen,and,13.11%,fire,13.11%,door,9.84%
corner,and,17.65%,of,15.69%,at,5.88%
making,a,18.46%,the,15.38%,her,6.15%
fire,and,18.75%,with,5.56%,to,3.47%
between,the,18.18%,us,11.82%,them,9.09%
gone,and,8.77%,to,7.02%,by,5.26%
child,and,14.81%,i,7.41%,is,7.41%
last,night,11.89%,i,6.49%,he,3.24%
often,thought,6.82%,and,4.55%,to,4.55%
passed,through,11.59%,the,10.14%,into,5.8%
away,and,14.74%,from,14.74%,at,6.41%
since,i,22.73%,the,9.09%,you,6.82%
it's,a,23.53%,not,7.56%,no,5.04%
bad,side,9.62%,blood,5.77%,temper,3.85%
enough,to,29.58%,for,9.86%,of,7.04%
those,words,5.6%,days,4.0%,two,4.0%
indeed,i,16.67%,it,8.33%,and,6.67%
o,yes,14.29%,dear,7.94%,no,6.35%
kind,of,55.17%,and,6.9%,as,5.17%
we,were,12.5%,had,12.24%,went,6.18%
sat,down,31.62%,in,8.55%,with,6.84%
right,hand,10.66%,and,9.02%,said,6.56%
manner,and,9.68%,of,8.6%,in,5.38%
left,the,11.51%,me,10.07%,her,5.76%
felt,that,26.87%,as,10.45%,a,3.73%
something,to,7.75%,more,6.2%,of,5.43%
knew,that,12.14%,the,6.94%,it,6.94%
might,have,23.35%,be,19.38%,not,5.29%
quite,a,8.04%,as,4.52%,so,3.02%
through,the,37.5%,a,10.83%,my,9.17%
new,south,12.82%,clothes,7.69%,to,6.41%
done,and,10.43%,it,8.53%,with,5.69%
