word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.81%,up,3.68%,me,3.43%
an,with,12.84%,in,8.56%,of,6.53%
great,a,21.62%,the,17.84%,with,10.81%
there,and,8.81%,that,7.93%,but,3.67%
is,it,18.55%,he,7.7%,this,7.55%
another,one,20.0%,of,5.0%,is,5.0%
of,out,5.67%,one,2.15%,part,1.18%
this,of,8.2%,in,7.8%,to,4.44%
work,to,21.88%,her,7.81%,at,7.81%
from,away,4.0%,me,3.48%,far,2.09%
a,in,8.23%,with,7.64%,was,6.65%
chapter,him,4.76%,day,3.17%,it,3.17%
i,that,8.75%,and,7.46%,when,4.9%
my,of,10.98%,in,9.09%,to,5.1%
name,the,22.61%,my,13.04%,his,10.43%
being,of,14.57%,his,5.91%,my,5.12%
could,i,47.48%,he,9.45%,and,3.78%
make,to,46.54%,could,6.92%,and,5.66%
both,with,9.02%,we,7.52%,by,5.26%
nothing,was,7.43%,had,6.86%,said,5.14%
or,two,3.8%,it,2.54%,him,2.17%
more,no,15.63%,the,6.2%,once,4.22%
than,more,17.12%,better,6.85%,me,2.74%
pip,mr,24.28%,you,3.83%,it,2.56%
so,was,8.75%,and,7.1%,me,2.92%
called,i,16.13%,he,11.29%,had,8.06%
myself,to,9.44%,of,6.87%,for,6.01%
and,me,2.36%,it,1.99%,him,1.37%
came,i,11.64%,he,10.78%,we,9.05%
to,me,2.67%,going,2.1%,and,1.81%
be,to,42.48%,would,8.83%,should,5.04%
give,to,30.23%,would,8.14%,i,6.98%
on,went,4.07%,me,1.86%,it,1.71%
the,of,10.39%,in,9.67%,on,5.25%
his,of,12.61%,in,10.13%,with,7.33%
sister,my,79.87%,your,11.04%,poor,3.25%
mrs,and,14.02%,said,11.59%,to,5.49%
joe,said,17.73%,mrs,8.72%,and,5.09%
as,me,4.59%,and,3.54%,him,2.09%
never,had,17.8%,i,14.89%,he,7.12%
saw,i,62.4%,and,7.2%,he,6.8%
father,my,41.51%,her,18.87%,his,16.98%
any,of,5.97%,at,5.6%,by,4.1%
them,of,10.63%,at,4.09%,put,3.81%
for,me,3.08%,it,2.05%,but,2.05%
their,of,11.43%,with,9.71%,in,9.71%
days,the,19.67%,those,8.2%,three,8.2%
were,we,12.12%,they,8.16%,it,8.04%
long,a,25.58%,so,10.47%,how,8.72%
before,me,3.62%,it,3.29%,stood,2.96%
first,the,34.0%,at,13.0%,my,6.5%
what,and,6.2%,know,6.04%,but,3.18%
they,and,9.19%,if,8.64%,that,8.08%
like,you,4.92%,was,4.62%,should,3.38%
gave,he,21.7%,and,14.15%,she,9.43%
me,to,14.52%,at,8.94%,for,4.17%
idea,the,27.45%,no,9.8%,an,3.92%
that,and,6.61%,me,3.24%,of,2.7%
he,that,13.15%,and,6.97%,if,6.1%
was,i,18.3%,it,17.14%,he,9.48%
dark,the,25.35%,a,14.08%,after,8.45%
man,the,23.53%,a,18.63%,young,9.15%
with,me,4.12%,and,3.37%,him,1.92%
black,a,20.73%,the,12.2%,of,6.1%
hair,my,15.19%,the,11.39%,his,10.13%
five,about,7.41%,at,7.41%,times,7.41%
little,a,43.4%,the,7.28%,my,3.77%
about,looked,4.69%,all,4.06%,look,3.44%
half,a,14.29%,was,5.71%,i,4.76%
which,in,7.66%,with,5.61%,of,5.23%
in,was,2.38%,me,2.25%,and,1.85%
mine,of,20.0%,in,10.0%,to,8.57%
who,man,8.77%,and,7.14%,one,3.57%
up,it,5.13%,got,4.3%,me,3.31%
get,to,49.67%,you,7.19%,and,6.54%
am,i,93.36%,how,0.83%,who,0.83%
had,i,30.82%,he,13.67%,and,5.63%
all,at,8.74%,of,5.33%,and,5.19%
been,had,45.16%,have,31.53%,having,4.11%
hands,his,23.46%,her,14.53%,my,13.97%
taken,had,35.35%,was,11.11%,be,11.11%
out,went,4.85%,it,4.21%,me,3.32%
state,a,19.12%,the,17.65%,my,4.41%
down,sat,10.36%,and,4.2%,me,3.08%
river,the,91.38%,moving,1.72%,a,1.72%
within,from,3.51%,just,3.51%,was,3.51%
most,a,26.02%,the,24.39%,and,5.69%
things,all,12.96%,of,11.11%,these,9.26%
have,i,21.14%,to,13.94%,you,10.25%
towards,turned,5.62%,on,3.37%,was,3.37%
evening,the,26.87%,an,11.94%,that,11.94%
at,looked,7.14%,looking,4.74%,look,4.62%
such,of,7.73%,with,6.7%,in,6.19%
time,the,17.96%,that,8.58%,this,7.77%
found,i,44.52%,we,10.27%,and,8.22%
certain,a,49.02%,for,7.84%,at,7.84%
place,the,16.9%,my,7.04%,a,4.23%
it,that,4.99%,of,4.92%,and,2.84%
marshes,the,71.15%,misty,3.85%,our,3.85%
low,a,28.17%,the,12.68%,was,7.04%
hold,to,23.73%,could,5.08%,you,5.08%
your,of,9.61%,in,5.97%,to,5.19%
cried,i,19.3%,she,5.26%,he,3.51%
