word type,number
everything,158360
adult,16
hate,1
function,86762
normal,number
the,9631
and,5429
to,3961
of,3878
a,3785
he,2401
in,2386
his,2356
that,1844
was,1786
it,1726
i,1664
you,1616
with,1572
as,1322
said,1232
had,1224
for,1157
mr,1081
him,1068
at,995
on,947
which,889
this,804
her,787
not,786
by,784
be,776
oliver,767
have,763
is,731
but,729
they,680
from,631
all,610
if,603
me,600
no,588
so,588
she,558
were,555
there,515
who,513
my,510
up,502
or,501
when,496
very,494
what,486
upon,479
been,464
into,464
replied,464
one,461
old,448
out,414
would,413
some,395
an,392
do,381
man,376
them,367
bumble,366
more,354
sikes,346
your,335
time,333
are,322
gentleman,313
their,301
jew,296
will,295
fagin,293
know,293
boy,291
young,289
down,284
now,281
little,277
dear,277
here,271
himself,270
before,269
mrs,265
could,263
come,255
again,253
then,251
great,247
back,247
good,245
well,245
don't,244
than,243
door,238
any,232
other,229
over,227
head,226
after,225
girl,223
about,221
night,219
see,213
two,213
way,213
lady,211
sir,210
we,208
hand,205
too,204
eyes,204
rose,203
much,202
being,200
say,195
room,195
only,193
where,192
never,192
away,189
should,188
these,188
such,188
made,187
cried,182
face,175
like,170
first,169
can,168
house,165
long,165
think,165
did,164
has,162
how,160
might,160
look,160
looked,160
without,155
round,153
same,151
take,147
looking,143
it's,142
once,142
monks,139
off,139
many,138
day,138
oh,136
own,136
its,135
go,134
came,133
having,130
place,128
may,128
let,128
left,128
noah,127
got,127
must,127
am,126
through,126
make,126
every,125
another,124
hands,124
why,124
tell,123
even,122
turned,121
most,120
mind,120
doctor,120
nothing,119
better,118
woman,118
dodger,116
yes,116
shall,116
life,114
giles,114
done,113
few,112
voice,112
took,112
child,111
half,111
inquired,111
oliver's,110
hear,110
nancy,109
asked,109
that's,109
us,109
put,108
thought,107
words,107
master,107
last,105
enough,105
seemed,105
table,104
rejoined,104
get,103
under,102
bill,102
three,101
men,100
heard,100
right,99
returned,99
poor,98
something,98
sat,96
still,96
went,95
indeed,95
people,95
morning,95
towards,94
quite,94
while,94
those,94
bates,94
heart,93
light,93
chair,91
word,88
ever,87
side,86
street,86
just,86
ha,86
beadle,85
friend,85
em,84
give,83
new,82
going,82
rather,82
small,82
home,82
charley,82
against,81
i'll,81
name,79
brought,79
dark,79
saw,79
ma'am,79
short,78
yer,78
between,77
fire,77
moment,77
though,77
anything,76
passed,75
until,75
keep,74
taken,73
walked,73
turning,73
manner,73
gone,73
mean,72
our,72
air,72
want,72
dog,72
behind,70
speak,70
length,69
whether,69
window,69
open,69
cold,68
hat,68
almost,68
whom,67
hope,67
boys,67
till,67
close,67
together,66
white,66
seen,66
dead,65
water,65
large,65
course,64
knew,64
can't,64
full,64
chapter,63
matter,63
pocket,63
mother,63
fell,63
low,63
told,63
lay,62
twist,61
yet,61
stood,61
i'm,61
what's,61
toby,61
began,60
alone,60
next,60
death,60
nor,60
soon,60
harry,59
thing,59
hard,59
drew,59
you're,59
far,59
eye,58
won't,58
ground,58
matron,58
among,57
spoke,57
perhaps,57
part,57
taking,57
person,57
followed,57
felt,57
silence,57
exclaimed,57
always,56
tears,56
he's,56
gave,55
bed,55
stop,55
help,55
brittles,55
appeared,54
best,54
corner,54
sure,54
because,54
strong,54
found,53
stopped,53
both,53
fear,53
instant,53
care,52
although,52
women,52
kind,51
nobody,51
end,51
along,51
each,51
yourself,51
reply,51
near,50
london,50
within,50
hour,50
arm,50
charlotte,50
streets,50
business,49
happy,49
whose,49
there's,49
ah,49
years,49
making,49
friends,48
minutes,48
herself,48
deep,48
times,48
feet,48
heavy,48
public,47
deal,47
coat,47
ill,47
five,47
town,46
however,46
raised,46
opened,46
sound,46
led,46
love,46
noise,46
road,45
miss,45
already,45
cry,45
hold,45
leave,45
days,45
workhouse,44
world,44
hastily,44
set,44
drawing,44
didn't,44
companion,44
above,44
board,43
means,43
observed,43
sight,43
held,43
wish,43
candle,43
appearance,43
things,42
kept,42
money,42
die,42
floor,42
coming,42
countenance,42
themselves,42
called,42
find,42
eh,42
thus,42
whole,42
pale,41
known,41
book,41
suppose,41
fellow,41
bolter,41
conversation,40
blood,40
walk,40
purpose,40
forward,40
entered,40
bad,40
suddenly,40
glass,39
stranger,39
afterwards,39
waistcoat,39
undertaker,39
stairs,39
reached,39
question,39
thoughts,39
demanded,39
high,38
office,38
loud,38
died,38
afraid,38
show,38
forth,38
state,38
company,37
remained,37
arms,37
feel,37
often,37
less,37
closed,37
sleep,37
work,37
wall,37
i've,37
quiet,37
distance,36
none,36
twenty,36
gate,36
wouldn't,36
couldn't,36
hurried,36
run,36
faces,36
pretty,36
minute,36
lost,36
blathers,36
strange,35
fang,35
bear,35
talk,35
added,35
tone,35
laugh,35
carried,35
says,35
object,35
hair,35
shook,34
body,34
scarcely,34
you'll,34
attention,34
shop,34
send,34
struck,34
fast,34
chitling,34
parish,33
case,33
point,33
ten,33
upstairs,33
call,33
turn,33
ladies,33
number,33
breath,33
nodded,33
foot,33
subject,32
itself,32
nature,32
power,32
running,32
sometimes,32
nearly,32
outside,32
silent,32
crowd,32
past,32
laid,31
country,31
sitting,31
use,31
ready,31
red,31
shut,31
bumble's,31
black,31
mouth,31
passage,31
ran,31
worse,31
others,31
truth,31
barney,31
history,30
myself,30
fact,30
interposed,30
lips,30
four,30
hours,30
either,30
besides,30
ain't,30
pound,30
view,30
hung,30
given,30
repeated,30
slowly,30
step,30
fixed,30
laying,30
legs,30
quickly,30
softly,30
coach,30
former,29
read,29
need,29
green,29
effect,29
putting,29
able,29
ask,29
top,29
direction,29
violent,29
handkerchief,29
gentle,29
wot,29
stand,29
speaking,29
ago,29
heaven,29
spot,29
reason,29
books,29
further,28
happiness,28
common,28
possible,28
disposed,28
wanted,28
directly,28
you've,28
caught,28
gentlemen,28
spirits,28
interest,28
resumed,28
doing,28
threw,28
opposite,28
box,28
across,28
stopping,28
beneath,28
creature,28
neither,28
pace,28
answered,28
really,28
position,27
intelligence,27
certain,27
children,27
shaking,27
glad,27
placed,27
father,27
feeling,27
bread,27
rest,27
standing,27
least,27
since,27
trembling,27
straight,27
paper,27
laughed,27
change,27
true,27
glance,27
ear,27
thief,27
looks,26
during,26
bless,26
pray,26
burst,26
second,26
six,26
paupers,26
tea,26
evening,26
smile,26
immediately,26
officer,26
bring,26
cut,26
muttered,26
believe,26
does,26
scene,25
key,25
trouble,25
alive,25
couple,25
particular,25
anxious,25
morrow,25
sit,25
roused,25
nose,25
expression,25
else,25
grave,25
mine,25
game,25
lie,25
listened,25
surprise,25
bridge,25
return,25
boy's,24
pleasant,24
uttered,24
account,24
sudden,24
proceeded,24
story,24
church,24
months,24
drink,24
answer,24
raising,24
hush,24
clothes,24
cast,24
eat,24
whispered,24
blow,24
gentleman's,24
thrust,24
knees,24
dreadful,24
throat,24
he'll,24
isn't,24
broken,24
she's,24
sooner,24
houses,24
god,24
late,24
walking,24
wind,24
pursued,24
sweet,24
pointing,24
circumstances,23
rendered,23
except,23
breast,23
knows,23
cocked,23
opportunity,23
comes,23
seeing,23
quick,23
started,23
stone,23
desperate,23
pleasure,23
growled,23
shoulder,23
continued,23
they're,23
pockets,23
bell,23
soul,23
beautiful,23
cause,23
beyond,23
born,22
action,22
slight,22
worthy,22
artful,22
secret,22
doubt,22
age,22
necessary,22
latter,22
giving,22
cannot,22
garden,22
seat,22
year,22
piece,22
arrived,22
unless,22
devil,22
stick,22
gradually,22
hardly,22
certainly,22
front,22
wife,22
dirty,22
teeth,22
eagerly,22
weak,22
everything,22
watch,22
windows,22
alarm,22
pointed,22
impatiently,22
robber,22
sort,21
various,21
became,21
follow,21
heads,21
fresh,21
quarter,21
bottle,21
lying,21
week,21
worth,21
live,21
party,21
drop,21
early,21
anybody,21
sense,21
firmly,21
breakfast,21
pounds,21
darkness,21
feelings,21
present,21
retorted,21
several,21
fever,21
man's,21
moved,21
grew,21
pain,21
safe,21
earnest,21
watching,21
birth,20
justice,20
merry,20
matters,20
society,20
determined,20
brief,20
beer,20
expected,20
iron,20
received,20
rising,20
inside,20
goodness,20
hearted,20
astonishment,20
gold,20
used,20
please,20
understand,20
tried,20
thinking,20
bit,20
coffin,20
honour,20
passion,20
carry,20
kitchen,20
loss,20
mad,20
gently,20
mere,20
empty,20
whisper,20
shoulders,20
tom,20
steps,20
filled,20
duff,20
happened,19
longer,19
sent,19
locked,19
parlour,19
leaving,19
ought,19
suit,19
dressed,19
mercy,19
passing,19
paused,19
lad,19
notice,19
real,19
occasion,19
earth,19
perfectly,19
neck,19
ears,19
murder,19
opening,19
collar,19
hill,19
crossed,19
below,19
fine,19
wasn't,19
sake,19
save,19
robbery,19
watched,19
magistrate,18
free,18
order,18
consideration,18
accompanied,18
cane,18
smiled,18
condition,18
deeply,18
misery,18
seated,18
listen,18
trade,18
o'clock,18
family,18
saying,18
catching,18
become,18
remark,18
downstairs,18
bright,18
narrow,18
promise,18
somebody,18
merely,18
force,18
wrong,18
carefully,18
wine,18
different,18
previous,18
usual,18
talking,18
pity,18
clear,18
doors,18
asleep,18
showed,18
fro,18
law,18
strength,18
also,18
thick,18
lantern,18
chickweed,18
character,17
space,17
proof,17
apparently,17
female,17
joy,17
following,17
glancing,17
walls,17
frightened,17
spoken,17
knowing,17
wonder,17
ways,17
considered,17
he'd,17
pair,17
boots,17
worship,17
beat,17
drawn,17
gloomy,17
presented,17
smiling,17
haven't,17
fit,17
covered,17
awakened,17
danger,17
falling,17
starting,17
thank,17
attitude,17
changed,17
here's,17
living,17
inquiry,17
pot,17
grin,17
thieves,17
soft,17
dropped,17
lower,17
ditch,17
aunt,17
stains,17
getting,16
makes,16
stay,16
fond,16
interview,16
fagin's,16
satisfaction,16
dinner,16
resolved,16
miles,16
finding,16
spirit,16
forgotten,16
health,16
reflection,16
cap,16
wretched,16
pay,16
supper,16
play,16
twice,16
meanwhile,16
beg,16
opinion,16
supposed,16
yard,16
presence,16
sharp,16
afore,16
hot,16
pause,16
tongue,16
form,16
features,16
sick,16
effort,16
terror,16
crept,16
addressed,16
lady's,16
crowded,16
lose,16
cup,16
rain,16
violence,16
speed,16
wait,16
fields,16
turns,16
forced,16
feeble,16
dogs,16
sigh,16
violently,16
i'd,16
humour,16
brother,16
son,16
holding,16
hearts,16
pistol,16
shadow,16
contents,15
police,15
reader,15
lead,15
notwithstanding,15
considerable,15
difficulty,15
warm,15
greater,15
bestowed,15
telling,15
gin,15
increased,15
pride,15
bow,15
seem,15
lighted,15
grief,15
companions,15
sank,15
hadn't,15
solemn,15
general,15
dismal,15
smoke,15
aside,15
bar,15
delay,15
advanced,15
rage,15
perfect,15
pushed,15
paces,15
charity,15
chance,15
behaviour,15
stepped,15
prison,15
wholly,15
thrown,15
attempt,15
abroad,15
farther,15
bundle,15
fall,15
rapid,15
prepared,15
voices,15
touched,15
throwing,15
pass,15
easily,15
darted,15
break,15
assistance,15
yours,15
figure,15
acquainted,14
expedition,14
importance,14
flight,14
consequence,14
occurred,14
dying,14
lived,14
likely,14
eight,14
everybody,14
whatever,14
removed,14
waiting,14
idea,14
named,14
remain,14
agony,14
wide,14
ease,14
exercise,14
slow,14
wild,14
rushed,14
nice,14
apartment,14
it'll,14
reading,14
wished,14
description,14
