word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.75%,a,9.11%,his,4.62%
little,oliver,3.61%,room,3.61%,time,2.53%
oliver,twist,7.31%,had,4.83%,and,4.18%
twist,was,16.39%,the,8.2%,and,6.56%
or,the,6.22%,two,5.22%,three,3.01%
the,jew,2.93%,old,2.48%,girl,1.99%
i,have,7.36%,am,6.75%,know,4.13%
of,the,22.63%,his,6.97%,a,4.82%
place,and,12.5%,of,11.72%,in,5.47%
where,he,16.15%,the,11.46%,is,5.73%
was,a,7.82%,the,4.33%,not,4.0%
and,the,5.53%,a,2.91%,then,1.48%
his,head,4.89%,eyes,4.17%,hand,2.94%
how,he,10.0%,the,6.25%,to,5.0%
very,much,5.48%,good,3.04%,little,2.03%
a,little,2.69%,very,2.5%,few,2.31%
which,he,11.47%,the,7.31%,was,6.19%
would,have,19.22%,be,17.76%,not,5.35%
not,a,6.91%,to,4.35%,be,3.58%
have,been,15.92%,you,4.61%,done,4.21%
been,a,6.05%,the,4.1%,very,2.16%
being,a,7.5%,very,3.0%,the,2.0%
another,and,7.32%,word,6.5%,man,3.25%
first,time,7.69%,and,7.1%,that,3.55%
into,the,39.83%,a,18.4%,his,7.36%
life,and,15.79%,of,8.77%,i,6.14%
with,a,18.54%,the,14.65%,his,7.13%
new,comer,7.32%,friends,6.1%,associates,4.88%
going,to,51.22%,on,4.88%,away,3.66%
to,the,11.99%,be,6.1%,a,2.21%
for,the,20.49%,a,10.64%,some,3.84%
time,to,9.61%,and,7.21%,he,5.41%
he,had,14.15%,was,10.51%,could,3.64%
an,old,8.46%,instant,7.69%,hour,5.9%
noah,and,7.48%,dear,4.67%,had,3.74%
rather,too,6.17%,more,4.94%,out,3.7%
him,to,7.43%,and,6.87%,with,3.29%
on,the,34.26%,his,9.89%,a,4.68%
young,lady,18.37%,gentleman,11.31%,man,11.31%
gentleman,in,12.46%,who,5.75%,and,5.11%
old,gentleman,24.94%,lady,15.06%,man,6.97%
better,than,7.69%,not,7.69%,for,4.27%
at,the,27.3%,length,6.24%,once,5.32%
short,time,8.97%,pause,6.41%,of,6.41%
but,the,7.19%,i,5.53%,he,4.98%
chapter,in,3.77%,which,3.77%,i,1.89%
in,the,25.6%,a,13.81%,his,7.87%
this,is,6.13%,time,4.13%,was,3.88%
mr,bumble,48.25%,giles,11.99%,sikes,11.38%
is,a,9.94%,the,6.49%,it,6.22%
taken,the,6.85%,a,6.85%,up,6.85%
care,of,28.85%,for,19.23%,and,11.54%
than,he,8.64%,the,7.82%,a,4.53%
ever,will,4.6%,known,3.45%,have,3.45%
before,the,12.27%,him,10.78%,he,9.29%
some,time,6.6%,of,4.57%,other,3.05%
are,you,15.0%,not,6.56%,the,4.38%
whom,the,11.94%,he,10.45%,oliver,7.46%
oliver's,head,4.59%,history,3.67%,hair,3.67%
one,of,17.17%,and,3.91%,hand,3.26%
when,he,21.68%,the,14.52%,they,9.61%
went,on,13.68%,to,12.63%,out,7.37%
out,of,27.98%,and,7.54%,the,4.87%
