word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.32%,him,1.54%,up,1.29%
twist,oliver,91.8%,young,4.92%,t,1.64%
or,two,3.22%,one,1.61%,three,1.61%
the,of,9.1%,in,6.34%,to,4.92%
i,that,4.74%,and,4.13%,if,3.94%
of,out,2.98%,one,2.04%,part,0.88%
place,the,19.69%,this,6.3%,a,5.51%
where,and,4.28%,know,4.28%,room,3.74%
oliver,replied,6.71%,said,4.74%,that,4.21%
was,it,16.5%,he,14.33%,there,7.25%
and,him,1.37%,it,0.92%,up,0.92%
his,of,11.42%,in,7.94%,with,4.75%
how,and,8.92%,know,8.28%,think,2.55%
very,a,19.14%,the,13.85%,was,6.92%
a,in,8.72%,with,7.74%,of,4.94%
which,in,8.27%,of,6.57%,with,3.62%
would,he,15.82%,it,10.71%,i,9.49%
not,was,9.13%,had,5.66%,could,5.14%
have,i,15.96%,would,10.42%,you,8.05%
been,had,46.54%,have,26.19%,has,7.36%
being,of,11.11%,from,6.06%,and,4.04%
another,and,7.32%,in,7.32%,was,6.5%
first,the,42.01%,at,13.02%,very,5.92%
into,fell,3.02%,burst,3.02%,got,2.59%
life,the,10.71%,of,10.71%,my,8.04%
with,and,2.33%,him,2.26%,up,1.81%
new,a,20.73%,his,19.51%,the,14.63%
going,was,14.81%,a,12.35%,you,7.41%
to,him,2.01%,seemed,1.5%,up,1.35%
for,him,1.92%,it,1.92%,and,1.22%
time,the,10.84%,this,9.94%,some,7.83%
he,as,8.37%,that,8.07%,if,5.26%
an,with,10.0%,in,9.23%,for,6.15%
noah,said,20.0%,replied,11.2%,asked,4.8%
rather,would,11.25%,was,7.5%,a,5.0%
him,to,6.86%,of,4.14%,with,2.91%
on,him,1.91%,was,1.81%,go,1.59%
young,the,38.33%,a,9.41%,his,5.92%
gentleman,old,35.46%,the,26.2%,young,10.22%
old,the,53.14%,an,7.4%,his,4.26%
better,had,13.56%,the,12.71%,no,4.24%
at,look,3.05%,was,2.13%,and,1.73%
short,a,41.03%,very,8.97%,the,8.97%
but,nothing,1.96%,it,1.4%,reply,1.4%
chapter,last,4.76%,him,4.76%,them,4.76%
in,was,2.15%,gentleman,1.65%,and,1.6%
this,of,8.59%,in,7.97%,at,5.85%
mr,said,19.18%,replied,5.59%,of,3.82%
is,it,22.1%,he,9.53%,this,6.77%
taken,had,32.88%,been,9.59%,be,8.22%
care,take,19.23%,to,11.54%,don't,9.62%
than,more,17.28%,better,3.7%,worse,2.88%
ever,had,17.44%,for,6.98%,that,6.98%
before,than,3.35%,out,2.23%,him,2.23%
some,for,11.17%,of,7.36%,in,5.84%
are,you,20.06%,they,6.9%,there,6.9%
whom,of,14.93%,to,13.43%,with,10.45%
oliver's,of,20.0%,in,8.18%,to,6.36%
one,in,4.58%,on,3.7%,by,3.49%
when,and,7.14%,him,2.86%,night,2.04%
went,he,31.46%,they,14.61%,and,12.36%
out,and,2.91%,come,2.66%,him,2.18%
jew,the,94.59%,old,2.7%,young,1.01%
nancy,said,12.84%,miss,7.34%,replied,7.34%
were,they,15.27%,there,8.91%,you,5.45%
what,know,7.72%,and,5.43%,of,4.18%
after,and,7.34%,who,3.21%,day,1.83%
had,he,27.96%,who,9.02%,they,5.46%
great,a,29.15%,with,22.67%,no,6.88%
man,the,32.45%,a,15.43%,young,8.51%
passed,he,17.33%,they,13.33%,had,12.0%
over,all,4.41%,bending,3.08%,come,3.08%
sikes,mr,21.68%,said,17.34%,replied,8.38%
between,distance,5.19%,watch,5.19%,passed,3.9%
bumble,mr,86.89%,mrs,6.83%,replied,1.37%
lady,old,31.75%,young,24.64%,the,15.64%
that,and,4.38%,of,2.68%,in,2.13%
even,not,10.0%,and,9.17%,that,6.67%
beadle,the,67.47%,a,19.28%,that,3.61%
may,i,18.9%,you,18.11%,it,11.02%
be,to,31.33%,would,9.53%,will,6.01%
poor,the,17.35%,a,13.27%,this,9.18%
found,be,18.87%,they,11.32%,he,9.43%
fagin,said,15.81%,mr,8.93%,replied,8.25%
upon,hand,3.34%,down,2.09%,head,2.09%
many,for,12.32%,with,9.42%,great,7.97%
from,away,1.91%,far,1.91%,them,1.91%
done,have,28.32%,be,15.04%,had,6.19%
most,the,32.77%,a,10.92%,and,8.4%
has,he,24.38%,she,6.88%,who,6.25%
house,the,50.93%,public,11.8%,a,4.97%
thought,i,17.14%,he,16.19%,oliver,4.76%
began,he,18.97%,oliver,10.34%,and,6.9%
kind,the,23.53%,a,15.69%,his,5.88%
who,and,5.17%,man,5.17%,gentleman,3.72%
now,and,8.7%,it,5.07%,was,4.71%
harry,said,28.07%,to,5.26%,between,3.51%
rose,said,17.91%,replied,6.47%,and,3.48%
no,was,6.6%,no,6.42%,had,4.17%
its,of,15.56%,in,9.63%,to,5.93%
it,that,4.32%,of,3.39%,as,2.86%
should,i,27.57%,he,16.22%,you,7.03%
as,and,3.9%,but,1.68%,him,1.38%
last,the,27.62%,at,25.71%,and,2.86%
will,i,15.41%,you,12.67%,it,6.16%
mrs,said,18.77%,replied,7.66%,and,5.75%
monks,said,19.71%,replied,7.3%,asked,6.57%
their,of,15.28%,in,8.97%,to,6.98%
together,hands,12.31%,hours,6.15%,in,4.62%
come,to,11.11%,have,5.16%,you,4.76%
alone,left,11.86%,was,10.17%,him,6.78%
dodger,the,84.48%,artful,7.76%,jew,0.86%
got,he,11.11%,have,8.73%,you've,8.73%
her,of,7.37%,in,5.34%,to,4.7%
length,at,88.41%,full,7.25%,arm's,1.45%
more,no,9.63%,the,7.08%,and,7.08%
word,a,32.95%,the,21.59%,another,9.09%
night,the,20.55%,to,19.63%,good,9.13%
among,and,5.26%,that,3.51%,here,3.51%
other,the,46.72%,each,10.04%,some,5.24%
name,the,25.32%,my,13.92%,his,7.59%
there,and,8.13%,that,3.57%,him,2.38%
small,a,45.12%,the,8.54%,very,4.88%
day,the,20.29%,next,8.7%,to,7.97%
can,i,23.21%,you,19.64%,he,4.76%
all,of,9.9%,at,8.09%,and,4.79%
head,his,51.34%,her,14.73%,the,10.27%
long,a,26.67%,so,12.12%,the,4.85%
matter,the,52.38%,a,7.94%,no,6.35%
whether,know,4.35%,but,4.35%,him,4.35%
child,the,40.0%,a,9.09%,poor,6.36%
any,without,6.49%,in,4.33%,of,3.9%
these,with,13.11%,of,12.57%,by,5.46%
never,i,17.89%,had,11.05%,would,4.21%
appeared,he,7.84%,who,7.84%,which,5.88%
if,as,21.24%,that,6.35%,and,5.85%
they,when,6.98%,as,6.98%,that,6.84%
although,and,19.61%,which,7.84%,but,7.84%
am,i,88.8%,so,1.6%,name,1.6%
do,to,18.98%,what,11.23%,i,9.63%
mean,you,47.14%,don't,14.29%,i,14.29%
say,to,38.42%,i,10.53%,may,4.74%
best,the,53.7%,his,3.7%,very,3.7%
thing,a,11.86%,of,10.17%,very,8.47%
could,he,33.08%,i,10.27%,they,5.7%
take,to,27.4%,you,7.53%,and,4.79%
himself,to,4.83%,sat,2.97%,for,2.23%
our,of,20.83%,in,12.5%,to,9.72%
lay,he,9.68%,to,9.68%,which,9.68%
little,a,36.73%,the,20.73%,his,4.36%
next,the,49.15%,very,3.39%,until,3.39%
nobody,was,9.8%,which,5.88%,with,5.88%
woman,the,33.9%,young,16.1%,a,14.41%
did,he,17.39%,she,8.07%,it,5.59%
such,in,12.77%,with,8.51%,of,6.38%
them,with,6.01%,of,5.74%,to,5.19%
few,a,77.68%,the,7.14%,very,2.68%
having,and,12.6%,of,11.02%,who,3.94%
up,looking,3.78%,him,3.59%,it,2.79%
voice,the,19.64%,a,13.39%,low,11.61%
much,so,23.27%,very,13.37%,as,12.38%
three,or,15.0%,the,13.0%,all,8.0%
gave,he,11.54%,she,11.54%,and,9.62%
face,his,32.75%,her,15.2%,the,6.43%
words,these,28.57%,the,13.33%,few,7.62%
let,and,11.72%,to,7.03%,you,4.69%
me,to,12.33%,let,10.5%,with,4.33%
see,to,33.65%,i,14.22%,you,8.06%
turned,he,19.66%,had,7.69%,and,5.98%
towards,turned,6.45%,back,5.38%,advanced,4.3%
fire,the,62.34%,on,7.79%,a,5.19%
hands,his,46.34%,her,17.89%,your,4.88%
spoke,he,51.79%,she,19.64%,who,5.36%
said,dear,4.23%,he,3.38%,sir,3.3%
might,he,23.27%,it,13.21%,i,6.92%
oh,me,4.55%,him,3.79%,you,3.79%
you,do,7.6%,if,5.6%,are,2.99%
must,you,17.46%,i,16.67%,he,11.9%
about,was,8.18%,talk,4.09%,what,3.18%
yet,and,24.59%,not,13.11%,had,6.56%
dear,my,64.94%,poor,2.21%,dear,2.21%
heart,my,16.48%,his,15.38%,the,8.79%
pocket,his,33.33%,the,7.94%,a,7.94%
she,as,10.29%,that,8.84%,which,6.32%
corner,the,25.93%,a,24.07%,one,5.56%
sir,yes,6.73%,no,4.33%,please,3.85%
own,his,45.93%,my,14.07%,your,13.33%
em,of,16.87%,make,4.82%,let,4.82%
dead,the,20.0%,is,9.23%,was,7.69%
two,the,34.74%,or,12.21%,of,2.82%
know,i,23.37%,you,19.93%,don't,13.75%
way,the,25.12%,his,10.9%,that,7.11%
think,i,23.17%,to,18.29%,you,17.07%
mother,his,21.31%,your,13.11%,the,13.11%
hand,his,34.33%,her,11.94%,one,7.46%
cold,a,16.18%,the,14.71%,of,5.88%
white,the,42.42%,a,16.67%,his,4.55%
round,looking,11.11%,turned,7.19%,looked,5.23%
fell,he,17.46%,and,9.52%,it,4.76%
back,the,8.94%,his,6.5%,come,6.1%
stopped,he,15.69%,bumble,5.88%,she,5.88%
hope,i,49.25%,the,10.45%,only,4.48%
too,be,4.93%,was,4.93%,is,3.45%
it's,but,3.7%,and,2.96%,when,2.96%
so,and,8.4%,was,3.26%,or,2.23%
mind,his,16.1%,never,16.1%,don't,7.63%
give,to,19.51%,you,10.98%,i'll,4.88%
put,to,11.11%,he,7.41%,and,5.56%
hat,his,51.47%,cocked,30.88%,a,2.94%
bed,the,34.55%,to,10.91%,a,9.09%
side,the,16.47%,one,15.29%,his,8.24%
door,the,67.65%,a,5.04%,street,4.62%
good,a,24.28%,the,9.88%,very,6.17%
looking,and,16.42%,sikes,4.48%,fagin,3.73%
girl,the,85.2%,poor,1.79%,fine,0.9%
brought,had,10.26%,have,10.26%,was,6.41%
here,come,6.49%,and,5.34%,this,3.44%
replied,sir,11.78%,no,4.22%,dear,4.22%
street,the,63.1%,open,3.57%,main,3.57%
walked,and,18.31%,he,14.08%,they,14.08%
came,he,15.27%,they,10.69%,i,7.63%
left,and,18.11%,had,14.96%,the,11.02%
away,him,6.88%,turning,4.76%,run,4.23%
once,at,36.62%,and,4.23%,were,3.52%
sat,he,13.54%,and,8.33%,she,8.33%
down,and,7.42%,sat,6.36%,him,3.89%
low,a,48.39%,the,14.52%,very,6.45%
chair,a,30.0%,his,30.0%,the,8.89%
