word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,27.0%,a,7.44%,his,3.85%
little,while,2.91%,more,2.7%,child,2.08%
oliver,twist,7.31%,had,4.83%,and,4.18%
or,two,5.84%,the,4.58%,a,3.65%
the,old,1.43%,door,1.25%,same,1.24%
i,had,7.01%,was,6.22%,am,5.66%
of,the,21.43%,his,5.88%,a,4.9%
place,of,10.95%,and,10.95%,in,6.72%
where,the,14.9%,he,12.13%,i,9.53%
was,a,9.14%,not,5.2%,the,4.76%
and,the,5.45%,i,3.55%,a,2.35%
his,head,4.21%,hand,3.27%,own,3.21%
how,do,5.45%,he,5.3%,the,4.98%
very,much,5.74%,well,4.73%,little,2.87%
a,little,3.29%,man,1.75%,very,1.71%
which,he,10.56%,i,8.62%,was,7.74%
would,have,19.39%,be,16.95%,not,5.79%
not,a,5.5%,to,5.5%,be,4.0%
have,been,17.14%,you,3.62%,a,3.51%
been,a,6.92%,the,3.43%,in,3.37%
being,a,6.33%,so,3.64%,in,2.85%
another,and,6.0%,word,3.33%,man,3.33%
first,time,7.93%,and,3.87%,to,2.9%
into,the,40.3%,a,15.4%,his,6.64%
life,and,13.06%,i,5.94%,to,4.99%
with,a,17.85%,the,14.14%,his,8.1%
new,to,5.38%,south,4.48%,comer,4.04%
going,to,45.05%,on,5.66%,out,5.42%
to,the,10.19%,be,7.68%,me,3.37%
for,the,16.87%,a,9.38%,it,3.96%
time,and,9.18%,to,8.89%,of,4.06%
he,had,13.69%,was,10.99%,could,3.04%
an,old,6.26%,hour,5.86%,instant,4.04%
business,and,5.22%,is,4.48%,of,4.1%
rather,than,6.87%,a,3.43%,more,2.58%
him,and,8.21%,to,6.51%,in,4.55%
on,the,32.79%,his,8.31%,a,4.81%
young,lady,16.64%,man,11.44%,gentleman,9.88%
gentleman,in,8.82%,and,6.47%,who,5.69%
old,gentleman,13.79%,lady,7.2%,man,6.38%
better,than,13.96%,for,5.41%,not,4.56%
at,the,26.93%,me,5.19%,his,5.08%
but,i,10.71%,the,6.08%,he,6.01%
in,the,26.64%,a,11.23%,his,7.92%
this,is,6.0%,was,4.96%,time,4.42%
mr,bumble,20.61%,lorry,20.29%,jaggers,12.9%
is,a,8.77%,the,6.73%,it,6.17%
taken,up,7.11%,to,5.93%,from,4.74%
than,i,8.8%,the,8.04%,he,6.25%
ever,since,4.45%,had,3.51%,been,3.51%
before,the,14.45%,him,9.83%,i,8.21%
some,of,5.49%,time,4.27%,other,3.05%
are,you,12.86%,not,7.26%,a,3.94%
whom,i,20.26%,he,14.1%,the,9.25%
one,of,18.55%,another,4.52%,and,3.99%
when,i,22.09%,he,16.62%,the,11.95%
went,on,16.54%,out,12.27%,to,11.9%
out,of,30.74%,and,5.68%,the,4.35%
jew,with,4.67%,and,4.0%,who,4.0%
miss,pross,60.0%,pross's,5.0%,nancy,3.33%
were,not,4.18%,in,3.12%,the,3.03%
what,i,10.86%,is,6.57%,do,6.38%
after,a,14.94%,the,5.62%,him,4.88%
had,been,14.85%,a,4.38%,not,3.69%
great,deal,4.5%,coat,2.64%,many,2.48%
man,who,8.24%,and,5.63%,of,5.33%
passed,through,10.67%,the,8.0%,and,6.22%
over,the,26.5%,his,8.2%,and,5.71%
sikes,and,4.07%,with,3.78%,as,3.49%
between,the,15.5%,them,14.34%,us,8.91%
bumble,and,4.1%,in,3.55%,was,3.28%
lady,and,8.83%,to,4.1%,of,3.47%
that,i,11.16%,he,10.03%,the,6.5%
even,if,8.27%,to,6.27%,the,6.02%
may,be,27.99%,have,7.0%,i,5.64%
be,a,5.3%,the,3.0%,done,2.33%
poor,boy,6.32%,fellow,5.61%,dear,4.56%
found,the,9.47%,that,9.09%,out,7.58%
fagin,and,7.17%,said,3.75%,i,2.39%
upon,the,27.73%,his,11.33%,him,7.8%
many,a,6.58%,years,5.57%,times,4.3%
from,the,31.02%,his,7.95%,a,4.82%
done,and,7.38%,it,7.38%,with,5.37%
most,of,4.59%,dismal,1.53%,other,1.22%
has,been,18.88%,a,4.94%,not,4.27%
house,and,11.7%,in,5.54%,the,4.11%
thought,of,15.9%,it,9.45%,i,7.14%
began,to,61.54%,the,4.07%,again,2.26%
who,had,20.11%,was,11.65%,were,4.58%
now,and,6.6%,i,5.45%,said,4.4%
rose,and,8.94%,from,5.69%,to,4.88%
no,more,7.9%,no,3.71%,one,3.29%
its,own,3.31%,being,2.68%,head,2.36%
it,was,17.12%,is,7.8%,and,4.09%
should,have,18.92%,be,16.07%,not,5.41%
as,if,12.2%,he,11.03%,i,8.34%
last,night,12.88%,and,3.49%,i,3.49%
will,be,16.58%,you,10.85%,not,7.11%
their,own,3.81%,heads,2.69%,way,2.35%
together,and,12.5%,in,6.25%,as,4.02%
like,a,30.53%,the,9.74%,to,7.24%
come,to,16.81%,back,6.7%,in,6.58%
got,up,9.66%,to,8.8%,into,8.37%
her,and,3.95%,head,3.1%,hand,2.74%
she,had,12.37%,was,12.17%,said,3.17%
more,than,12.98%,and,4.67%,to,3.27%
word,of,11.37%,or,5.88%,that,5.1%
night,and,12.98%,when,4.42%,i,4.28%
among,the,49.61%,them,11.72%,his,5.08%
other,and,2.83%,hand,2.2%,in,2.2%
name,of,16.61%,and,8.95%,was,7.67%
there,was,24.35%,were,8.98%,is,8.14%
day,and,12.8%,i,4.44%,of,4.27%
myself,to,10.12%,and,8.28%,i,7.36%
can,be,10.14%,i,9.46%,you,6.08%
all,the,17.65%,this,3.61%,that,2.97%
head,and,14.64%,to,4.59%,in,3.99%
long,time,10.87%,ago,6.42%,and,6.24%
whether,he,16.74%,i,13.12%,it,11.31%
child,and,8.63%,was,6.83%,said,3.96%
any,one,6.83%,other,4.86%,of,3.55%
these,words,8.66%,things,3.87%,were,3.68%
never,seen,5.85%,been,4.35%,mind,3.95%
if,he,17.28%,i,15.69%,you,14.71%
they,were,15.32%,had,10.98%,are,4.62%
am,not,10.22%,i,7.39%,sure,5.97%
do,you,28.4%,it,8.91%,not,7.14%
say,that,8.99%,to,6.23%,it,5.22%
thing,to,11.79%,i,8.02%,and,7.08%
could,not,18.23%,have,12.34%,be,7.09%
take,a,10.77%,it,9.81%,the,7.89%
himself,to,7.83%,and,7.13%,in,5.87%
our,own,2.69%,way,2.24%,old,1.35%
lay,on,10.85%,in,7.55%,down,7.55%
woman,who,7.46%,and,6.72%,with,5.22%
did,not,21.81%,you,8.75%,i,5.93%
such,a,33.0%,an,5.03%,as,3.69%
them,and,8.42%,to,5.2%,in,4.04%
few,minutes,10.45%,moments,10.07%,words,5.6%
having,been,13.35%,a,4.09%,the,3.27%
up,and,12.21%,to,10.44%,the,9.59%
voice,and,7.22%,of,6.86%,as,4.69%
much,as,7.36%,of,5.18%,to,5.04%
three,or,6.61%,days,4.2%,months,3.3%
face,and,12.21%,of,5.03%,to,4.49%
words,and,7.33%,the,6.96%,he,5.86%
let,me,36.69%,him,12.66%,us,9.56%
me,and,6.69%,to,6.41%,i,4.95%
see,him,10.25%,the,10.11%,you,7.2%
turned,to,9.71%,his,9.12%,towards,6.47%
towards,the,39.45%,him,8.98%,me,8.2%
fire,and,20.51%,with,4.81%,in,4.17%
hands,and,15.27%,in,7.74%,with,5.31%
said,the,21.05%,mr,13.5%,i,8.1%
might,have,29.25%,be,21.54%,not,4.03%
oh,no,8.68%,you,5.48%,dear,5.48%
you,are,5.49%,have,4.82%,know,4.26%
must,be,23.21%,have,19.87%,not,3.79%
about,the,15.64%,him,10.03%,it,7.75%
yet,i,9.21%,he,4.76%,a,3.81%
dear,boy,11.85%,said,8.93%,me,3.73%
heart,and,13.12%,to,8.16%,of,5.67%
pocket,and,13.31%,handkerchief,8.37%,book,4.94%
sir,said,17.4%,replied,11.89%,i,9.25%
own,mind,2.62%,room,2.43%,and,2.25%
two,or,6.22%,men,3.6%,of,3.46%
know,that,10.74%,what,9.8%,it,6.26%
way,of,11.42%,to,10.55%,and,6.07%
think,of,16.46%,i,10.85%,it,8.32%
hand,and,12.37%,to,6.51%,upon,6.12%
round,the,18.56%,and,11.83%,to,6.03%
back,to,15.21%,and,8.14%,of,6.45%
hope,of,11.86%,you,8.3%,i,7.51%
too,much,12.66%,and,5.59%,late,3.17%
it's,a,18.63%,not,11.49%,all,6.83%
so,much,8.26%,i,3.7%,that,3.03%
mind,i,6.19%,to,5.95%,and,5.71%
give,me,24.35%,him,10.87%,you,8.26%
put,it,11.62%,the,9.75%,on,7.26%
bed,and,14.15%,i,5.85%,the,5.85%
side,of,35.23%,and,14.23%,by,4.98%
door,and,16.02%,of,6.34%,was,4.23%
good,night,6.83%,and,2.84%,deal,2.84%
looking,at,23.81%,up,7.66%,round,6.0%
girl,i,6.46%,and,4.56%,who,3.8%
brought,up,10.86%,to,8.24%,him,6.74%
here,and,8.66%,i,6.26%,he,5.19%
replied,the,35.07%,mr,11.15%,oliver,9.17%
street,and,12.22%,door,6.33%,the,4.52%
came,to,13.51%,in,7.57%,back,5.41%
left,the,14.91%,him,5.66%,her,5.66%
away,and,10.22%,from,9.22%,the,5.81%
once,more,13.55%,and,6.14%,again,4.6%
sat,down,24.11%,in,7.14%,with,5.95%
down,the,13.19%,to,9.26%,and,7.66%
chair,and,20.44%,by,5.78%,to,4.44%
only,one,5.89%,a,5.5%,the,4.13%
same,time,6.68%,and,2.67%,moment,2.67%
half,a,15.24%,an,5.71%,past,4.76%
through,the,39.22%,a,7.8%,his,6.42%
cried,the,30.0%,mr,5.76%,sikes,4.85%
then,he,6.13%,i,5.62%,the,4.6%
stood,in,8.39%,looking,6.71%,with,6.04%
off,the,10.33%,and,7.69%,his,6.81%
against,the,35.6%,a,6.8%,him,6.8%
without,a,8.1%,any,6.48%,the,5.32%
under,the,36.27%,his,10.33%,a,10.33%
quite,a,7.81%,as,4.95%,so,3.65%
enough,to,25.56%,for,11.85%,of,8.89%
make,a,9.59%,it,7.25%,you,5.44%
knew,that,10.53%,it,8.77%,what,5.26%
still,the,6.27%,in,5.18%,and,3.54%
well,said,8.43%,as,5.49%,i,4.28%
nothing,of,11.04%,to,10.42%,but,7.08%
air,of,26.15%,and,9.23%,as,5.38%
moment,and,7.83%,i,7.47%,of,6.76%
want,to,31.73%,of,9.13%,a,6.73%
though,i,14.04%,he,12.61%,it,12.32%
anything,but,9.54%,to,9.13%,else,7.47%
always,a,3.98%,be,3.41%,in,2.84%
indeed,i,10.23%,it,5.58%,sir,5.12%
made,a,14.39%,the,9.08%,it,4.89%
people,who,7.08%,in,4.92%,and,4.62%
room,and,15.6%,in,5.2%,where,4.2%
my,dear,8.93%,sister,3.9%,own,3.78%
open,and,12.56%,the,10.7%,to,4.19%
keep,the,10.05%,it,9.57%,a,8.13%
your,own,5.09%,hand,2.27%,father,2.09%
coming,to,10.1%,up,9.62%,on,6.73%
something,to,12.08%,of,6.71%,in,5.7%
table,and,22.38%,with,5.59%,was,3.85%
yes,i,14.73%,said,9.03%,sir,8.31%
men,and,16.34%,who,8.56%,in,7.0%
don't,know,20.09%,you,11.82%,be,5.41%
right,hand,13.48%,and,7.09%,to,6.03%
manner,of,14.18%,and,9.58%,in,4.6%
just,now,18.34%,as,9.61%,the,5.68%
why,i,8.55%,not,6.84%,you,5.7%
took,the,12.63%,a,8.42%,up,8.42%
i'll,tell,13.94%,have,4.81%,give,4.33%
eyes,and,13.57%,were,5.22%,of,4.35%
shall,be,20.18%,not,8.13%,i,7.83%
we,were,10.09%,had,8.98%,are,5.82%
father,and,15.02%,had,6.32%,was,3.95%
again,and,18.09%,the,3.98%,i,3.64%
go,to,14.1%,on,10.13%,and,6.87%
behind,the,21.96%,him,17.29%,them,6.07%
boy,and,7.5%,said,5.93%,i,3.84%
home,and,13.73%,to,6.21%,the,4.25%
look,at,27.71%,of,6.01%,upon,4.26%
years,and,11.96%,ago,9.09%,of,6.7%
every,one,9.66%,day,7.57%,word,2.87%
returned,the,21.94%,to,8.46%,mr,7.21%
morning,and,9.75%,i,6.78%,to,4.66%
both,of,8.3%,hands,5.42%,his,4.69%
while,the,13.78%,i,13.53%,he,13.28%
asked,the,17.05%,him,9.94%,me,7.67%
dark,and,13.46%,room,4.23%,night,3.46%
far,as,16.18%,from,15.35%,more,5.39%
saw,him,12.18%,that,12.18%,the,12.18%
seen,the,10.06%,him,9.17%,her,5.62%
that's,the,17.24%,all,12.07%,a,9.91%
looked,at,27.36%,up,5.64%,in,3.67%
heard,of,12.07%,the,11.72%,him,5.86%
until,the,19.68%,he,16.77%,i,10.97%
told,me,22.99%,you,17.24%,him,14.94%
friend,and,7.49%,of,7.49%,i,5.29%
tell,you,35.6%,me,24.61%,him,10.47%
us,and,10.94%,to,3.71%,all,2.93%
get,up,7.41%,a,5.56%,out,5.56%
felt,that,21.24%,as,7.08%,it,5.75%
soon,as,20.09%,be,5.8%,afterwards,4.91%
light,of,17.68%,and,8.84%,in,3.96%
seemed,to,62.5%,as,3.44%,in,2.19%
hear,the,11.91%,me,11.49%,it,8.09%
gone,to,7.92%,and,6.79%,out,5.28%
doctor,was,4.7%,had,3.85%,and,3.42%
those,who,8.19%,words,4.68%,of,4.39%
joe,and,10.18%,i,5.8%,was,2.97%
lorry,and,5.01%,had,4.13%,as,3.24%
pip,said,16.31%,i,9.23%,and,8.0%
biddy,said,8.85%,and,7.96%,i,6.19%
jaggers,and,9.09%,was,3.83%,i,3.35%
herbert,and,11.42%,had,6.23%,i,4.5%
scrooge,and,5.43%,had,5.11%,i,3.83%
