word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.83%,him,2.03%,up,1.86%
or,two,3.0%,it,1.73%,one,1.6%
the,of,10.09%,in,8.29%,to,4.94%
i,that,7.64%,and,6.4%,when,4.07%
of,out,4.09%,one,2.15%,part,0.84%
place,the,17.41%,a,6.47%,this,4.98%
where,and,5.59%,room,3.67%,know,2.97%
oliver,replied,6.71%,said,4.74%,that,4.21%
was,it,17.73%,he,11.42%,i,9.66%
and,it,1.54%,him,1.51%,me,1.18%
his,of,11.4%,in,10.13%,with,5.95%
how,and,10.63%,know,7.3%,see,2.38%
very,a,16.68%,was,9.87%,the,9.19%
a,in,8.33%,with,7.61%,of,5.51%
which,in,7.92%,of,5.75%,with,4.76%
would,he,13.66%,i,12.68%,it,12.11%
not,was,12.36%,could,6.93%,had,6.23%
have,i,21.12%,to,10.92%,would,10.05%
been,had,45.37%,have,30.04%,has,5.32%
being,of,14.84%,his,4.52%,and,4.35%
another,one,15.08%,in,5.76%,and,3.77%
first,the,41.51%,at,12.93%,his,2.9%
into,got,2.93%,come,2.56%,went,2.56%
life,my,14.83%,his,11.0%,of,9.81%
with,and,3.05%,him,2.18%,me,1.89%
new,a,19.73%,the,13.45%,his,9.42%
going,was,14.49%,a,9.03%,am,8.55%
to,him,1.65%,me,1.56%,seemed,1.51%
for,it,2.02%,him,1.77%,me,1.53%
time,the,15.19%,this,9.42%,that,7.5%
he,that,10.23%,as,7.17%,if,4.9%
an,with,11.36%,in,7.78%,of,7.47%
business,of,21.29%,the,9.51%,my,7.6%
rather,was,9.82%,would,6.25%,a,5.36%
him,to,8.61%,with,4.38%,of,4.23%
on,went,2.59%,him,1.95%,it,1.66%
young,the,28.28%,a,11.95%,that,4.38%
gentleman,old,26.22%,the,22.5%,a,15.26%
old,the,38.6%,an,7.8%,of,3.65%
better,had,12.43%,the,12.43%,a,7.63%
at,looked,5.12%,look,3.78%,looking,3.04%
but,it,2.98%,me,2.05%,him,1.7%
in,was,2.02%,and,1.95%,him,1.82%
this,of,9.02%,in,8.34%,to,4.6%
mr,said,18.26%,to,3.88%,and,3.71%
is,it,23.47%,he,7.85%,there,6.72%
taken,had,33.07%,be,11.16%,been,9.96%
than,more,17.55%,better,6.19%,worse,2.15%
ever,had,9.43%,for,8.49%,as,6.13%
before,as,2.67%,it,2.09%,than,1.97%
some,for,7.63%,of,5.8%,in,5.7%
are,you,30.7%,they,8.53%,we,7.08%
whom,to,18.58%,of,11.5%,with,7.96%
one,no,4.14%,of,3.81%,any,3.48%
when,and,7.17%,that,2.76%,him,2.28%
went,i,20.23%,and,15.46%,he,14.31%
out,went,3.82%,it,2.95%,him,2.6%
jew,the,93.02%,old,2.66%,young,1.0%
miss,said,10.18%,to,6.38%,and,5.02%
were,they,12.57%,there,7.86%,we,5.45%
what,know,5.98%,and,5.79%,of,3.56%
after,and,5.59%,long,2.57%,again,1.66%
had,he,20.06%,i,15.36%,who,5.49%
great,a,26.91%,with,15.13%,the,14.17%
man,the,25.24%,a,19.34%,young,6.38%
passed,had,12.89%,they,10.67%,he,10.22%
over,all,4.55%,and,3.96%,was,2.79%
sikes,mr,21.68%,said,17.34%,replied,8.38%
between,passed,3.85%,and,2.31%,him,2.31%
bumble,mr,86.89%,mrs,6.83%,replied,1.37%
lady,young,30.28%,old,22.08%,the,14.83%
that,and,5.16%,of,2.65%,in,2.4%
even,and,13.0%,not,7.5%,that,4.25%
