word type,number
everything,149751
adult,14
hate,0
function,84225
normal,number
the,7832
of,5731
and,5628
to,4569
in,3272
a,3125
i,2909
that,1875
it,1634
is,1417
was,1372
with,1315
as,1271
for,1191
my,1082
on,1048
her,1020
have,1015
we,997
you,991
this,961
at,904
all,871
be,849
from,844
by,798
me,705
not,704
which,693
his,682
had,653
he,642
so,613
but,601
one,554
she,551
mrs,549
were,522
are,510
has,493
our,484
been,476
there,467
they,452
who,444
an,427
will,380
your,380
or,364
when,358
us,353
very,352
more,347
them,327
would,322
time,321
no,318
their,313
if,305
what,304
him,298
little,287
am,285
do,280
out,279
letter,278
after,276
up,275
life,268
great,265
now,262
into,261
could,260
some,259
most,258
first,251
than,250
h,243
can,243
such,242
much,241
day,238
about,235
new,230
then,228
see,227
its,221
mr,221
any,216
should,214
b,211
two,207
good,206
these,204
here,201
slavery,201
old,200
dear,199
how,195
may,194
think,194
well,190
only,188
last,183
many,182
england,182
like,182
said,181
must,179
uncle,178
shall,174
where,172
over,172
come,169
know,169
those,168
home,168
before,168
upon,167
s,164
every,163
people,162
through,162
made,159
other,159
came,158
never,157
man,155
ever,153
house,150
long,149
book,147
mind,145
own,141
love,141
place,140
read,139
go,139
beecher,137
just,136
lady,135
being,135
say,134
world,134
god,133
way,133
work,132
down,132
children,131
feel,131
letters,130
did,130
while,128
family,127
friends,127
slave,126
years,125
cabin,124
found,123
without,123
friend,122
story,117
tom's,116
yet,116
make,116
death,115
things,113
thought,111
went,111
written,110
heart,108
professor,107
whole,107
night,105
writes,104
husband,103
another,102
visit,101
writing,101
might,101
school,99
always,99
lord,98
too,98
same,97
get,96
give,96
brother,96
write,96
following,96
church,95
america,95
morning,95
beautiful,95
done,94
next,94
nothing,94
once,93
mother,92
father,92
even,92
among,92
reading,91
harriet,90
myself,90
under,90
whom,90
felt,90
till,90
though,88
london,87
english,87
days,86
take,86
few,85
henry,85
room,85
cannot,85
men,85
also,84
dr,83
interest,83
byron,83
both,83
wrote,83
going,82
george,82
year,82
country,82
kind,81
again,81
says,81
called,80
wife,79
find,79
thing,79
left,79
seems,78
cincinnati,78
full,78
poor,78
seemed,77
saw,77
feeling,77
hope,77
part,76
back,76
sister,76
woman,76
since,76
boston,75
hartford,75
three,74
between,74
took,73
away,73
evening,73
received,73
let,72
anything,72
off,71
miss,70
set,70
best,70
whose,70
sent,70
still,70
nature,70
something,69
subject,69
power,69
words,68
quite,68
soul,68
state,68
got,67
states,67
five,67
spirit,67
seen,67
during,66
believe,66
right,66
yours,66
son,65
put,65
because,64
soon,64
true,63
journey,63
character,63
remember,61
told,60
literary,60
history,60
christ,60
fact,60
present,60
free,59
winter,59
however,59
catherine,58
times,58
city,58
heard,58
often,58
cause,58
half,58
anti,57
books,57
looking,57
against,57
charles,56
return,56
health,56
party,56
women,56
south,56
far,56
duchess,55
mary,55
almost,55
young,55
sympathy,55
child,54
paris,54
john,54
better,54
bed,54
enough,54
tell,54
chapter,53
pleasant,53
taken,53
gone,53
thus,53
wish,53
white,53
hand,53
general,53
rest,53
hear,52
having,52
o'clock,52
coming,52
week,51
each,51
black,51
head,51
brought,51
hands,51
look,51
york,50
herself,50
began,50
society,50
summer,49
slaves,49
sort,49
everything,49
don't,49
glad,49
minister's,48
law,48
four,48
side,48
gave,48
others,48
therefore,47
tom,47
knew,47
strong,47
call,47
number,47
christian,47
strange,47
sure,47
american,47
leave,46
religious,46
europe,46
happy,46
keep,46
name,46
eyes,46
carriage,46
given,45
meeting,45
florida,45
end,45
help,44
door,44
together,44
question,44
does,44
hour,44
regard,44
nor,44
published,43
influence,43
early,43
daughters,43
human,43
fine,43
idea,43
large,43
care,43
oh,43
north,43
facts,43
wooing,42
word,42
matter,42
themselves,42
air,42
least,42
course,41
account,41
moral,41
making,41
live,41
sense,40
form,40
paper,40
quiet,40
speak,40
rather,40
looked,40
pleasure,40
passed,40
public,40
e,39
hours,39
brunswick,39
comfort,39
face,39
used,39
whether,39
real,39
already,38
ladies,38
around,38
himself,38
common,38
nation,38
perfect,38
point,38
land,38
warm,38
past,37
tea,37
folks,37
w,37
alone,37
twenty,37
known,37
send,37
want,37
date,37
able,36
national,36
bright,36
case,36
became,36
bible,36
short,36
fear,36
meet,36
feelings,36
etc,36
money,36
truth,35
spiritualism,35
reply,35
attention,35
less,35
seem,35
six,35
study,35
light,35
thousand,35
edward,34
water,34
second,34
daughter,34
met,34
makes,34
aunt,34
near,34
above,34
until,34
liberty,34
seminary,33
effect,33
duke,33
rome,33
person,33
answer,33
sorrow,33
interesting,33
stories,33
noble,33
breakfast,33
perhaps,32
possible,32
success,32
scotland,32
welcome,32
dinner,32
sea,32
voice,32
order,32
high,32
certainly,32
m,32
ten,32
college,32
french,32
note,32
company,31
use,31
experience,31
sunday,31
spirits,31
age,31
within,31
getting,31
ourselves,31
become,31
papers,31
sometimes,31
result,31
self,31
manner,31
