word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.04%,written,1.66%,good,1.4%
and,it,0.93%,you,0.83%,me,0.8%
the,of,14.75%,in,10.23%,to,5.19%
at,and,3.11%,was,1.61%,me,1.5%
was,it,17.53%,i,11.76%,he,5.08%
from,letter,6.46%,letters,4.15%,s,2.2%
made,have,6.49%,be,5.84%,and,5.84%
so,and,6.57%,is,4.76%,was,4.43%
of,one,2.42%,out,1.48%,death,0.87%
harriet,of,8.64%,said,8.64%,aunt,6.17%
beecher,harriet,16.5%,dr,11.65%,ward,10.68%
her,of,15.3%,to,13.55%,with,5.75%
letters,her,7.84%,and,6.86%,of,6.86%
son,her,32.2%,my,8.47%,oldest,8.47%
boston,in,42.25%,to,12.68%,from,9.86%
new,a,18.26%,the,14.61%,of,8.22%
h,of,16.13%,to,12.9%,from,10.6%
letter,a,22.46%,your,9.32%,following,7.63%
it,that,5.13%,of,4.45%,as,2.72%
seems,it,49.33%,and,4.0%,that,4.0%
but,nothing,2.38%,me,1.87%,it,1.36%
that,and,3.98%,all,2.58%,of,2.53%
i,and,7.38%,that,6.75%,as,3.38%
should,i,29.38%,we,10.43%,they,5.69%
this,of,13.33%,in,11.53%,to,5.71%
story,the,24.79%,a,11.11%,this,10.26%
my,of,12.22%,in,6.64%,to,5.0%
life,of,12.35%,my,7.57%,her,7.17%
with,me,1.55%,and,1.47%,correspondence,1.39%
a,of,6.78%,in,6.19%,is,5.31%
few,a,56.47%,the,8.24%,but,3.53%
to,letter,1.76%,as,1.67%,me,1.56%
me,to,24.43%,for,4.12%,with,3.98%
some,in,7.36%,of,6.59%,for,6.59%
has,it,11.02%,he,9.5%,she,6.05%
been,have,34.25%,has,28.96%,had,17.97%
for,you,1.71%,and,1.54%,me,1.37%
many,so,18.13%,in,7.69%,for,4.95%
years,many,12.0%,two,9.6%,five,8.0%
or,day,2.79%,two,1.96%,four,1.96%
have,i,33.89%,we,10.41%,to,7.33%
its,in,13.43%,of,11.57%,and,10.65%
what,of,7.95%,and,6.95%,know,4.64%
is,it,22.22%,there,8.5%,he,4.72%
true,is,14.75%,the,11.48%,a,8.2%
told,i,24.14%,be,10.34%,he,6.9%
most,the,41.41%,a,14.84%,and,5.47%
part,a,10.67%,my,10.67%,the,8.0%
